"N.Sezione";"Desc. Sezione";"COLLOT MARTA";"COLLOT MARTA (Voti Gov.)";"BORGONZONI LUCIA";"BORGONZONI LUCIA (Voti Gov.)";"BENINI SIMONE";"BENINI SIMONE (Voti Gov.)";"BERGAMINI LAURA";"BERGAMINI LAURA (Voti Gov.)";"BONACCINI STEFANO";"BONACCINI STEFANO (Voti Gov.)";"BATTAGLIA DOMENICO";"BATTAGLIA DOMENICO (Voti Gov.)";"LUGLI STEFANO";"LUGLI STEFANO (Voti Gov.)";"Tot. validi";"Schede bianche";"Schede nulle";"Voti nulli";"Voti contestati non assegnati";"Voti Capolista";"Voti totali"
1;"PIAZZETTA CARD. S.PIGNEDOLI,2";6;3;201;7;11;1;3;0;319;33;1;1;3;0;544;3;4;0;0;45;551
2;"PIAZZETTA CARD. S.PIGNEDOLI,2";0;0;220;8;16;2;4;0;285;34;6;4;1;0;532;0;5;0;0;48;537
3;"VIA FILIPPO RE,6";0;0;227;6;9;0;4;0;254;33;2;2;0;0;496;1;10;0;0;41;507
4;"VIA FILIPPO RE,6";3;1;174;9;9;1;3;0;252;23;0;0;1;1;442;5;3;0;0;35;450
5;"VIALE MONTE S. MICHELE,12";2;1;169;11;28;0;3;0;228;20;1;0;1;0;432;2;7;0;0;32;441
6;"VIALE MONTE S. MICHELE,12";2;0;199;8;15;0;4;0;200;13;0;0;4;0;424;3;4;0;0;21;431
7;"VIALE MONTE GRAPPA,8";0;0;197;9;10;1;5;0;240;13;0;0;1;0;453;3;7;0;0;23;463
8;"VIALE MONTE GRAPPA,8";5;3;201;8;15;0;3;1;292;32;1;0;0;0;517;3;3;0;0;44;523
9;"VIA E. FERRI,14";1;0;197;9;26;1;4;0;280;21;4;3;4;0;516;4;13;0;0;34;533
10;"VIALE MONTE S. MICHELE,12";2;1;268;7;8;0;6;0;270;24;1;0;0;0;555;1;5;0;0;32;561
11;"VIA N. LASAGNI,5/A";0;0;171;8;32;3;1;0;298;27;3;3;0;0;505;4;4;0;0;41;513
12;"VIA R. FRANCHETTI,8";1;0;185;8;14;0;3;0;264;32;0;0;2;1;469;2;1;0;0;41;472
13;"VIA R. FRANCHETTI,8";1;0;174;12;4;0;0;0;191;19;0;0;2;0;372;1;3;0;0;31;376
14;"VIA J. F. KENNEDY,20";1;1;174;12;16;0;2;1;236;29;0;0;0;0;429;1;8;0;0;43;438
15;"VIA J. F. KENNEDY,20";0;0;167;4;13;1;2;0;225;22;0;0;0;0;407;2;4;0;0;27;413
16;"VIA J. F. KENNEDY,20";1;1;131;6;26;0;1;0;235;24;1;1;1;1;396;1;3;0;0;33;400
17;"VIA J. F. KENNEDY,20";0;0;174;9;25;1;10;0;284;35;0;0;1;0;494;2;8;0;0;45;504
18;"VIA F. CONFALONIERI,1";0;0;204;10;22;1;8;0;210;19;1;1;1;0;446;2;8;0;0;31;456
19;"VIA F. CONFALONIERI,1";0;0;227;10;28;2;4;1;300;19;2;2;3;1;564;1;10;0;0;35;575
20;"VIA F. CONFALONIERI,1";4;2;206;10;30;1;2;0;322;25;2;1;1;0;567;2;10;0;0;39;579
