"AFFLUENZA";"TOTALE ISCRITTI";"TOTALE VOTANTI";"PERC";"NUMERO SEZIONE";"DESCRIZIONE SEZIONE";"ISCRITTI MASCHI";"VOTANTI MASCHI";"ISCRITTI FEMMINE";"VOTANTI FEMMINE";"MASCHI FEMMINE ISCRITTI";"MASCHI FEMMINE VOTANTI";"MASCHI FEMMINE PERC"
"ELEZIONE DEL PRESIDENTE";125035;84273;67,4;1;"PIAZZETTA CARD. S.PIGNEDOLI,2";406;267;427;284;833;551;66,15
"ELEZIONE DEL PRESIDENTE";125035;84273;67,4;2;"PIAZZETTA CARD. S.PIGNEDOLI,2";693;268;603;269;1296;537;41,44
"ELEZIONE DEL PRESIDENTE";125035;84273;67,4;3;"VIA FILIPPO RE,6";401;250;413;257;814;507;62,29
"ELEZIONE DEL PRESIDENTE";125035;84273;67,4;4;"VIA FILIPPO RE,6";393;234;343;216;736;450;61,14
"ELEZIONE DEL PRESIDENTE";125035;84273;67,4;5;"VIALE MONTE S. MICHELE,12";452;230;395;211;847;441;52,07
"ELEZIONE DEL PRESIDENTE";125035;84273;67,4;6;"VIALE MONTE S. MICHELE,12";333;204;382;227;715;431;60,28
"ELEZIONE DEL PRESIDENTE";125035;84273;67,4;7;"VIALE MONTE GRAPPA,8";333;221;374;242;707;463;65,49
"ELEZIONE DEL PRESIDENTE";125035;84273;67,4;8;"VIALE MONTE GRAPPA,8";363;259;395;264;758;523;69
"ELEZIONE DEL PRESIDENTE";125035;84273;67,4;9;"VIA E. FERRI,14";442;261;458;272;900;533;59,22
"ELEZIONE DEL PRESIDENTE";125035;84273;67,4;10;"VIALE MONTE S. MICHELE,12";464;277;461;284;925;561;60,65
"ELEZIONE DEL PRESIDENTE";125035;84273;67,4;11;"VIA N. LASAGNI,5/A";392;265;380;248;772;513;66,45
"ELEZIONE DEL PRESIDENTE";125035;84273;67,4;12;"VIA R. FRANCHETTI,8";360;236;373;236;733;472;64,39
"ELEZIONE DEL PRESIDENTE";125035;84273;67,4;13;"VIA R. FRANCHETTI,8";290;188;302;188;592;376;63,51
"ELEZIONE DEL PRESIDENTE";125035;84273;67,4;14;"VIA J. F. KENNEDY,20";316;214;355;224;671;438;65,28
"ELEZIONE DEL PRESIDENTE";125035;84273;67,4;15;"VIA J. F. KENNEDY,20";294;199;326;214;620;413;66,61
"ELEZIONE DEL PRESIDENTE";125035;84273;67,4;16;"VIA J. F. KENNEDY,20";288;198;302;202;590;400;67,8
"ELEZIONE DEL PRESIDENTE";125035;84273;67,4;17;"VIA J. F. KENNEDY,20";389;247;431;257;820;504;61,46
"ELEZIONE DEL PRESIDENTE";125035;84273;67,4;18;"VIA F. CONFALONIERI,1";393;241;381;215;774;456;58,91
"ELEZIONE DEL PRESIDENTE";125035;84273;67,4;19;"VIA F. CONFALONIERI,1";431;285;445;290;876;575;65,64
"ELEZIONE DEL PRESIDENTE";125035;84273;67,4;20;"VIA F. CONFALONIERI,1";419;285;456;294;875;579;66,17
"ELEZIONE DEL PRESIDENTE";125035;84273;67,4;21;"VIA CELLA ALL'OLDO,8";423;238;447;238;870;476;54,71
"ELEZIONE DEL PRESIDENTE";125035;84273;67,4;22;"VIA CELLA ALL'OLDO,8";492;333;487;333;979;666;68,03
"ELEZIONE DEL PRESIDENTE";125035;84273;67,4;23;"VIA CELLA ALL'OLDO,8";331;225;374;239;705;464;65,82
