LISTA;DESCRIZIONE_LISTA;VOTI
1;MOVIMENTO 5 STELLE;15649
2;PARTITO DEMOCRATICO;46095
3;FORZA ITALIA;8140
4;SVP;72
5;N.C.D. - U.D.C.;1880
6;FRAT. D'ITALIA-ALL. NAZ.;1896
7;SCELTA EUROPEA CON G.V.;618
8;ITALIA DEI VALORI;288
9;IO CAMBIO - MAIE;155
10;FED. VERDI-GREEN ITALIA;892
11;L'ALTRA EUROPA TSIPRAS;4435
12;LEGA NORD;3224
