"N.Sezione";"Desc. Sezione";"BORGONZONI PRESIDENTE";"LEGA SALVINI";"FRATELLI D'ITALIA CON GIORGIA MELONI";"POPOLO DELLA FAMIGLIA";"FORZA ITALIA";"MOVIMENTO CINQUE STELLE";"PARTITO COMUNISTA";"BONACCINI PRESIDENTE";"EUROPA VERDE";"PARTITO DEMOCRATICO";"+ EUROPA PSI PRI";"EMILIA ROMAGNA CORAGGIOSA ECOLOGISTA E PROGRESSISTA";"VOLT EMILIA - ROMAGNA";"L'ALTRA EMILIA ROMAGNA";"Tot. validi";"Schede bianche";"Schede nulle";"Voti nulli";"Voti contestati non assegnati";"Voti Capolista";"Voti totali"
1;"PIAZZETTA CARD. S.PIGNEDOLI,2";4;112;48;2;34;13;2;33;17;165;13;51;1;4;499;3;4;0;0;45;551
2;"PIAZZETTA CARD. S.PIGNEDOLI,2";10;137;50;2;14;19;9;36;13;143;18;28;4;1;484;0;5;0;0;48;537
3;"VIA FILIPPO RE,6";8;127;49;1;38;17;6;43;11;96;14;44;1;0;455;1;10;0;0;41;507
4;"VIA FILIPPO RE,6";9;95;48;1;18;15;4;24;3;120;15;51;4;0;407;5;3;0;0;35;450
5;"VIALE MONTE S. MICHELE,12";5;110;29;0;16;33;4;27;13;134;3;23;1;2;400;2;7;0;0;32;441
6;"VIALE MONTE S. MICHELE,12";8;107;46;0;32;26;5;18;11;104;12;27;1;6;403;3;4;0;0;21;431
7;"VIALE MONTE GRAPPA,8";8;104;46;8;26;10;6;31;15;133;17;26;0;0;430;3;7;0;0;23;463
8;"VIALE MONTE GRAPPA,8";13;104;41;6;34;19;4;31;12;136;18;49;3;3;473;3;3;0;0;44;523
9;"VIA E. FERRI,14";10;127;35;4;13;34;4;24;6;177;12;30;0;6;482;4;13;0;0;34;533
10;"VIALE MONTE S. MICHELE,12";9;163;55;4;37;11;7;35;16;145;11;30;0;0;523;1;5;0;0;32;561
11;"VIA N. LASAGNI,5/A";7;123;30;1;7;35;1;23;6;211;7;12;0;1;464;4;4;0;0;41;513
12;"VIA R. FRANCHETTI,8";6;98;49;2;29;16;5;37;18;109;11;41;4;3;428;2;1;0;0;41;472
13;"VIA R. FRANCHETTI,8";3;102;34;4;18;10;0;21;13;103;9;21;0;3;341;1;3;0;0;31;376
14;"VIA J. F. KENNEDY,20";1;121;33;1;6;21;1;22;8;152;10;10;0;0;386;1;8;0;0;43;438
15;"VIA J. F. KENNEDY,20";9;122;20;1;12;15;3;24;2;161;6;5;0;0;380;2;4;0;0;27;413
16;"VIA J. F. KENNEDY,20";5;97;17;1;7;35;3;19;5;162;3;6;3;0;363;1;3;0;0;33;400
17;"VIA J. F. KENNEDY,20";6;132;21;0;6;34;13;28;7;182;2;15;2;1;449;2;8;0;0;45;504
18;"VIA F. CONFALONIERI,1";3;154;31;2;9;26;10;26;6;131;1;15;0;1;415;2;8;0;0;31;456
19;"VIA F. CONFALONIERI,1";14;146;42;1;14;36;4;22;8;221;5;14;0;2;529;1;10;0;0;35;575
20;"VIA F. CONFALONIERI,1";6;144;36;4;9;39;1;45;10;209;6;16;1;2;528;2;10;0;0;39;579
21;"VIA CELLA ALL'OLDO,8";4;118;28;2;10;16;3;24;3;203;4;19;0;0;434;2;13;0;0;27;476
22;"VIA CELLA ALL'OLDO,8";13;194;25;0;21;38;12;42;8;234;5;19;1;1;613;3;10;0;0;40;666
23;"VIA CELLA ALL'OLDO,8";7;118;39;1;6;20;2;21;7;190;10;16;0;3;440;0;3;0;0;21;464
24;"VIA G. BRUNO,29";10;177;24;4;9;34;2;27;10;160;16;12;1;0;486;4;12;0;0;35;537
25;"VIA GHIARDA,28";7;132;19;2;11;25;3;30;17;155;12;28;0;1;442;3;14;0;0;41;500
26;"VIA G. PUCCINI,4";2;77;25;0;16;14;2;27;5;124;5;16;0;0;313;3;4;0;0;26;346
27;"VIA G. PUCCINI,4";11;149;27;2;10;27;4;30;11;195;12;14;1;0;493;2;6;0;0;36;537
28;"VIA G. PUCCINI,4";6;117;39;0;9;40;4;38;12;206;9;35;0;6;521;4;11;0;0;41;577
29;"VIA G. PUCCINI,4";11;139;36;5;6;18;3;40;21;187;8;32;0;4;510;1;8;0;0;38;557
30;"VIA PREMUDA,36";6;97;21;0;8;34;4;36;8;228;3;24;0;1;470;2;7;0;0;20;499
31;"VIA PREMUDA,36";6;106;28;1;11;24;7;33;12;199;10;26;3;4;470;6;9;0;0;34;519
32;"VIA PREMUDA,36";6;91;26;1;13;26;2;34;14;259;8;34;1;0;515;4;14;0;0;39;572
33;"VIA PREMUDA,34";7;161;28;1;8;30;4;47;18;251;7;43;1;2;608;0;11;0;0;40;659
34;"VIA PREMUDA,34";17;112;25;1;5;14;1;33;12;187;11;21;1;4;444;2;3;0;0;36;485
35;"VIA PREMUDA,34";10;100;27;2;13;17;4;20;18;179;3;28;2;0;423;2;8;0;0;39;472
36;"VIA PREMUDA,34";9;162;45;5;13;27;7;46;11;216;7;33;1;0;582;3;8;0;0;46;639
37;"VIA F. P. TOSTI,4";8;114;20;1;12;16;3;39;11;190;8;23;0;1;446;2;8;0;0;37;493
38;"VIA F. P. TOSTI,4";5;84;21;3;15;12;5;15;10;110;5;22;0;0;307;3;1;0;0;22;333
39;"VIA D. FREDDI,41";16;173;52;5;14;38;4;53;15;206;5;42;8;1;632;2;12;0;0;39;685
40;"VIA D. FREDDI,41";9;152;36;0;5;47;5;65;30;238;8;30;1;1;627;2;10;0;0;39;678
41;"VIA D. F. CECATI,12";9;112;34;4;28;15;7;39;22;167;19;28;2;4;490;2;3;0;0;42;537
42;"VIA D. F. CECATI,12";6;145;61;15;24;25;1;36;23;176;13;52;5;0;582;1;6;0;0;60;649
43;"VIA D. F. CECATI,12";4;96;26;1;13;14;0;30;10;130;6;26;2;5;363;4;1;0;0;40;408
44;"VIA D. F. CECATI,12";7;128;37;4;16;32;5;40;23;182;9;31;1;2;517;0;10;0;0;44;571
45;"VIA BARTOLO DA SASSOFERRATO,24";7;119;35;1;7;20;6;40;12;220;13;18;0;0;498;5;7;0;0;44;554
46;"VIA BARTOLO DA SASSOFERRATO,24";6;124;29;4;6;30;1;35;10;216;8;47;0;1;517;2;9;0;0;37;565
47;"VIA BISMANTOVA,23";9;125;23;1;9;31;8;31;13;217;11;43;2;4;527;1;13;0;0;48;589
48;"VIA BISMANTOVA,23";9;109;25;1;10;23;3;22;6;149;10;24;1;2;394;3;10;0;0;33;440
49;"VIA BISMANTOVA,23";1;99;25;0;10;35;3;35;2;202;8;27;1;2;450;1;5;0;0;43;499
50;"VIA BISMANTOVA,23";2;97;18;2;4;15;4;27;8;180;3;29;3;1;393;5;9;0;0;31;438
51;"VIA BISMANTOVA,23";7;87;13;2;7;19;6;23;11;149;3;37;1;4;369;1;8;0;0;34;412
52;"VIA DELLA CANALINA,21";10;80;18;3;5;18;4;34;18;167;10;24;1;2;394;2;2;0;0;33;431
53;"VIA M. K. GANDHI,16/C";7;97;20;0;4;22;6;20;10;209;12;35;5;0;447;2;12;0;0;35;496
54;"VIA M. K. GANDHI,16/C";7;93;38;1;8;25;4;51;15;198;10;25;2;4;481;4;8;0;0;51;544
55;"VIA M. K. GANDHI,16/C";4;122;40;1;12;9;2;34;15;239;10;31;1;1;521;4;4;0;0;48;577
56;"VIA DELLA CANALINA,21";4;68;32;0;15;40;6;48;18;320;12;54;3;3;623;0;4;0;0;47;674
57;"VIA DELLA CANALINA,21";6;120;32;1;9;11;1;32;15;196;4;33;3;0;463;1;3;0;0;37;504
58;"VIA DELLA CANALINA,21";6;160;36;1;11;37;6;21;11;256;9;20;3;1;578;0;3;0;1;41;623
59;"VIA F.LLI ROSSELLI,41/1";11;155;44;3;15;31;3;48;23;253;6;33;4;1;630;6;17;0;0;48;701
60;"VIA B. PASCAL,81";4;106;17;4;16;27;7;29;14;249;7;28;1;2;511;4;6;0;0;42;563
61;"VIA B. PASCAL,81";10;168;43;3;11;26;1;41;12;233;12;39;2;1;602;4;18;0;0;51;675
62;"VIA B. PASCAL,81";9;133;20;2;18;22;1;22;9;199;10;21;2;1;469;4;5;0;0;42;520
63;"VIA B. PASCAL,81";11;137;45;4;5;20;2;44;15;291;10;25;2;1;612;5;11;0;0;34;662
64;"VIA B. PASCAL,81";12;138;34;7;9;22;4;34;23;250;7;36;0;1;577;3;16;0;0;35;631
65;"VIA GHIARDA,28";10;130;28;1;10;24;2;43;10;267;14;29;4;1;573;3;1;0;0;30;607
66;"VIA R. IOTTI,2";3;138;8;3;9;18;4;7;4;149;5;18;0;0;366;3;4;0;0;27;400
67;"VIALE UMBERTO I,44";15;98;37;3;13;22;2;36;19;165;9;30;1;2;452;0;12;0;0;30;494
