Anno bilancio;Area DEFR;Missioni;Programmi;Previsione 2024; di cui FPV 2024;Previsione 2025;di cui FPV 2025;Previsione 2026;di cui FPV 2026;
2024;Area Istituzionale e relazioni internazionali;Servizi istituzionali,  generali e di gestione;Organi istituzionali;46.866.690 €;1.280.000 €;46.214.651 €;1.280.000 €;45.884.376 €;1.280.000 €;
2024;Area Istituzionale e relazioni internazionali;Servizi istituzionali,  generali e di gestione;Segreteria generale;1.736.000 €;0 €;1.736.000 €;0 €;1.736.000 €;0 €;
2024;Area Istituzionale e relazioni internazionali;Servizi istituzionali,  generali e di gestione;Gestione economica, finanziaria,  programmazione, provveditorato;326.210.973 €;0 €;326.316.973 €;0 €;326.331.701 €;0 €;
2024;Area Istituzionale e relazioni internazionali;Servizi istituzionali,  generali e di gestione;Gestione delle entrate tributarie e servizi fiscali;12.937.000 €;0 €;12.437.000 €;0 €;12.437.000 €;0 €;
2024;Area Istituzionale e relazioni internazionali;Servizi istituzionali,  generali e di gestione;Gestione dei beni demaniali e patrimoniali;35.865.423 €;0 €;37.648.523 €;0 €;39.186.000 €;0 €;
2024;Area Istituzionale e relazioni internazionali;Servizi istituzionali,  generali e di gestione;Ufficio tecnico;0 €;0 €;0 €;0 €;0 €;0 €;
2024;Area Istituzionale e relazioni internazionali;Servizi istituzionali,  generali e di gestione;Elezioni e consultazioni popolari - Anagrafe e stato civile;0 €;0 €;0 €;0 €;0 €;0 €;
2024;Area Istituzionale e relazioni internazionali;Servizi istituzionali,  generali e di gestione;Statistica e sistemi informativi;35.745.725 €;0 €;32.673.318 €;0 €;34.276.198 €;0 €;
2024;Area Istituzionale e relazioni internazionali;Servizi istituzionali,  generali e di gestione;Assistenza tecnico-amministrativa agli enti locali;1.518.996 €;0 €;552.500 €;0 €;552.500 €;0 €;
2024;Area Istituzionale e relazioni internazionali;Servizi istituzionali,  generali e di gestione;Risorse umane;85.020.531 €;22.300.000 €;81.013.726 €;22.300.000 €;82.359.725 €;22.300.000 €;
2024;Area Istituzionale e relazioni internazionali;Servizi istituzionali,  generali e di gestione;Altri servizi generali;8.854.422 €;0 €;7.745.700 €;0 €;6.869.000 €;0 €;
2024;Area Istituzionale e relazioni internazionali;Relazioni con le altre autonomie territoriali e locali;Relazioni finanziarie con le altre autonomie territoriali;61.192.843 €;0 €;40.192.842 €;0 €;25.310.115 €;0 €;
2024;Area Istituzionale e relazioni internazionali;Relazioni internazionali;Relazioni internazionali e Cooperazione allo sviluppo;5.629.505 €;0 €;5.232.648 €;0 €;5.007.400 €;0 €;
2024;Area Istituzionale e relazioni internazionali;Relazioni internazionali;Cooperazione territoriale;27.845.574 €;0 €;28.270.250 €;0 €;24.000.386 €;0 €;
2024;Area economica;Turismo;Sviluppo e la valorizzazione del turismo;61.729.725 €;0 €;47.433.801 €;0 €;38.094.455 €;0 €;
2024;Area economica;Sviluppo economico e competitività;Industria,  PMI e Artigianato;27.189.531 €;0 €;29.801.000 €;0 €;18.902.140 €;0 €;
2024;Area economica;Sviluppo economico e competitività;Commercio - reti distributive - tutela dei consumatori;19.229.294 €;0 €;23.128.226 €;0 €;16.391.000 €;0 €;
2024;Area economica;Sviluppo economico e competitività;Ricerca e innovazione;173.493.762 €;0 €;162.176.940 €;0 €;65.242.711 €;0 €;
2024;Area economica;Sviluppo economico e competitività;Reti e altri servizi di pubblica utilità;22.599.300 €;0 €;20.892.968 €;0 €;16.808.967 €;0 €;
2024;Area economica;Politiche per il lavoro e la formazione professionale;Servizi per lo sviluppo del mercato del lavoro;53.336.849 €;0 €;54.314.373 €;0 €;1.465.000 €;0 €;
2024;Area economica;Politiche per il lavoro e la formazione professionale;Formazione professionale;23.257.375 €;0 €;15.535.716 €;0 €;2.426.000 €;0 €;
2024;Area economica;Politiche per il lavoro e la formazione professionale;Sostegno all'occupazione;273.828.310 €;0 €;276.018.432 €;0 €;162.785.353 €;0 €;
2024;Area economica;Agricoltura, politiche agroalimentari e pesca;Sviluppo del settore agricolo e del sistema agroalimentare;81.318.498 €;1.025.571 €;91.882.914 €;0 €;96.265.426 €;0 €;
2024;Area economica;Agricoltura, politiche agroalimentari e pesca;Caccia e pesca;13.869.776 €;0 €;16.483.622 €;0 €;14.748.720 €;0 €;
2024;Area economica;Energia e diversificazione delle fonti energetiche;Fonti energetiche;125.023.748 €;0 €;98.356.314 €;0 €;30.092.187 €;0 €;
2024;Area sanità e sociale;Diritti sociali, politiche sociali e famiglia;Interventi per l'infanzia e  i minori e per asili nido;31.346.649 €;0 €;13.910.000 €;0 €;13.910.000 €;0 €;
2024;Area sanità e sociale;Diritti sociali, politiche sociali e famiglia;Interventi per la disabilità;49.945.082 €;1.396.350 €;37.468.350 €;0 €;36.072.000 €;0 €;
2024;Area sanità e sociale;Diritti sociali, politiche sociali e famiglia;Interventi per gli anziani;74.878.599 €;0 €;4.781.500 €;0 €;4.181.500 €;0 €;
2024;Area sanità e sociale;Diritti sociali, politiche sociali e famiglia;Interventi per i soggetti a rischio di esclusione sociale;14.216.873 €;740.000 €;9.633.000 €;0 €;7.512.480 €;0 €;
2024;Area sanità e sociale;Diritti sociali, politiche sociali e famiglia;Interventi  per le famiglie;609.500 €;0 €;568.000 €;0 €;568.000 €;0 €;
2024;Area sanità e sociale;Diritti sociali, politiche sociali e famiglia;Interventi per il diritto alla casa;2.139.000 €;0 €;2.139.000 €;0 €;2.139.000 €;0 €;
