"Anno","Mese","Codice Istat","Provincia","Matrimoni religiosi","Matrimoni civili","Totale"
"2004","Gennaio","037","Bologna","32","64","96"
"2004","Febbraio","037","Bologna","41","96","137"
"2004","Marzo","037","Bologna","28","83","111"
"2004","Aprile","037","Bologna","101","123","224"
"2004","Maggio","037","Bologna","253","218","471"
"2004","Giugno","037","Bologna","330","193","523"
"2004","Luglio","037","Bologna","178","175","353"
"2004","Agosto","037","Bologna","51","83","134"
"2004","Settembre","037","Bologna","330","207","537"
"2004","Ottobre","037","Bologna","130","129","259"
"2004","Novembre","037","Bologna","20","77","97"
"2004","Dicembre","037","Bologna","52","111","163"
"2004","Tutti i mesi","037","Bologna","1546","1559","3105"
"2005","Gennaio","037","Bologna","26","93","119"
"2005","Febbraio","037","Bologna","23","81","104"
"2005","Marzo","037","Bologna","16","92","108"
"2005","Aprile","037","Bologna","149","157","306"
"2005","Maggio","037","Bologna","151","140","291"
"2005","Giugno","037","Bologna","333","205","538"
"2005","Luglio","037","Bologna","205","190","395"
"2005","Agosto","037","Bologna","48","99","147"
"2005","Settembre","037","Bologna","306","191","497"
"2005","Ottobre","037","Bologna","140","155","295"
"2005","Novembre","037","Bologna","15","70","85"
"2005","Dicembre","037","Bologna","56","138","194"
"2005","Tutti i mesi","037","Bologna","1468","1611","3079"
"2006","Gennaio","037","Bologna","17","89","106"
"2006","Febbraio","037","Bologna","31","88","119"
"2006","Marzo","037","Bologna","13","102","115"
"2006","Aprile","037","Bologna","103","137","240"
"2006","Maggio","037","Bologna","153","181","334"
"2006","Giugno","037","Bologna","319","237","556"
"2006","Luglio","037","Bologna","240","216","456"
"2006","Agosto","037","Bologna","57","92","149"
"2006","Settembre","037","Bologna","365","226","591"
"2006","Ottobre","037","Bologna","85","125","210"
"2006","Novembre","037","Bologna","10","69","79"
"2006","Dicembre","037","Bologna","52","141","193"
"2006","Tutti i mesi","037","Bologna","1445","1703","3148"
"2007","Gennaio","037","Bologna","15","77","92"
"2007","Febbraio","037","Bologna","24","94","118"
"2007","Marzo","037","Bologna","22","129","151"
"2007","Aprile","037","Bologna","92","139","231"
"2007","Maggio","037","Bologna","154","187","341"
"2007","Giugno","037","Bologna","360","255","615"
"2007","Luglio","037","Bologna","226","231","457"
"2007","Agosto","037","Bologna","30","79","109"
"2007","Settembre","037","Bologna","375","244","619"
"2007","Ottobre","037","Bologna","95","153","248"
"2007","Novembre","037","Bologna","17","92","109"
"2007","Dicembre","037","Bologna","64","180","244"
"2007","Tutti i mesi","037","Bologna","1474","1860","3334"
"2008","Gennaio","037","Bologna","20","86","106"
"2008","Febbraio","037","Bologna","23","95","118"
"2008","Marzo","037","Bologna","27","139","166"
"2008","Aprile","037","Bologna","108","149","257"
"2008","Maggio","037","Bologna","176","233","409"
"2008","Giugno","037","Bologna","335","259","594"
"2008","Luglio","037","Bologna","173","183","356"
"2008","Agosto","037","Bologna","77","125","202"
"2008","Settembre","037","Bologna","289","207","496"
"2008","Ottobre","037","Bologna","110","157","267"
"2008","Novembre","037","Bologna","15","89","104"
"2008","Dicembre","037","Bologna","53","135","188"
"2008","Tutti i mesi","037","Bologna","1406","1857","3263"
"2009","Gennaio","037","Bologna","21","78","99"
"2009","Febbraio","037","Bologna","28","102","130"
"2009","Marzo","037","Bologna","16","121","137"
"2009","Aprile","037","Bologna","73","142","215"
"2009","Maggio","037","Bologna","177","240","417"
"2009","Giugno","037","Bologna","276","258","534"
"2009","Luglio","037","Bologna","189","211","400"
"2009","Agosto","037","Bologna","62","117","179"
"2009","Settembre","037","Bologna","284","211","495"
"2009","Ottobre","037","Bologna","91","149","240"
"2009","Novembre","037","Bologna","18","73","91"
"2009","Dicembre","037","Bologna","63","128","191"
"2009","Tutti i mesi","037","Bologna","1298","1830","3128"
"2010","Gennaio","037","Bologna","20","76","96"
"2010","Febbraio","037","Bologna","17","74","91"
"2010","Marzo","037","Bologna","9","106","115"
"2010","Aprile","037","Bologna","63","126","189"
"2010","Maggio","037","Bologna","169","219","388"
"2010","Giugno","037","Bologna","254","248","502"
"2010","Luglio","037","Bologna","231","216","447"
"2010","Agosto","037","Bologna","48","111","159"
"2010","Settembre","037","Bologna","246","241","487"
"2010","Ottobre","037","Bologna","112","164","276"
"2010","Novembre","037","Bologna","11","57","68"
"2010","Dicembre","037","Bologna","37","106","143"
"2010","Tutti i mesi","037","Bologna","1217","1744","2961"
"2011","Gennaio","037","Bologna","11","54","65"
"2011","Febbraio","037","Bologna","18","63","81"
"2011","Marzo","037","Bologna","17","93","110"
"2011","Aprile","037","Bologna","40","121","161"
"2011","Maggio","037","Bologna","148","200","348"
"2011","Giugno","037","Bologna","269","246","515"
"2011","Luglio","037","Bologna","201","253","454"
"2011","Agosto","037","Bologna","34","65","99"
"2011","Settembre","037","Bologna","246","213","459"
"2011","Ottobre","037","Bologna","64","144","208"
