"Anno","Mese","Codice Istat","Regione","Matrimoni religiosi","Matrimoni civili","Totale"
"2004","Gennaio","14","Molise","0","1","1"
"2004","Febbraio","14","Molise","0","3","3"
"2004","Marzo","14","Molise","1","2","3"
"2004","Aprile","14","Molise","0","1","1"
"2004","Maggio","14","Molise","0","2","2"
"2004","Giugno","14","Molise","0","2","2"
"2004","Luglio","14","Molise","1","2","3"
"2004","Agosto","14","Molise","0","0","0"
"2004","Settembre","14","Molise","0","2","2"
"2004","Ottobre","14","Molise","0","3","3"
"2004","Novembre","14","Molise","0","1","1"
"2004","Dicembre","14","Molise","0","2","2"
"2004","Tutti i mesi","14","Molise","2","21","23"
"2005","Gennaio","14","Molise","0","4","4"
"2005","Febbraio","14","Molise","0","0","0"
"2005","Marzo","14","Molise","0","3","3"
"2005","Aprile","14","Molise","0","2","2"
"2005","Maggio","14","Molise","0","4","4"
"2005","Giugno","14","Molise","0","3","3"
"2005","Luglio","14","Molise","0","1","1"
"2005","Agosto","14","Molise","0","2","2"
"2005","Settembre","14","Molise","0","3","3"
"2005","Ottobre","14","Molise","0","3","3"
"2005","Novembre","14","Molise","0","0","0"
"2005","Dicembre","14","Molise","0","1","1"
"2005","Tutti i mesi","14","Molise","0","26","26"
"2006","Gennaio","14","Molise","0","3","3"
"2006","Febbraio","14","Molise","0","3","3"
"2006","Marzo","14","Molise","0","2","2"
"2006","Aprile","14","Molise","0","2","2"
"2006","Maggio","14","Molise","0","3","3"
"2006","Giugno","14","Molise","0","3","3"
"2006","Luglio","14","Molise","0","0","0"
"2006","Agosto","14","Molise","0","5","5"
"2006","Settembre","14","Molise","0","4","4"
"2006","Ottobre","14","Molise","1","1","2"
"2006","Novembre","14","Molise","0","0","0"
"2006","Dicembre","14","Molise","1","2","3"
"2006","Tutti i mesi","14","Molise","2","28","30"
"2007","Gennaio","14","Molise","0","2","2"
"2007","Febbraio","14","Molise","0","0","0"
"2007","Marzo","14","Molise","0","1","1"
"2007","Aprile","14","Molise","0","2","2"
"2007","Maggio","14","Molise","0","1","1"
"2007","Giugno","14","Molise","0","4","4"
"2007","Luglio","14","Molise","0","2","2"
"2007","Agosto","14","Molise","0","0","0"
"2007","Settembre","14","Molise","0","4","4"
"2007","Ottobre","14","Molise","0","4","4"
"2007","Novembre","14","Molise","0","1","1"
"2007","Dicembre","14","Molise","0","4","4"
"2007","Tutti i mesi","14","Molise","0","25","25"
"2008","Gennaio","14","Molise","0","0","0"
"2008","Febbraio","14","Molise","0","1","1"
"2008","Marzo","14","Molise","0","3","3"
"2008","Aprile","14","Molise","0","2","2"
"2008","Maggio","14","Molise","0","0","0"
"2008","Giugno","14","Molise","0","5","5"
"2008","Luglio","14","Molise","0","3","3"
"2008","Agosto","14","Molise","0","1","1"
"2008","Settembre","14","Molise","0","2","2"
"2008","Ottobre","14","Molise","0","5","5"
"2008","Novembre","14","Molise","0","1","1"
"2008","Dicembre","14","Molise","0","3","3"
"2008","Tutti i mesi","14","Molise","0","26","26"
"2009","Gennaio","14","Molise","0","1","1"
"2009","Febbraio","14","Molise","0","0","0"
"2009","Marzo","14","Molise","0","2","2"
"2009","Aprile","14","Molise","0","3","3"
"2009","Maggio","14","Molise","0","4","4"
"2009","Giugno","14","Molise","0","3","3"
"2009","Luglio","14","Molise","0","1","1"
"2009","Agosto","14","Molise","0","0","0"
"2009","Settembre","14","Molise","0","1","1"
"2009","Ottobre","14","Molise","0","1","1"
"2009","Novembre","14","Molise","0","0","0"
"2009","Dicembre","14","Molise","0","3","3"
"2009","Tutti i mesi","14","Molise","0","19","19"
"2010","Gennaio","14","Molise","0","0","0"
"2010","Febbraio","14","Molise","0","0","0"
"2010","Marzo","14","Molise","0","4","4"
"2010","Aprile","14","Molise","0","2","2"
"2010","Maggio","14","Molise","0","1","1"
"2010","Giugno","14","Molise","0","4","4"
"2010","Luglio","14","Molise","0","3","3"
"2010","Agosto","14","Molise","0","5","5"
"2010","Settembre","14","Molise","0","1","1"
"2010","Ottobre","14","Molise","0","1","1"
"2010","Novembre","14","Molise","0","0","0"
"2010","Dicembre","14","Molise","0","3","3"
"2010","Tutti i mesi","14","Molise","0","24","24"
"2011","Gennaio","14","Molise","0","2","2"
"2011","Febbraio","14","Molise","0","1","1"
"2011","Marzo","14","Molise","0","1","1"
"2011","Aprile","14","Molise","0","3","3"
"2011","Maggio","14","Molise","0","2","2"
"2011","Giugno","14","Molise","0","0","0"
"2011","Luglio","14","Molise","0","3","3"
"2011","Agosto","14","Molise","0","0","0"
"2011","Settembre","14","Molise","0","2","2"
"2011","Ottobre","14","Molise","0","0","0"
"2011","Novembre","14","Molise","0","1","1"
"2011","Dicembre","14","Molise","0","2","2"
"2011","Tutti i mesi","14","Molise","0","17","17"
"2012","Gennaio","14","Molise","0","0","0"
"2012","Febbraio","14","Molise","0","1","1"
"2012","Marzo","14","Molise","0","0","0"
"2012","Aprile","14","Molise","0","3","3"
"2012","Maggio","14","Molise","0","4","4"
"2012","Giugno","14","Molise","0","1","1"
"2012","Luglio","14","Molise","0","4","4"
"2012","Agosto","14","Molise","0","1","1"
"2012","Settembre","14","Molise","1","1","2"
"2012","Ottobre","14","Molise","0","2","2"
"2012","Novembre","14","Molise","0","3","3"
"2012","Dicembre","14","Molise","0","4","4"
"2012","Tutti i mesi","14","Molise","1","24","25"
"2013","Gennaio","14","Molise","0","0","0"
"2013","Febbraio","14","Molise","0","0","0"
"2013","Marzo","14","Molise","0","0","0"
"2013","Aprile","14","Molise","0","2","2"
"2013","Maggio","14","Molise","0","0","0"
"2013","Giugno","14","Molise","1","2","3"
"2013","Luglio","14","Molise","0","2","2"
"2013","Agosto","14","Molise","0","1","1"
"2013","Settembre","14","Molise","0","2","2"
"2013","Ottobre","14","Molise","0","1","1"
"2013","Novembre","14","Molise","0","1","1"
"2013","Dicembre","14","Molise","0","1","1"
"2013","Tutti i mesi","14","Molise","1","12","13"
"2014","Gennaio","14","Molise","0","3","3"
"2014","Febbraio","14","Molise","0","0","0"
"2014","Marzo","14","Molise","0","0","0"
"2014","Aprile","14","Molise","0","3","3"
"2014","Maggio","14","Molise","0","2","2"
"2014","Giugno","14","Molise","0","2","2"
"2014","Luglio","14","Molise","0","1","1"
"2014","Agosto","14","Molise","0","8","8"
"2014","Settembre","14","Molise","0","6","6"
"2014","Ottobre","14","Molise","0","2","2"
"2014","Novembre","14","Molise","0","0","0"
"2014","Dicembre","14","Molise","0","4","4"
"2014","Tutti i mesi","14","Molise","0","31","31"
"2015","Gennaio","14","Molise","0","0","0"
"2015","Febbraio","14","Molise","0","2","2"
"2015","Marzo","14","Molise","0","4","4"
"2015","Aprile","14","Molise","0","1","1"
"2015","Maggio","14","Molise","0","2","2"
"2015","Giugno","14","Molise","0","3","3"
"2015","Luglio","14","Molise","0","3","3"
"2015","Agosto","14","Molise","0","4","4"
"2015","Settembre","14","Molise","0","1","1"
"2015","Ottobre","14","Molise","0","0","0"
"2015","Novembre","14","Molise","0","2","2"
"2015","Dicembre","14","Molise","1","2","3"
"2015","Tutti i mesi","14","Molise","1","24","25"
"2016","Gennaio","14","Molise","0","2","2"
"2016","Febbraio","14","Molise","0","3","3"
"2016","Marzo","14","Molise","0","0","0"
"2016","Aprile","14","Molise","0","5","5"
"2016","Maggio","14","Molise","0","5","5"
"2016","Giugno","14","Molise","0","3","3"
"2016","Luglio","14","Molise","0","4","4"
"2016","Agosto","14","Molise","0","1","1"
"2016","Settembre","14","Molise","0","3","3"
"2016","Ottobre","14","Molise","0","4","4"
"2016","Novembre","14","Molise","0","1","1"
"2016","Dicembre","14","Molise","0","10","10"
"2016","Tutti i mesi","14","Molise","0","41","41"
"2017","Gennaio","14","Molise","0","2","2"
"2017","Febbraio","14","Molise","0","2","2"
"2017","Marzo","14","Molise","0","1","1"
"2017","Aprile","14","Molise","0","3","3"
"2017","Maggio","14","Molise","0","2","2"
"2017","Giugno","14","Molise","0","4","4"
"2017","Luglio","14","Molise","0","5","5"
"2017","Agosto","14","Molise","1","3","4"
"2017","Settembre","14","Molise","0","4","4"
