PROVINCIA;COMUNE;AUTOBUS;AUTOCARRO TRASPORTO MERCI;AUTOVEICOLO SPECIALE O SPECIFICO;AUTOVETTURA;MOTOCARRO E QUADRICICLO TRASPORTO MERCI;MOTOCICLO;MOTOVEICOLO E QUADRICICLI SPECIALE O SPECIFICO;TRATTORE STRADALE O MOTRICE;ALTRO;Totale complessivo
BOLOGNA;S.BENEDETTO VAL DI SAMBRO;;9;1;60;0;7;0;;0;77
BOLOGNA;SALA BOLOGNESE;;20;2;177;0;19;0;;5;223
BOLOGNA;SAN GIORGIO DI PIANO;;7;4;135;0;11;0;;0;157
BOLOGNA;SAN GIOVANNI IN PERSICETO;;41;13;434;0;40;0;;0;528
BOLOGNA;SAN LAZZARO DI SAVENA;;27;6;608;0;88;0;;0;729
BOLOGNA;SAN PIETRO IN CASALE;;9;5;198;0;11;0;;0;223
BOLOGNA;SANT'AGATA BOLOGNESE;;7;1;135;0;5;0;;0;148
BOLOGNA;SASSO MARCONI;;10;2;256;0;42;0;;0;310
BOLOGNA;VALSAMOGGIA;;46;3;627;0;39;0;;2;717
BOLOGNA;VERGATO;;3;2;101;0;12;0;;0;118
BOLOGNA;ZOLA PREDOSA;;31;4;374;0;53;0;;0;462
FORLI' CESENA;BAGNO DI ROMAGNA;;4;;65;0;6;0;;1;76
FORLI' CESENA;BERTINORO;;10;4;164;0;23;1;;0;202
FORLI' CESENA;BORGHI;;2;;36;0;3;0;;0;41
FORLI' CESENA;CASTROCARO TERME T.D.SOLE;;4;1;69;0;12;0;;1;87
FORLI' CESENA;CESENA;21;295;81;1976;6;328;0;72;92;2871
FORLI' CESENA;CESENATICO;;24;5;365;0;83;0;1;0;478
FORLI' CESENA;CIVITELLA DI ROMAGNA;;;1;43;0;7;1;;1;53
FORLI' CESENA;DOVADOLA;;2;;22;0;2;0;;0;26
FORLI' CESENA;FORLI';;145;17;2058;1;233;1;3;1;2459
FORLI' CESENA;FORLIMPOPOLI;;16;4;187;0;25;1;4;14;251
FORLI' CESENA;GALEATA;;4;;27;0;4;0;;0;35
FORLI' CESENA;GAMBETTOLA;;6;4;156;0;23;0;1;1;191
FORLI' CESENA;GATTEO;;7;1;116;0;18;0;;1;143
FORLI' CESENA;LONGIANO;;12;;112;0;20;0;1;0;145
FORLI' CESENA;MELDOLA;;8;2;129;0;15;1;;0;155
FORLI' CESENA;MERCATO SARACENO;;12;;106;0;16;0;;2;136
FORLI' CESENA;MODIGLIANA;;1;1;44;1;9;0;;0;56
FORLI' CESENA;MONTIANO;;1;;28;0;4;0;;0;33
FORLI' CESENA;PORTICO E SAN BENEDETTO;;1;;6;0;1;0;;0;8
FORLI' CESENA;PREDAPPIO;;4;;101;0;11;0;;0;116
FORLI' CESENA;PREMILCUORE;;2;;6;0;2;0;;0;10
FORLI' CESENA;ROCCA SAN CASCIANO;;2;2;25;0;1;0;;0;30
FORLI' CESENA;RONCOFREDDO;;8;;51;0;3;0;;0;62
FORLI' CESENA;SAN MAURO PASCOLI;;14;;166;1;37;0;1;0;219
FORLI' CESENA;SANTA SOFIA;;2;;56;0;5;1;;1;65
FORLI' CESENA;SARSINA;;4;;44;0;7;0;;3;58
FORLI' CESENA;SAVIGNANO SUL RUBICONE;;15;1;226;1;43;0;;0;286
FORLI' CESENA;SOGLIANO AL RUBICONE;;4;;33;0;4;0;1;0;42
FORLI' CESENA;TREDOZIO;;1;;14;0;0;0;;0;15
FORLI' CESENA;VERGHERETO;;4;1;19;0;2;0;;0;26
FERRARA;ARGENTA;;25;4;342;0;19;0;;1;391
FERRARA;BERRA;;4;2;74;0;5;0;;0;85
FERRARA;BONDENO;1;9;;227;0;18;0;;0;255
FERRARA;CENTO;;27;1;551;0;48;0;;1;628
FERRARA;CODIGORO;;11;1;153;0;22;0;;4;191
FERRARA;COMACCHIO;;29;;373;0;40;0;;0;442
FERRARA;COPPARO;;13;1;263;0;18;0;;0;295
FERRARA;FERRARA;1;95;11;2608;3;247;0;1;4;2970
FERRARA;FISCAGLIA;;5;5;123;0;7;0;;0;140
FERRARA;FORMIGNANA;;1;4;40;0;2;0;;0;47
FERRARA;GORO;;1;1;50;0;3;0;;0;55
FERRARA;JOLANDA DI SAVOIA;;1;;28;0;3;0;;0;32
FERRARA;LAGOSANTO;;2;;83;0;9;0;;0;94
FERRARA;MASI TORELLO;;2;;27;0;4;0;;0;33
FERRARA;MESOLA;;4;1;80;0;8;0;;0;93
FERRARA;MIRABELLO;;1;;47;0;3;0;;0;51
FERRARA;OSTELLATO;;4;1;96;0;1;0;;0;102
FERRARA;POGGIO RENATICO;;9;3;153;0;13;0;;0;178
FERRARA;PORTOMAGGIORE;;7;1;161;0;13;0;;1;183
FERRARA;RO;;1;;46;0;4;0;;0;51
FERRARA;SANT'AGOSTINO;;4;;128;0;6;0;;0;138
FERRARA;TRESIGALLO;;1;;55;0;4;0;;0;60
FERRARA;VIGARANO MAINARDA;;6;;181;0;13;0;;0;200
FERRARA;VOGHIERA;;2;;56;0;7;0;;0;65
MODENA;BASTIGLIA;;6;1;68;0;3;0;;0;78
MODENA;BOMPORTO;;10;2;177;0;15;0;;0;204
MODENA;CAMPOGALLIANO;;12;4;186;0;12;0;1;0;215
MODENA;CAMPOSANTO;1;6;;51;0;2;0;;0;60
MODENA;CARPI;;93;17;1224;1;140;1;;0;1476
MODENA;CASTELFRANCO EMILIA;;37;7;509;1;47;0;;0;601
MODENA;CASTELNUOVO RANGONE;;20;1;323;0;23;0;1;0;368
MODENA;CASTELVETRO DI MODENA;;14;2;207;0;25;0;;0;248
MODENA;CAVEZZO;;8;2;97;0;8;0;;0;115
MODENA;CONCORDIA SULLA SECCHIA;;10;2;88;0;17;0;;0;117
MODENA;FANANO;;3;2;37;0;2;0;;0;44
MODENA;FINALE EMILIA;;22;2;250;0;15;1;;0;290
MODENA;FIORANO MODENESE;;31;2;339;1;28;0;4;3;408
MODENA;FIUMALBO;;;1;15;0;1;0;;0;17
MODENA;FORMIGINE;;31;1;624;0;60;0;;0;716
MODENA;FRASSINORO;;7;;30;0;2;2;;0;41
MODENA;GUIGLIA;;3;;73;0;6;0;;0;82
MODENA;LAMA MOCOGNO;;6;;34;0;6;0;;0;46
MODENA;MARANELLO;;16;7;317;0;20;0;;0;360
MODENA;MARANO SUL PANARO;;4;;99;0;7;0;;0;110
MODENA;MEDOLLA;;10;1;114;0;10;0;;0;135
MODENA;MIRANDOLA;;43;4;493;0;27;0;;1;568
MODENA;MODENA;3;198;36;3860;1;284;2;3;4;4391
MODENA;MONTECRETO;;2;;13;0;2;0;;0;17
MODENA;MONTEFIORINO;;5;;33;1;0;0;;0;39
MODENA;MONTESE;1;6;4;50;0;5;1;;0;67
MODENA;NONANTOLA;;12;3;281;0;19;0;;0;315
MODENA;NOVI DI MODENA;;13;2;131;0;11;1;;0;158
MODENA;PALAGANO;;;;31;0;1;0;;1;33
MODENA;PAVULLO NEL FRIGNANO;;22;3;218;0;21;0;;2;266
MODENA;PIEVEPELAGO;;4;;30;1;5;1;;0;41
MODENA;POLINAGO;;1;;19;0;1;0;1;0;22
MODENA;PRIGNANO SULLA SECCHIA;;5;1;68;0;9;1;;0;84
MODENA;RAVARINO;;5;3;99;0;5;0;;0;112
MODENA;RIOLUNATO;;;;8;0;0;0;;0;8
MODENA;SAN CESARIO SUL PANARO;;10;1;122;0;12;0;;1;146
MODENA;SAN FELICE SUL PANARO;;9;1;147;0;8;0;1;0;166
MODENA;SAN POSSIDONIO;;3;;47;0;2;0;;0;52
