PROVINCIA;COMUNE;AUTOBUS;AUTOCARRO TRASPORTO MERCI;AUTOVEICOLO SPECIALE O SPECIFICO;AUTOVETTURA;MOTOCARRO E QUADRICICLO TRASPORTO MERCI;MOTOCICLO;MOTOVEICOLO E QUADRICICLO SPECIALE O SPECIFICO;TRATTORE STRADALE O MOTRICE;ALTRO;Totale complessivo
BOLOGNA;ALTO RENO TERME;1;1;;172;0;8;0;;1;183
BOLOGNA;ANZOLA DELL'EMILIA;;31;8;228;0;19;0;2;1;289
BOLOGNA;ARGELATO;;15;;200;0;19;0;1;0;235
BOLOGNA;BARICELLA;;4;1;77;0;7;0;;0;89
BOLOGNA;BENTIVOGLIO;;25;2;139;0;10;0;;0;176
BOLOGNA;BOLOGNA;68;507;106;7926;3;1833;5;2;12;10462
BOLOGNA;BORGO TOSSIGNANO;;12;1;35;0;7;0;1;1;57
BOLOGNA;BUDRIO;2;11;3;259;0;25;0;;0;300
BOLOGNA;CALDERARA DI RENO;;30;6;245;0;30;0;;0;311
BOLOGNA;CAMUGNANO;;2;;24;0;1;0;;0;27
BOLOGNA;CASALECCHIO DI RENO;;26;5;749;0;81;0;;1;862
BOLOGNA;CASALFIUMANESE;;9;;39;0;5;0;;0;53
BOLOGNA;CASTEL D'AIANO;;2;;23;0;6;0;;0;31
BOLOGNA;CASTEL DEL RIO;1;1;;18;0;0;0;;0;20
BOLOGNA;CASTEL DI CASIO;;3;3;36;0;7;0;;2;51
BOLOGNA;CASTEL GUELFO DI BOLOGNA;;8;1;81;0;6;0;;1;97
BOLOGNA;CASTEL MAGGIORE;;45;4;369;0;41;0;;1;460
BOLOGNA;CASTEL SAN PIETRO TERME;;17;5;375;0;36;0;;0;433
BOLOGNA;CASTELLO D'ARGILE;1;6;;93;0;11;0;;0;111
BOLOGNA;CASTENASO;;23;3;335;0;40;0;;0;401
BOLOGNA;CASTIGLIONE DEI PEPOLI;;5;;60;0;6;0;;0;71
BOLOGNA;CREVALCORE;;10;4;140;0;10;0;1;0;165
BOLOGNA;DOZZA;;1;1;105;0;13;0;;0;120
BOLOGNA;FONTANELICE;;1;;34;0;7;0;;1;43
BOLOGNA;GAGGIO MONTANO;;2;1;60;0;4;0;;0;67
BOLOGNA;GALLIERA;;2;;71;0;3;0;;0;76
BOLOGNA;GRANAROLO DELL'EMILIA;;22;5;573;0;27;0;;0;627
BOLOGNA;GRIZZANA MORANDI;2;2;;58;0;2;0;;0;64
BOLOGNA;IMOLA;;79;16;1339;2;125;0;3;6;1570
BOLOGNA;LIZZANO IN BELVEDERE;;1;;23;0;3;0;;0;27
BOLOGNA;LOIANO;;;1;47;0;8;0;;0;56
BOLOGNA;MALALBERGO;;7;3;151;0;19;1;;0;181
BOLOGNA;MARZABOTTO;;4;1;111;0;5;0;;1;122
BOLOGNA;MEDICINA;;17;5;253;0;27;0;3;4;309
BOLOGNA;MINERBIO;;8;1;132;0;15;0;;0;156
BOLOGNA;MOLINELLA;;13;3;197;0;23;1;2;1;240
BOLOGNA;MONGHIDORO;;1;1;36;0;2;0;;0;40
BOLOGNA;MONTE SAN PIETRO;;11;2;189;0;27;0;;0;229
BOLOGNA;MONTERENZIO;;9;1;100;0;13;0;;0;123
BOLOGNA;MONZUNO;;2;;72;0;10;0;;0;84
BOLOGNA;MORDANO;;11;3;58;0;8;0;;0;80
BOLOGNA;OZZANO DELL'EMILIA;;18;3;248;0;35;0;;0;304
BOLOGNA;PIANORO;;15;4;299;0;57;1;;0;376
BOLOGNA;PIEVE DI CENTO;;4;1;92;0;3;0;;0;100
BOLOGNA;S.BENEDETTO VAL DI SAMBRO;;7;1;51;0;8;1;;0;68
BOLOGNA;SALA BOLOGNESE;;11;2;169;0;25;0;2;4;213
BOLOGNA;SAN GIORGIO DI PIANO;;6;6;143;1;18;0;;0;174
BOLOGNA;SAN GIOVANNI IN PERSICETO;;23;8;401;0;50;0;;0;482
BOLOGNA;SAN LAZZARO DI SAVENA;;31;5;559;0;127;1;;0;723
BOLOGNA;SAN PIETRO IN CASALE;;13;4;178;0;15;0;;0;210
BOLOGNA;SANT'AGATA BOLOGNESE;;3;1;140;0;10;0;;0;154
