PROVINCIA;COMUNE;AUTOBUS;AUTOCARRO TRASPORTO MERCI;AUTOVEICOLO SPECIALE O SPECIFICO;AUTOVETTURA;MOTOCARRO E QUADRICICLO TRASPORTO MERCI;MOTOCICLO;MOTOVEICOLO E QUADRICICLO SPECIALE O SPECIFICO;TRATTORE STRADALE O MOTRICE;ALTRO;Totale complessivo
BOLOGNA;ALTO RENO TERME;;5;;140;0;3;0;;0;148
BOLOGNA;ANZOLA DELL'EMILIA;;59;;156;0;12;0;;2;229
BOLOGNA;ARGELATO;;24;1;161;0;17;1;1;2;207
BOLOGNA;BARICELLA;;7;;90;0;3;0;;0;100
BOLOGNA;BENTIVOGLIO;;20;1;99;0;6;0;;0;126
BOLOGNA;BOLOGNA;12;510;91;7894;1;1217;6;4;9;9744
BOLOGNA;BORGO TOSSIGNANO;;7;;29;0;4;0;;0;40
BOLOGNA;BUDRIO;1;13;1;271;0;17;0;;0;303
BOLOGNA;CALDERARA DI RENO;;30;2;220;0;22;0;;0;274
BOLOGNA;CAMUGNANO;;1;;17;0;0;1;;0;19
BOLOGNA;CASALECCHIO DI RENO;;43;;659;0;57;2;;0;761
BOLOGNA;CASALFIUMANESE;;3;;43;0;3;0;;0;49
BOLOGNA;CASTEL D'AIANO;;4;;17;0;0;0;;0;21
BOLOGNA;CASTEL DEL RIO;1;1;;10;0;0;0;;0;12
BOLOGNA;CASTEL DI CASIO;1;7;1;35;0;2;0;1;0;47
BOLOGNA;CASTEL GUELFO DI BOLOGNA;;9;2;60;0;5;0;;1;77
BOLOGNA;CASTEL MAGGIORE;;26;2;395;0;27;0;;0;450
BOLOGNA;CASTEL SAN PIETRO TERME;;23;8;282;0;17;0;;1;331
BOLOGNA;CASTELLO D'ARGILE;;10;;96;0;5;0;;0;111
BOLOGNA;CASTENASO;;24;1;392;0;30;0;;0;447
BOLOGNA;CASTIGLIONE DEI PEPOLI;;2;;42;0;2;0;;0;46
BOLOGNA;CREVALCORE;;15;1;145;0;9;0;;0;170
BOLOGNA;DOZZA;;11;;90;0;6;0;;1;108
BOLOGNA;FONTANELICE;;;;22;0;1;0;;0;23
BOLOGNA;GAGGIO MONTANO;;6;;59;0;3;0;;0;68
BOLOGNA;GALLIERA;;1;2;55;0;2;0;;1;61
BOLOGNA;GRANAROLO DELL'EMILIA;;16;1;530;0;16;0;;0;563
BOLOGNA;GRIZZANA MORANDI;4;4;1;36;0;2;0;;0;47
BOLOGNA;IMOLA;;105;6;1145;0;50;2;2;3;1313
BOLOGNA;LIZZANO IN BELVEDERE;;2;1;16;0;4;0;;0;23
BOLOGNA;LOIANO;;4;;72;0;5;0;;0;81
BOLOGNA;MALALBERGO;;7;;107;0;3;0;;0;117
BOLOGNA;MARZABOTTO;;3;1;96;0;11;1;;0;112
BOLOGNA;MEDICINA;;21;;204;0;2;0;1;0;228
BOLOGNA;MINERBIO;;11;2;115;0;9;0;;0;137
BOLOGNA;MOLINELLA;;19;;193;0;10;0;;1;223
BOLOGNA;MONGHIDORO;;4;1;18;0;3;0;;0;26
BOLOGNA;MONTE SAN PIETRO;;29;1;178;0;19;0;;0;227
BOLOGNA;MONTERENZIO;;4;2;73;0;9;0;;0;88
BOLOGNA;MONZUNO;;2;1;54;0;6;0;;0;63
BOLOGNA;MORDANO;;3;;49;0;3;0;1;0;56
BOLOGNA;OZZANO DELL'EMILIA;;21;;218;0;19;0;;0;258
BOLOGNA;PIANORO;;17;3;282;0;30;0;;0;332
BOLOGNA;PIEVE DI CENTO;;7;;80;0;4;0;1;0;92
BOLOGNA;S.BENEDETTO VAL DI SAMBRO;;5;;52;0;3;0;;0;60
BOLOGNA;SALA BOLOGNESE;1;18;;148;0;8;1;5;0;181
BOLOGNA;SAN GIORGIO DI PIANO;1;16;1;120;0;6;0;;0;144
BOLOGNA;SAN GIOVANNI IN PERSICETO;;31;13;318;0;27;0;1;0;390
BOLOGNA;SAN LAZZARO DI SAVENA;;27;2;490;0;71;1;;0;591
BOLOGNA;SAN PIETRO IN CASALE;;10;4;144;0;10;0;;3;171
BOLOGNA;SANT'AGATA BOLOGNESE;;12;1;88;0;4;0;1;0;106
BOLOGNA;SASSO MARCONI;;12;2;212;0;20;0;;1;247
BOLOGNA;VALSAMOGGIA;;44;7;411;0;21;0;;0;483
BOLOGNA;VERGATO;;8;2;62;0;7;0;;0;79
BOLOGNA;ZOLA PREDOSA;;22;4;313;0;25;1;;3;368
FORLI' CESENA;BAGNO DI ROMAGNA;;11;;51;0;4;0;1;1;68
FORLI' CESENA;BERTINORO;;10;2;127;0;5;0;1;4;149
FORLI' CESENA;BORGHI;;;;19;0;1;0;;0;20
FORLI' CESENA;CASTROCARO TERME T.D.SOLE;;8;2;64;0;5;0;;1;80
FORLI' CESENA;CESENA;42;262;84;1704;0;180;1;51;88;2412
FORLI' CESENA;CESENATICO;;37;7;385;0;42;0;1;1;473
FORLI' CESENA;CIVITELLA DI ROMAGNA;;4;;44;0;3;0;;0;51
FORLI' CESENA;DOVADOLA;;1;;11;0;0;0;;0;12
FORLI' CESENA;FORLI';2;161;24;1624;0;131;2;5;3;1952
FORLI' CESENA;FORLIMPOPOLI;;10;1;115;0;17;0;3;11;157
FORLI' CESENA;GALEATA;;4;;19;0;1;0;;0;24
FORLI' CESENA;GAMBETTOLA;;17;2;93;0;7;0;1;1;121
FORLI' CESENA;GATTEO;;13;;92;0;7;0;;0;112
FORLI' CESENA;LONGIANO;;13;2;60;0;5;0;1;1;82
FORLI' CESENA;MELDOLA;;6;2;85;0;15;0;;1;109
FORLI' CESENA;MERCATO SARACENO;;21;;68;0;7;0;;0;96
FORLI' CESENA;MODIGLIANA;;7;;45;0;5;0;;0;57
FORLI' CESENA;MONTIANO;;1;;15;0;4;0;;0;20
FORLI' CESENA;PORTICO E SAN BENEDETTO;;;;3;0;0;0;;0;3
FORLI' CESENA;PREDAPPIO;;9;;41;0;5;0;;0;55
FORLI' CESENA;PREMILCUORE;;1;;7;0;0;0;;1;9
FORLI' CESENA;ROCCA SAN CASCIANO;;1;;15;0;0;0;;0;16
FORLI' CESENA;RONCOFREDDO;;5;1;36;0;1;0;;1;44
FORLI' CESENA;SAN MAURO PASCOLI;;17;1;126;0;15;0;;0;159
FORLI' CESENA;SANTA SOFIA;;3;;37;0;2;0;;0;42
FORLI' CESENA;SARSINA;;5;1;32;0;3;0;;0;41
FORLI' CESENA;SAVIGNANO SUL RUBICONE;;20;3;171;0;23;0;;0;217
FORLI' CESENA;SOGLIANO AL RUBICONE;;5;;23;0;0;0;;1;29
FORLI' CESENA;TREDOZIO;;2;;11;0;1;0;;0;14
FORLI' CESENA;VERGHERETO;;1;;11;0;2;0;;0;14
FERRARA;ARGENTA;;16;4;250;0;10;0;;1;281
FERRARA;BERRA;;1;1;48;0;2;0;;0;52
FERRARA;BONDENO;;16;1;194;0;7;0;1;0;219
FERRARA;CENTO;;34;2;523;0;12;0;;0;571
FERRARA;CODIGORO;;10;2;104;0;6;0;;0;122
FERRARA;COMACCHIO;;28;3;311;0;17;0;;0;359
FERRARA;COPPARO;;6;4;211;0;8;0;;0;229
FERRARA;FERRARA;3;124;8;2279;0;140;0;1;2;2557
FERRARA;FISCAGLIA;;7;3;94;0;4;1;;0;109
FERRARA;FORMIGNANA;;;;48;0;0;0;;0;48
FERRARA;GORO;;11;5;50;0;0;0;;0;66
FERRARA;JOLANDA DI SAVOIA;;2;;25;0;4;0;;0;31
FERRARA;LAGOSANTO;;2;1;51;0;2;0;;0;56
FERRARA;MASI TORELLO;;1;;32;0;2;0;;0;35
FERRARA;MESOLA;;6;1;57;0;4;0;;0;68
FERRARA;OSTELLATO;;7;1;70;0;2;0;;0;80
FERRARA;POGGIO RENATICO;;5;1;130;0;7;0;;0;143
FERRARA;PORTOMAGGIORE;;4;;133;0;6;0;;0;143
FERRARA;RO;;5;;39;0;1;0;;0;45
FERRARA;TERRE DEL RENO;;11;1;151;0;8;0;;0;171
FERRARA;TRESIGALLO;;5;;60;0;1;0;;2;68
FERRARA;VIGARANO MAINARDA;;2;;117;0;5;0;;0;124
FERRARA;VOGHIERA;;4;;41;0;1;0;;0;46
MODENA;BASTIGLIA;;3;;35;0;5;0;;0;43
MODENA;BOMPORTO;;13;1;122;0;6;0;;1;143
MODENA;CAMPOGALLIANO;;17;1;114;0;8;0;;0;140
MODENA;CAMPOSANTO;;4;;28;0;2;0;;0;34
MODENA;CARPI;1;105;8;948;1;75;1;;2;1141
MODENA;CASTELFRANCO EMILIA;;32;3;448;1;19;2;;0;505
MODENA;CASTELNUOVO RANGONE;;19;2;210;0;7;0;;1;239
MODENA;CASTELVETRO DI MODENA;;16;4;159;0;9;1;;0;189
MODENA;CAVEZZO;;5;1;72;0;9;0;;1;88
MODENA;CONCORDIA SULLA SECCHIA;;11;1;77;0;8;0;;0;97
MODENA;FANANO;;5;;29;0;2;1;;0;37
MODENA;FINALE EMILIA;;31;3;151;0;12;0;;0;197
MODENA;FIORANO MODENESE;;44;8;282;0;13;1;;1;349
MODENA;FIUMALBO;;3;;11;0;1;0;;0;15
MODENA;FORMIGINE;;59;4;451;0;34;6;4;3;561
MODENA;FRASSINORO;;1;1;12;0;0;0;;0;14
MODENA;GUIGLIA;;4;2;38;0;5;0;1;0;50
MODENA;LAMA MOCOGNO;;3;;13;0;2;1;2;1;22
MODENA;MARANELLO;;26;6;253;0;15;1;1;1;303
MODENA;MARANO SUL PANARO;;6;;55;0;1;0;;0;62
MODENA;MEDOLLA;;9;1;89;0;5;0;;0;104
MODENA;MIRANDOLA;;87;4;493;0;14;0;4;2;604
MODENA;MODENA;18;252;39;3719;1;132;2;1;1;4165
MODENA;MONTECRETO;;1;;10;0;1;0;;0;12
MODENA;MONTEFIORINO;;4;1;25;0;3;0;;0;33
MODENA;MONTESE;;9;2;25;0;5;1;1;1;44
MODENA;NONANTOLA;;16;3;191;0;8;0;;1;219
MODENA;NOVI DI MODENA;;6;1;109;0;4;0;;0;120
MODENA;PALAGANO;;7;1;21;0;1;1;;0;31
MODENA;PAVULLO NEL FRIGNANO;;19;1;153;0;12;0;;1;186
MODENA;PIEVEPELAGO;;2;;14;0;1;0;;0;17
MODENA;POLINAGO;;3;;17;0;0;0;;0;20
MODENA;PRIGNANO SULLA SECCHIA;;14;;47;0;4;0;;2;67
MODENA;RAVARINO;;6;1;72;0;0;0;;1;80
MODENA;RIOLUNATO;;;;6;0;1;0;;0;7
MODENA;SAN CESARIO SUL PANARO;;9;9;84;0;4;0;;0;106
MODENA;SAN FELICE SUL PANARO;;10;2;126;0;5;0;1;4;148
MODENA;SAN POSSIDONIO;;2;1;36;0;1;0;;0;40
MODENA;SAN PROSPERO;;8;;59;0;5;0;;0;72
MODENA;SASSUOLO;;146;;1730;0;32;0;9;10;1927
MODENA;SAVIGNANO SUL PANARO;;15;1;107;0;6;1;;1;131
MODENA;SERRAMAZZONI;;13;;82;0;2;1;1;1;100
MODENA;SESTOLA;;2;;13;0;0;0;;0;15
MODENA;SOLIERA;;24;2;213;0;10;0;;0;249
MODENA;SPILAMBERTO;;18;2;138;0;11;0;;2;171
