PROVINCIA;COMUNE;AUTOBUS;AUTOCARRO TRASPORTO MERCI;AUTOVEICOLO SPECIALE O SPECIFICO;AUTOVETTURA;MOTOCARRO E QUADRICICLO TRASPORTO MERCI;MOTOCICLO;MOTOVEICOLO E QUADRICICLO SPECIALE O SPECIFICO;TRATTORE STRADALE O MOTRICE;ALTRO;TOTALE
BOLOGNA;ALTO RENO TERME;;10;2;72;0;10;0;;0;94
BOLOGNA;ANZOLA DELL'EMILIA;;9;5;172;0;31;0;3;1;221
BOLOGNA;ARGELATO;;15;3;146;0;26;0;1;2;193
BOLOGNA;BARICELLA;;3;;90;0;14;0;;1;108
BOLOGNA;BENTIVOGLIO;;4;1;79;0;15;1;;0;100
BOLOGNA;BOLOGNA;51;363;96;7037;0;2250;25;6;7;9835
BOLOGNA;BORGO TOSSIGNANO;;3;;33;0;13;0;;1;50
BOLOGNA;BUDRIO;;19;1;211;0;45;0;;0;276
BOLOGNA;CALDERARA DI RENO;;18;4;184;0;50;0;;0;256
BOLOGNA;CAMUGNANO;2;3;;16;0;4;0;;0;25
BOLOGNA;CASALECCHIO DI RENO;;25;9;592;0;168;2;;1;797
BOLOGNA;CASALFIUMANESE;;5;1;32;0;8;0;;0;46
BOLOGNA;CASTEL D'AIANO;;;1;21;0;1;0;;0;23
BOLOGNA;CASTEL DEL RIO;1;;;5;0;3;0;;0;9
BOLOGNA;CASTEL DI CASIO;1;5;;33;0;8;0;4;0;51
BOLOGNA;CASTEL GUELFO DI BOLOGNA;;8;1;61;0;12;0;;1;83
BOLOGNA;CASTEL MAGGIORE;;27;5;287;0;79;0;;0;398
BOLOGNA;CASTEL SAN PIETRO TERME;;14;9;249;0;43;0;1;1;317
BOLOGNA;CASTELLO D'ARGILE;;5;;75;0;19;0;;0;99
BOLOGNA;CASTENASO;;19;5;401;0;44;0;;1;470
BOLOGNA;CASTIGLIONE DEI PEPOLI;;1;2;45;0;11;0;;1;60
BOLOGNA;CREVALCORE;;8;3;148;0;22;1;1;1;184
BOLOGNA;DOZZA;1;7;;77;0;15;1;;1;102
BOLOGNA;FONTANELICE;;1;1;20;0;4;0;;0;26
BOLOGNA;GAGGIO MONTANO;;5;;45;0;11;0;2;2;65
BOLOGNA;GALLIERA;;3;4;54;0;1;0;;0;62
BOLOGNA;GRANAROLO DELL'EMILIA;;15;5;228;0;44;0;;0;292
BOLOGNA;GRIZZANA MORANDI;5;;2;25;0;6;0;;0;38
BOLOGNA;IMOLA;;78;16;1148;0;153;2;1;2;1400
BOLOGNA;LIZZANO IN BELVEDERE;;2;;11;0;4;0;;0;17
BOLOGNA;LOIANO;;4;;36;0;11;0;;0;51
BOLOGNA;MALALBERGO;;7;1;115;0;23;1;;0;147
BOLOGNA;MARZABOTTO;;6;1;76;0;18;1;;0;102
BOLOGNA;MEDICINA;;17;7;213;0;30;0;;1;268
BOLOGNA;MINERBIO;;5;;115;0;29;0;;1;150
BOLOGNA;MOLINELLA;;13;1;179;0;29;0;;0;222
BOLOGNA;MONGHIDORO;;2;1;28;0;5;0;;0;36
BOLOGNA;MONTE SAN PIETRO;;7;1;176;0;32;0;1;0;217
BOLOGNA;MONTERENZIO;;9;5;56;0;13;0;;0;83
BOLOGNA;MONZUNO;;3;2;69;0;17;0;;0;91
BOLOGNA;MORDANO;;9;;49;0;13;0;;1;72
BOLOGNA;OZZANO DELL'EMILIA;;6;6;211;0;49;0;;0;272
BOLOGNA;PIANORO;;5;2;248;0;69;0;;1;325
BOLOGNA;PIEVE DI CENTO;;4;1;92;0;13;2;;0;112
BOLOGNA;S.BENEDETTO VAL DI SAMBRO;;6;1;38;0;12;0;;0;57
BOLOGNA;SALA BOLOGNESE;;5;4;126;0;29;0;;2;166
BOLOGNA;SAN GIORGIO DI PIANO;;12;4;141;0;18;0;;0;175
BOLOGNA;SAN GIOVANNI IN PERSICETO;;29;7;323;0;57;0;2;1;419
BOLOGNA;SAN LAZZARO DI SAVENA;;23;5;422;0;155;3;;0;608
BOLOGNA;SAN PIETRO IN CASALE;;7;1;140;0;30;0;;0;178
BOLOGNA;SANT'AGATA BOLOGNESE;;3;1;137;0;12;0;;0;153
BOLOGNA;SASSO MARCONI;;11;5;212;0;64;1;;1;294
BOLOGNA;VALSAMOGGIA;;31;4;388;0;69;5;;3;500
BOLOGNA;VERGATO;;7;2;56;0;11;0;;0;76
BOLOGNA;ZOLA PREDOSA;;20;5;284;0;61;1;;1;372
FERRARA;ARGENTA;;19;;225;0;41;0;;0;285
FERRARA;BONDENO;2;18;4;140;0;19;0;;0;183
FERRARA;CENTO;;26;6;390;2;79;0;1;0;504
FERRARA;CODIGORO;;9;3;102;0;22;0;;0;136
FERRARA;COMACCHIO;;11;3;214;0;63;0;;1;292
FERRARA;COPPARO;;5;2;130;0;33;0;;0;170
FERRARA;FERRARA;2;87;14;1752;0;338;3;;3;2199
FERRARA;FISCAGLIA;;8;;55;0;9;0;;0;72
FERRARA;GORO;;2;2;20;0;7;0;;0;31
FERRARA;JOLANDA DI SAVOIA;;;;15;0;3;0;;0;18
FERRARA;LAGOSANTO;;1;;43;0;3;0;;0;47
FERRARA;MASI TORELLO;;1;;30;0;4;0;;0;35
FERRARA;MESOLA;;3;1;47;0;13;0;;1;65
FERRARA;OSTELLATO;;7;;42;0;14;0;;0;63
FERRARA;POGGIO RENATICO;;5;;92;0;24;0;;0;121
FERRARA;PORTOMAGGIORE;;7;;112;0;20;0;;0;139
FERRARA;RIVA DEL PO;;2;;51;0;14;1;;0;68
FERRARA;TERRE DEL RENO;;4;1;106;0;28;0;;2;141
FERRARA;TRESIGNANA;;6;;52;0;10;0;;0;68
FERRARA;VIGARANO MAINARDA;;1;;115;0;17;1;;0;134
FERRARA;VOGHIERA;;4;;39;0;5;1;;1;50
FORLI'-CESENA;BAGNO DI ROMAGNA;1;8;;36;0;10;0;;0;55
FORLI'-CESENA;BERTINORO;;8;1;112;0;35;0;3;2;161
FORLI'-CESENA;BORGHI;;2;;25;0;5;0;2;2;36
FORLI'-CESENA;CASTROCARO TERME T.D.SOLE;;3;;68;0;18;0;;1;90
FORLI'-CESENA;CESENA;6;278;91;1247;1;447;7;49;67;2193
FORLI'-CESENA;CESENATICO;;29;6;376;0;124;0;1;0;536
FORLI'-CESENA;CIVITELLA DI ROMAGNA;;3;;15;0;4;0;;0;22
FORLI'-CESENA;DOVADOLA;;;;9;0;4;0;;0;13
FORLI'-CESENA;FORLI';;93;27;1262;0;320;0;11;5;1718
FORLI'-CESENA;FORLIMPOPOLI;;11;4;135;0;31;0;1;2;184
FORLI'-CESENA;GALEATA;;3;;14;0;7;0;;0;24
FORLI'-CESENA;GAMBETTOLA;;6;1;96;0;38;1;;1;143
FORLI'-CESENA;GATTEO;;10;1;77;0;39;0;;0;127
FORLI'-CESENA;LONGIANO;;7;3;68;0;30;0;;0;108
FORLI'-CESENA;MELDOLA;;7;3;76;0;21;0;;0;107
FORLI'-CESENA;MERCATO SARACENO;;7;;57;0;14;0;1;0;79
FORLI'-CESENA;MODIGLIANA;;5;;34;0;7;0;;0;46
FORLI'-CESENA;MONTIANO;;1;;13;0;7;0;;0;21
FORLI'-CESENA;PORTICO E SAN BENEDETTO;;;1;6;0;1;0;;0;8
FORLI'-CESENA;PREDAPPIO;;14;1;56;0;19;0;1;3;94
FORLI'-CESENA;PREMILCUORE;;1;2;7;0;2;0;;0;12
FORLI'-CESENA;ROCCA SAN CASCIANO;;1;2;16;0;7;0;;0;26
FORLI'-CESENA;RONCOFREDDO;;9;2;18;0;13;0;;1;43
FORLI'-CESENA;SAN MAURO PASCOLI;;5;1;105;0;49;1;1;0;162
FORLI'-CESENA;SANTA SOFIA;;;1;25;0;5;0;;0;31
FORLI'-CESENA;SARSINA;;2;1;19;0;6;0;;1;29
FORLI'-CESENA;SAVIGNANO SUL RUBICONE;;12;1;130;1;54;0;;0;198
FORLI'-CESENA;SOGLIANO AL RUBICONE;;2;1;30;0;4;1;;0;38
FORLI'-CESENA;TREDOZIO;;2;;6;0;2;0;;0;10
FORLI'-CESENA;VERGHERETO;;3;;16;0;0;0;;0;19
MODENA;BASTIGLIA;;3;;53;0;8;0;;0;64
MODENA;BOMPORTO;;8;;117;0;26;0;1;0;152
MODENA;CAMPOGALLIANO;;6;1;100;0;24;1;3;9;144
MODENA;CAMPOSANTO;;2;1;36;0;3;0;;0;42
MODENA;CARPI;;105;17;1145;0;188;0;;3;1458
MODENA;CASTELFRANCO EMILIA;;20;7;423;0;80;0;2;2;534
MODENA;CASTELNUOVO RANGONE;;9;4;214;0;40;0;1;0;268
MODENA;CASTELVETRO DI MODENA;;6;3;151;0;26;0;;0;186
MODENA;CAVEZZO;;6;;75;0;9;0;;0;90
MODENA;CONCORDIA SULLA SECCHIA;;62;;61;0;12;0;;0;135
MODENA;FANANO;;1;1;24;0;3;0;;0;29
MODENA;FINALE EMILIA;;16;5;132;0;18;0;;1;172
MODENA;FIORANO MODENESE;;16;1;190;0;46;0;3;0;256
MODENA;FIUMALBO;;1;1;9;0;3;0;;0;14
MODENA;FORMIGINE;1;21;4;424;0;85;1;1;1;538
MODENA;FRASSINORO;;4;1;15;0;2;0;;0;22
MODENA;GUIGLIA;;3;2;43;0;8;0;;0;56
MODENA;LAMA MOCOGNO;1;;;18;0;2;1;1;0;23
MODENA;MARANELLO;;15;3;222;0;44;0;1;1;286
MODENA;MARANO SUL PANARO;;4;;48;0;5;0;1;1;59
MODENA;MEDOLLA;;7;1;75;0;10;0;;0;93
MODENA;MIRANDOLA;;70;9;331;0;43;0;2;3;458
MODENA;MODENA;47;170;83;3740;0;422;4;2;3;4471
MODENA;MONTECRETO;;;1;6;0;2;0;;0;9
MODENA;MONTEFIORINO;;5;1;14;0;9;0;;0;29
MODENA;MONTESE;1;11;;22;0;4;1;;1;40
MODENA;NONANTOLA;;12;3;176;0;28;0;1;0;220
MODENA;NOVI DI MODENA;;4;1;120;0;16;0;;0;141
MODENA;PALAGANO;;2;;10;0;2;0;;0;14
MODENA;PAVULLO NEL FRIGNANO;;11;4;122;0;41;0;;0;178
MODENA;PIEVEPELAGO;;3;1;21;0;0;0;;0;25
MODENA;POLINAGO;;;1;11;0;2;0;;0;14
MODENA;PRIGNANO SULLA SECCHIA;;1;;39;0;11;0;1;0;52
MODENA;RAVARINO;;5;1;68;0;8;0;;0;82
MODENA;RIOLUNATO;;1;;6;0;2;0;;0;9
MODENA;SAN CESARIO SUL PANARO;;8;1;73;0;20;0;;0;102
MODENA;SAN FELICE SUL PANARO;;5;;93;0;13;0;6;0;117
MODENA;SAN POSSIDONIO;;3;;21;0;4;0;;0;28
MODENA;SAN PROSPERO;;3;1;61;0;22;0;;0;87
MODENA;SASSUOLO;;54;3;734;0;74;1;7;1;874
MODENA;SAVIGNANO SUL PANARO;;10;;112;0;11;0;;1;134
MODENA;SERRAMAZZONI;;6;;85;0;26;0;;0;117
MODENA;SESTOLA;;4;;12;0;1;0;;0;17
MODENA;SOLIERA;;9;2;196;0;34;0;;0;241
MODENA;SPILAMBERTO;;18;1;140;0;19;0;1;0;179
MODENA;VIGNOLA;1;19;2;276;0;41;0;3;2;344
MODENA;ZOCCA;;5;;50;0;12;0;;0;67
PARMA;ALBARETO;;2;;21;0;3;0;;0;26
PARMA;BARDI;;4;;12;0;3;0;;0;19
PARMA;BEDONIA;;1;;24;0;8;0;;1;34
PARMA;BERCETO;;2;1;15;0;5;0;;0;23
PARMA;BORE;;1;;3;0;2;0;;0;6
PARMA;BORGO VAL DI TARO;;2;;56;0;13;0;;0;71
PARMA;BUSSETO;;51;;49;0;13;0;;0;113
PARMA;CALESTANO;;4;1;17;0;4;0;;0;26
PARMA;COLLECCHIO;;19;3;195;0;44;0;2;1;264
PARMA;COLORNO;;8;;87;0;37;0;;0;132
PARMA;COMPIANO;;2;;5;0;2;0;;0;9
PARMA;CORNIGLIO;;1;;8;0;5;0;;0;14
PARMA;FELINO;;5;1;109;0;32;0;;0;147
PARMA;FIDENZA;;27;5;249;0;66;0;4;2;353
PARMA;FONTANELLATO;;5;1;72;0;9;0;;0;87
PARMA;FONTEVIVO;;13;1;58;0;14;0;6;4;96
PARMA;FORNOVO DI TARO;;2;3;72;1;19;0;;0;97
PARMA;LANGHIRANO;;11;5;120;0;26;0;3;0;165
PARMA;LESIGNANO DE BAGNI;;4;2;62;0;18;0;;0;86
PARMA;MEDESANO;;24;3;118;0;35;1;;0;181
PARMA;MONCHIO DELLE CORTI;;;;4;0;2;0;;0;6
PARMA;MONTECHIARUGOLO;;6;2;129;0;28;0;;0;165
PARMA;NEVIANO DEGLI ARDUINI;;6;;36;0;10;0;;0;52
PARMA;NOCETO;;20;2;141;0;36;0;;0;199
PARMA;PALANZANO;1;;;4;0;2;0;;0;7
PARMA;PARMA;27;417;30;4080;0;735;2;1;34;5326
PARMA;PELLEGRINO PARMENSE;;1;;4;0;5;0;;0;10
PARMA;POLESINE ZIBELLO;;4;;27;0;4;0;;1;36
PARMA;ROCCABIANCA;;3;1;26;0;6;0;;0;36
PARMA;SALA BAGANZA;;5;2;65;0;14;1;;2;89
PARMA;SALSOMAGGIORE TERME;;9;1;176;0;70;0;;0;256
PARMA;SAN SECONDO PARMENSE;;5;;59;0;7;0;;2;73
PARMA;SISSA TRECASALI;;7;;94;0;14;0;;0;115
PARMA;SOLIGNANO;;5;;13;0;4;0;;0;22
PARMA;SORAGNA;;6;;55;0;12;0;;0;73
PARMA;SORBOLO MEZZANI;;11;3;154;0;48;0;1;1;218
PARMA;TERENZO;;2;;10;0;7;0;;0;19
PARMA;TIZZANO VAL PARMA;1;2;1;12;0;9;0;;0;25
PARMA;TORNOLO;1;2;;7;0;1;0;;0;11
PARMA;TORRILE;;5;;107;0;23;0;;1;136
PARMA;TRAVERSETOLO;;18;4;98;0;24;0;1;0;145
PARMA;VALMOZZOLA;;1;;8;0;0;0;;0;9
PARMA;VARANO DE' MELEGARI;;3;;24;0;4;0;;0;31
PARMA;VARSI;;;;14;0;0;0;;0;14
PIACENZA;AGAZZANO;;3;;17;0;6;0;;0;26
PIACENZA;ALSENO;;5;;42;0;14;0;1;0;62
PIACENZA;ALTA VAL TIDONE;;1;;28;0;6;0;;0;35
PIACENZA;BESENZONE;;;;11;0;4;0;;0;15
PIACENZA;BETTOLA;;2;2;22;0;6;0;1;1;34
PIACENZA;BOBBIO;;7;;31;0;18;0;;0;56
PIACENZA;BORGONOVO VAL TIDONE;;6;;64;0;22;1;;0;93
PIACENZA;CADEO;;2;3;53;0;11;0;;0;69
PIACENZA;CALENDASCO;;5;;28;0;12;0;1;5;51
PIACENZA;CAORSO;;3;;38;0;9;0;;0;50
PIACENZA;CARPANETO PIACENTINO;;12;1;69;0;18;0;1;2;103
PIACENZA;CASTEL SAN GIOVANNI;;9;1;138;0;30;0;6;1;185
PIACENZA;CASTELL'ARQUATO;;3;1;44;0;16;0;;0;64
PIACENZA;CASTELVETRO PIACENTINO;;3;;46;0;18;0;;0;67
PIACENZA;CERIGNALE;;;;1;0;0;0;;0;1
PIACENZA;COLI;3;;;7;0;2;0;;0;12
PIACENZA;CORTE BRUGNATELLA;1;1;;3;0;2;0;;0;7
PIACENZA;CORTEMAGGIORE;;4;1;46;0;7;0;;9;67
PIACENZA;FARINI;;2;;4;0;2;0;;0;8
PIACENZA;FERRIERE;;1;;14;0;0;0;;0;15
PIACENZA;FIORENZUOLA D'ARDA;;11;1;131;0;34;1;2;1;181
PIACENZA;GAZZOLA;;1;1;23;0;12;0;;0;37
PIACENZA;GOSSOLENGO;;6;;75;0;25;0;;0;106
PIACENZA;GRAGNANO TREBBIENSE;;2;1;31;0;16;0;;0;50
PIACENZA;GROPPARELLO;;2;;21;0;9;0;;0;32
PIACENZA;LUGAGNANO VAL D'ARDA;;1;;35;0;5;2;;0;43
PIACENZA;MONTICELLI D'ONGINA;;6;1;60;0;4;0;;1;72
PIACENZA;MORFASSO;;;;4;0;1;0;;1;6
PIACENZA;OTTONE;;;;5;0;0;0;;0;5
PIACENZA;PIACENZA;;130;13;1563;0;439;2;6;17;2170
PIACENZA;PIANELLO VAL TIDONE;;1;;16;0;7;0;1;1;26
PIACENZA;PIOZZANO;;;;3;0;3;0;;0;6
PIACENZA;PODENZANO;;5;;112;0;22;1;4;0;144
PIACENZA;PONTE DELL'OLIO;;2;;40;0;11;0;;1;54
PIACENZA;PONTENURE;1;4;11;78;0;15;1;8;1;119
PIACENZA;RIVERGARO;;4;3;89;0;24;0;1;0;121
PIACENZA;ROTTOFRENO;;8;;132;0;51;0;;1;192
PIACENZA;SAN GIORGIO PIACENTINO;;2;1;52;0;13;0;;0;68
PIACENZA;SAN PIETRO IN CERRO;;1;;4;0;2;0;;0;7
PIACENZA;SARMATO;;6;1;32;0;10;0;;0;49
PIACENZA;TRAVO;;2;1;28;0;7;0;;0;38
PIACENZA;VERNASCA;;5;;18;0;9;0;;0;32
PIACENZA;VIGOLZONE;;6;;45;0;14;0;;0;65
PIACENZA;VILLANOVA SULL'ARDA;;7;1;13;0;2;0;;0;23
PIACENZA;ZIANO PIACENTINO;;2;;26;0;4;0;;0;32
RAVENNA;ALFONSINE;;21;1;104;0;33;0;;0;159
RAVENNA;BAGNACAVALLO;;27;2;171;0;42;0;;0;242
RAVENNA;BAGNARA DI ROMAGNA;;1;;34;0;1;0;;0;36
RAVENNA;BRISIGHELLA;;5;2;67;0;20;0;;0;94
RAVENNA;CASOLA VALSENIO;;3;;21;0;7;0;;0;31
RAVENNA;CASTEL BOLOGNESE;;6;;98;0;26;0;;0;130
RAVENNA;CERVIA;;36;8;330;0;139;3;;1;517
RAVENNA;CONSELICE;;7;3;88;0;26;0;;0;124
RAVENNA;COTIGNOLA;;5;1;75;0;24;0;;0;105
RAVENNA;FAENZA;;102;22;889;0;179;1;2;10;1205
RAVENNA;FUSIGNANO;;5;;81;0;22;0;;0;108
RAVENNA;LUGO;;45;3;375;0;89;0;1;0;513
RAVENNA;MASSA LOMBARDA;;9;;102;0;21;0;;2;134
RAVENNA;RAVENNA;;222;43;2321;1;771;1;4;15;3378
RAVENNA;RIOLO TERME;;5;1;52;0;11;0;1;1;71
RAVENNA;RUSSI;;19;1;137;0;36;1;;0;194
RAVENNA;SANT'AGATA SUL SANTERNO;;7;;27;0;41;0;;0;75
RAVENNA;SOLAROLO;;7;1;58;0;6;0;;1;73
REGGIO EMILIA;ALBINEA;;8;3;106;0;31;0;3;0;151
REGGIO EMILIA;BAGNOLO IN PIANO;;5;1;88;0;19;0;;0;113
REGGIO EMILIA;BAISO;;7;1;28;0;13;0;1;0;50
REGGIO EMILIA;BIBBIANO;;84;58;123;0;31;0;1;0;297
REGGIO EMILIA;BORETTO;;3;;62;0;5;0;;0;70
REGGIO EMILIA;BRESCELLO;;1;;128;0;15;0;;0;144
REGGIO EMILIA;CADELBOSCO DI SOPRA;;5;1;126;0;23;0;;1;156
REGGIO EMILIA;CAMPAGNOLA EMILIA;;3;1;66;0;4;0;;0;74
REGGIO EMILIA;CAMPEGINE;;;;60;0;8;0;;0;68
REGGIO EMILIA;CANOSSA;;1;1;39;0;11;0;;0;52
REGGIO EMILIA;CARPINETI;;6;1;36;0;11;0;;1;55
REGGIO EMILIA;CASALGRANDE;;17;5;194;0;52;0;2;3;273
REGGIO EMILIA;CASINA;;1;;42;0;10;0;;0;53
REGGIO EMILIA;CASTELLARANO;;12;1;184;0;51;0;2;1;251
REGGIO EMILIA;CASTELNOVO DI SOTTO;;5;3;75;0;23;0;;0;106
REGGIO EMILIA;CASTELNOVO NE' MONTI;;12;2;88;0;14;0;;0;116
REGGIO EMILIA;CAVRIAGO;;12;3;108;0;24;0;;0;147
REGGIO EMILIA;CORREGGIO;;14;6;307;0;77;0;1;0;405
REGGIO EMILIA;FABBRICO;;7;;55;0;12;0;;0;74
REGGIO EMILIA;GATTATICO;;7;;59;0;19;0;;0;85
REGGIO EMILIA;GUALTIERI;;2;1;50;0;20;0;1;0;74
REGGIO EMILIA;GUASTALLA;;13;3;132;0;30;0;;0;178
REGGIO EMILIA;LUZZARA;;4;;42;0;9;0;;0;55
REGGIO EMILIA;MONTECCHIO EMILIA;;11;5;108;0;23;0;;1;148
REGGIO EMILIA;NOVELLARA;;8;;118;0;23;0;;0;149
REGGIO EMILIA;POVIGLIO;;10;2;66;0;9;0;;1;88
REGGIO EMILIA;QUATTRO CASTELLA;;12;2;147;0;71;0;;2;234
REGGIO EMILIA;REGGIO NELL'EMILIA;10;6495;614;15468;0;541;6;199;176;23509
REGGIO EMILIA;REGGIOLO;;4;1;78;0;17;0;;0;100
REGGIO EMILIA;RIO SALICETO;;8;1;51;0;12;0;;0;72
REGGIO EMILIA;ROLO;;1;1;38;0;10;0;;0;50
REGGIO EMILIA;RUBIERA;;10;4;159;0;41;0;;0;214
REGGIO EMILIA;SAN MARTINO IN RIO;;3;2;94;0;24;1;;0;124
REGGIO EMILIA;SAN POLO D'ENZA;;1;2;65;0;17;0;4;1;90
REGGIO EMILIA;SANT'ILARIO D'ENZA;;4;17;149;0;32;0;;1;203
REGGIO EMILIA;SCANDIANO;;31;4;295;0;59;0;1;1;391
REGGIO EMILIA;TOANO;2;5;;41;0;6;0;;2;56
REGGIO EMILIA;VENTASSO;;5;;15;0;4;1;;0;25
REGGIO EMILIA;VETTO;;1;;16;0;1;0;1;0;19
REGGIO EMILIA;VEZZANO SUL CROSTOLO;;7;1;46;0;11;0;;0;65
REGGIO EMILIA;VIANO;;4;;32;0;14;0;;1;51
REGGIO EMILIA;VILLA MINOZZO;;2;;23;0;7;0;;0;32
RIMINI;BELLARIA IGEA MARINA;;17;3;179;0;100;0;;2;301
RIMINI;CASTELDELCI;;3;;2;0;0;0;;0;5
RIMINI;CATTOLICA;;7;2;163;0;145;3;;0;320
RIMINI;CORIANO;;9;;89;1;69;1;;0;169
RIMINI;GEMMANO;;3;;8;0;10;0;;0;21
RIMINI;MAIOLO;;;;6;0;3;0;;0;9
RIMINI;MISANO ADRIATICO;;21;1;110;0;145;2;;0;279
RIMINI;MONDAINO;;;;3;0;2;0;;0;5
RIMINI;MONTECOPIOLO;;1;;6;0;1;0;;0;8
RIMINI;MONTEFIORE CONCA;;1;;22;0;23;0;;0;46
RIMINI;MONTEGRIDOLFO;;2;;12;0;3;0;;0;17
RIMINI;MONTESCUDO-MONTE COLOMBO;;2;2;67;0;55;0;;1;127
RIMINI;MORCIANO DI ROMAGNA;1;6;;64;0;51;0;;0;122
RIMINI;NOVAFELTRIA;;10;3;51;0;18;0;;0;82
RIMINI;PENNABILLI;;;;21;0;7;0;;0;28
