PROVINCIA;COMUNE;AUTOBUS;AUTOCARRO TRASPORTO MERCI;AUTOVEICOLO SPECIALE O SPECIFICO;AUTOVETTURA;MOTOCICLO;MOTOVEICOLO E QUADRICICLO SPECIALE O SPECIFICO;MOTOVEICOLO E QUADRICICLO TRASPORTO MERCI;TRATTORE STRADALE O MOTRICE;ALTRO;Totale complessivo
BOLOGNA;ALTO RENO TERME;;5;4;121;6;0;;1;0;137
BOLOGNA;ANZOLA DELL'EMILIA;;13;4;130;16;2;;;2;167
BOLOGNA;ARGELATO;;3;1;111;10;0;;;1;126
BOLOGNA;BARICELLA;;3;;61;3;0;;1;0;68
BOLOGNA;BENTIVOGLIO;;7;1;65;12;0;;;0;85
BOLOGNA;BOLOGNA;86;441;71;4.423;1.171;16;2;13;7;6.230
BOLOGNA;BORGO TOSSIGNANO;;4;1;21;2;0;;;0;28
BOLOGNA;BUDRIO;;7;4;151;14;1;;;0;177
BOLOGNA;CALDERARA DI RENO;;21;4;143;24;0;1;1;0;194
BOLOGNA;CAMUGNANO;;2;;16;4;0;;;0;22
BOLOGNA;CASALECCHIO DI RENO;;24;2;400;72;1;1;;0;500
BOLOGNA;CASALFIUMANESE;;3;;26;3;0;;;1;33
BOLOGNA;CASTEL D'AIANO;;3;;18;0;0;;;0;21
BOLOGNA;CASTEL DEL RIO;;2;;9;0;0;;;0;11
BOLOGNA;CASTEL DI CASIO;;3;;29;3;0;;;1;36
BOLOGNA;CASTEL GUELFO DI BOLOGNA;;9;;57;4;0;1;;2;73
BOLOGNA;CASTEL MAGGIORE;;26;2;260;44;0;;;0;332
BOLOGNA;CASTEL SAN PIETRO TERME;;14;1;189;20;0;;;1;225
BOLOGNA;CASTELLO D'ARGILE;;6;1;61;7;0;;;0;75
BOLOGNA;CASTENASO;;21;4;286;43;1;;;0;355
BOLOGNA;CASTIGLIONE DEI PEPOLI;;7;;43;4;0;;;1;55
BOLOGNA;CREVALCORE;;6;3;102;11;0;;;1;123
BOLOGNA;DOZZA;;4;2;62;9;0;;;0;77
BOLOGNA;FONTANELICE;;1;;17;4;0;;;0;22
BOLOGNA;GAGGIO MONTANO;;6;;39;4;1;;2;2;54
BOLOGNA;GALLIERA;;3;;49;1;0;;;0;53
