"AnnoMese";"Postazione";"Giorno";"N Giorno Settimana";"Strada";"Transiti - Totale";"Transiti - Non Classificato";"Transiti - Leggeri";"Transiti - Pesanti";"Transiti - Diurno";"Transiti - Notturno";"Transiti - Feriali";"Transiti - Festivi"
"2024/10";"6";"01/10/2024";"2";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.220";"0";"1.169";"51";"1.073";"147";"1.220";"0"
"2024/10";"6";"02/10/2024";"3";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.032";"0";"979";"53";"897";"135";"1.032";"0"
"2024/10";"6";"03/10/2024";"4";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.001";"0";"958";"43";"876";"125";"1.001";"0"
"2024/10";"6";"04/10/2024";"5";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.398";"0";"1.334";"64";"1.149";"249";"1.398";"0"
"2024/10";"6";"05/10/2024";"6";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.589";"0";"1.570";"19";"1.349";"240";"0";"1.589"
"2024/10";"6";"06/10/2024";"7";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.558";"0";"1.553";"5";"1.366";"192";"0";"1.558"
"2024/10";"6";"07/10/2024";"1";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.137";"0";"1.073";"64";"999";"138";"1.137";"0"
"2024/10";"6";"08/10/2024";"2";"SS 12 tra Fiumalbo e confine regionale Toscana";"837";"1";"806";"30";"743";"94";"837";"0"
"2024/10";"6";"12/10/2024";"6";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.724";"0";"1.705";"19";"1.452";"272";"0";"1.724"
"2024/10";"6";"13/10/2024";"7";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.722";"0";"1.711";"11";"1.500";"222";"0";"1.722"
"2024/10";"6";"14/10/2024";"1";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.201";"0";"1.150";"51";"1.061";"140";"1.201";"0"
"2024/10";"7";"01/10/2024";"2";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
