"AnnoMese";"Postazione";"Giorno";"N Giorno Settimana";"Strada";"Transiti - Totale";"Transiti - Non Classificato";"Transiti - Leggeri";"Transiti - Pesanti";"Transiti - Diurno";"Transiti - Notturno";"Transiti - Feriali";"Transiti - Festivi"
"2024/11";"6";"15/11/2024";"5";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.297";"0";"1.223";"74";"1.080";"217";"1.297";"0"
"2024/11";"6";"16/11/2024";"6";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.682";"0";"1.665";"17";"1.386";"296";"0";"1.682"
"2024/11";"6";"22/11/2024";"5";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.200";"0";"1.170";"30";"967";"233";"1.200";"0"
"2024/11";"6";"25/11/2024";"1";"SS 12 tra Fiumalbo e confine regionale Toscana";"988";"0";"945";"43";"870";"118";"988";"0"
"2024/11";"6";"28/11/2024";"4";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.109";"0";"1.068";"41";"975";"134";"1.109";"0"
"2024/11";"7";"15/11/2024";"5";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2024/11";"7";"16/11/2024";"6";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2024/11";"7";"17/11/2024";"7";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2024/11";"7";"18/11/2024";"1";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2024/11";"7";"19/11/2024";"2";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2024/11";"7";"20/11/2024";"3";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2024/11";"7";"21/11/2024";"4";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2024/11";"7";"22/11/2024";"5";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2024/11";"7";"23/11/2024";"6";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2024/11";"7";"24/11/2024";"7";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2024/11";"7";"25/11/2024";"1";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2024/11";"7";"26/11/2024";"2";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
