Autore,N_Prestiti
"Link, Charlotte <1963-    >",385
"Sgardoli, Guido",385
"Ross, Tony",384
"Gramellini, Massimo",382
"Nava, Emanuela",381
"Vitali, Andrea <1956-    >",381
"Bussolati, Emanuela",379
"Pennac, Daniel",379
"Varesi, Valerio",378
"Carlotto, Massimo",377
"Terzani, Tiziano",376
"Hosseini, Khaled",372
"Murakami, Haruki",369
"Dostoevskij, Fëdor Mihajlovic",366
"Dickens, Charles",365
"Sloan, John Peter",365
"Quarzo, Guido",363
"Lavatelli, Anna",362
"Hill, Eric",358
"George, Elizabeth",356
"Holt, Anne",355
"Lindgren, Astrid",348
"Cooper, Glenn",344
"McGuire, Jamie",341
"Choux, Nathalie",339
"Gelsey, James",339
"De_Luca, Erri",338
"Giménez Bartlett, Alicia",338
"Blake, Stephanie",337
"Volo, Fabio",336
"Mazzantini, Margaret",335
"Austen, Jane",334
"Colloredo, Sabina",331
"Pfister, Marcus",331
"Vitali, Andrea <1956- >",329
"Schmitt, Éric-Emmanuel",328
"Verne, Jules",326
"Agnello Hornby, Simonetta",324
"Márkaris, Pétros",321
"Corona, Mauro 1950-",319
"Tessaro, Gek",315
"Gerritsen, Tess",314
"Levi, Primo 1919-1987",314
"Spinelli, Jerry",310
"Cousins, Lucy",308
"Fallaci, Oriana",307
"Carioli, Janna",306
"Gamberale, Chiara",304
"Martin, George R. R.",304
"Macchiavelli, Loriano",300
"Eco, Umberto",299
"Pederiali, Giuseppe",298
"Tison, Annette",297
"Simoni, Marcello",294
"Zannoner, Paola",294
"Borando, Silvia",293
"Collins, Suzanne",291
"Grossman, David",289
"Cornwell, Bernard",288
"Lamarque, Vivian",288
"Sheldon, Sidney",288
"Tullet, Hervé",288
"Slegers, Liesbet",286
"London, Jack",285
"Silei, Fabrizio",285
"Pansa, Giampaolo",283
"Venturi, Maria 1936-",283
"Guccini, Francesco",281
"Crais, Robert",278
"Roberts, Nora",278
"Gabaldon, Diana",277
"Andersen, Hans Christian",276
"Nesser, Håkan",275
"Brown, Dan",274
"Goscinny, René",274
"Campanella, Marco",273
"Clare, Cassandra",273
"Roth, Philip",270
"Gazzola, Alessia",269
"Andreoli, Vittorino",267
"Tamaro, Susanna",267
"Kirkman, Robert",266
"Sciascia, Leonardo",266
"Siegner, Ingo",265
"James, E. L.",264
"Jeffers, Oliver",264
"Marcora, Laura",262
"Modiano, Patrick",261
"Michelini, Carlo Alberto",260
"Rollins, James",260
"Kepler, Lars",258
"Dunne, Catherine",257
"McEwan, Ian",257
"Zoboli, Giovanna",255
"Gaiman, Neil",253
"Lemaitre, Pierre 1951-",251
"McCall Smith, Alexander",251
"Buzzati, Dino",249
"Tozzi, Lorenzo",249
"Marklund, Liza",248
"Orwell, George",248
"Moyes, Jojo",247
"Maraini, Dacia",246
"Bignardi, Daria",245
"Green, John 1977-",245
"Saramago, José",245
"Augias, Corrado",244
"Carrisi, Donato",244
Arnaldur Indriðason,243
"Poe, Edgar Allan",243
"Lansdale, Joe R.",242
"Pirandello, Luigi 1867-1936",242
"Weninger, Brigitte",242
"Mazzucco, Melania G.",241
"Musso, Guillaume",241
"Recalcati, Massimo",241
"Sillani, Febe",241
"Yoshimoto, Banana",241
"Willis, Jeanne",238
"Tognolini, Bruno",234
"Beaton, M. C.",232
"Pasolini, Pier Paolo",232
"Cinquetti, Nicola",230
"Abbatiello, Antonella",228
"Bosco, Federica",228
"Crichton, Michael",228
"Troisi, Licia",226
"Piccolo, Francesco <1969-    >",224
"Ludlum, Robert",219
"Svevo, Italo",219
"Tolstoj, Lev Nikolaevic",219
"Allancé, Mireille : d'",218
"Plain, Belva",214
"Alemagna, Beatrice",213
"Wilson, Jacqueline",213
"Fforde, Katie",212
"Oz, Amos",212
"Amant, Kathleen",211
"Frasca, Simone",211
"Tyler, Anne",211
"Mastrocola, Paola",210
"Rankin, Ian",210
"Zusak, Markus",210
"Dexter, Colin",209
"García Márquez, Gabriel",208
"Comastri Montanari, Danila",207
"Vivarelli, Anna",207
"Baldacci, David",206
"Freeman, Brian",205
"Ungerer, Tomi",205
"Gatti, Alessandro 1975-",204
"Larsson, Stieg",204
"D'Avenia, Alessandro",203
"Hornby, Nick",203
"Kafka, Franz",203
"Clancy, Tom 1947-2013",202
"Munari, Bruno",202
"Pilcher, Rosamunde",202
"Twain, Mark",202
"Waddell, Martin",201
"Roth, Veronica",199
"Hesse, Hermann",198
"Conrad, Joseph",197
"Giraldo, Maria Loretta",197
"Lucarelli, Carlo 1960-",197
"Nöstlinger, Christine",195
"Nothomb, Amélie",195
"Baum, L. Frank",194
"Pittar, Gill",194
"Mignone, Sebastiano Ruiz",193
"Nanetti, Angela",193
"Nori, Paolo",193
Silver,193
"Slaughter, Karin",193
"Venturi, Maria 1933-",193
"Verga, Giovanni 1840-1922",193
"Von_Arnim, Elizabeth",192
"Fo, Dario",191
"Strada, Annalisa",191
"Benni, Stefano <1947- >",190
"Freud, Sigmund",189
"Larsson, Asa",188
"Sarfatti, Anna",188
"Diffenbaugh, Vanessa",187
"Lynn, J.",187
"Osborne, Mary Pope",187
"Saint-Exupéry, Antoine : de",187
"Escoffier, Michaël",186
"Winslow, Don",186
Zerocalcare,186
"Riley, Lucinda",185
"Degl'Innocenti, Fulvia",184
"Deneux, Xavier",184
"Yates, Maisey",183
"Chevalier, Tracy",182
"Oates, Joyce Carol",182
"Vreeland, Susan",182
"Morpurgo, Michael",181
"Munro, Alice",181
"Pavese, Cesare 1908-1950",181
"Tuzzi, Hans",181
"Bichonnier, Henriette",180
"Doyle, Roddy",179
"Hemingway, Ernest",179
"Doncova, Dar'ja Arkad'evna",178
"Brashares, Ann",177
"Cazzullo, Aldo",177
"Iggulden, Conn",177
"Graham, Lynne",176
"Salinger, J. D.",176
"Beaumont, Émilie",175
"Preston, Douglas J.",175
"Velthuijs, Max",175
"Barbery, Muriel",174
"Rampini, Federico",174
"Ravera, Lidia",174
"Ruiz Zafon, Carlos",174
"De Pietri, Riccardo",173
"De_Foe, Daniel",173
"James, P. D.",173
"Pavanello, Roberto <1958-     >",173
"Kipling, Rudyard",172
"Carrère, Emmanuel",171
"Vago, Maria",171
"Bauman, Zygmunt",170
"Pancol, Katherine",170
"Pasqualotto, Mario",170
"Kendrick, Sharon",169
"Qiu, Xiaolong",169
"Boujon, Claude",168
"Corentin, Philippe",168
"Lehane, Dennis",168
"Bolaffio, Raffaella",166
"Gruber, Lilli",166
"Recami, Francesco",166
"Vázquez Montalbán, Manuel",166
"Bertelle, Nicoletta",165
"Bulger, Anthony",165
