"Anno";"Impianti fotovoltaici (pubblici e privati) installati negli anni incentivati da GSE";"Potenza impianti fotovoltaici (pubblici e privati) installati negli anni";"Impianti presenti su strutture edilizie pubbliche";"Potenza impianti su strutture edilizie pubbliche";"Impianti installati negli anni su strutture edilizie pubbliche";"Potenza impianti installati nell'anno su strutture edilizie pubbliche";
"2008";73;1287.12;;;;;
"2009";91;1072.23;1;18.90;1;18.90;
"2010";258;4595.99;1;18.90;0;0.00;
"2011";437;26904.36;10;296.31;9;277.41;
"2012";385;6338.60;21;530.45;11;234.15;
"2013";;;25;770.31;4;239.86;
"2014";;;25;770.31;0;0.00;
"2015";;;35;846.56;10;76.25;
