PragaDate,DAILY_TMIN,DAILY_TMAX,DAILY_PREC
2000-01-01,0.2,4.3,0.0
2000-01-02,2.5,3.1,0.0
2000-01-03,2.4,6.7,0.0
2000-01-04,2.2,3.0,0.0
2000-01-05,3.0,9.2,0.0
2000-01-06,3.2,3.3,0.0
2000-01-07,3.3,4.5,0.0
2000-01-08,-0.7,2.8,0.0
2000-01-09,0.9,1.8,0.1
2000-01-10,-1.0,3.5,0.0
2000-01-11,-0.5,1.0,0.0
2000-01-12,-1.1,0.7,0.0
2000-01-13,-5.7,0.4,0.0
2000-01-14,-1.3,-0.1,0.0
2000-01-15,-0.8,2.9,0.1
2000-01-16,-1.4,4.9,1.7
2000-01-17,-2.3,4.4,0.0
2000-01-18,8.6,13.2,0.0
2000-01-19,-2.8,6.0,0.0
2000-01-20,-4.0,4.9,0.0
2000-01-21,-0.9,1.3,0.0
2000-01-22,-3.8,1.7,0.0
2000-01-23,-0.3,2.6,2.6
2000-01-24,-4.0,1.7,5.7
2000-01-25,-5.7,-3.3,0.0
2000-01-26,-8.9,-0.7,0.0
2000-01-27,-6.2,3.5,0.0
2000-01-28,0.4,3.8,0.9
2000-01-29,-4.1,6.6,0.0
2000-01-30,-2.2,5.8,0.0
2000-01-31,2.4,6.9,0.0
2000-02-01,3.4,7.3,0.0
2000-02-02,3.9,4.0,0.4
2000-02-03,-0.7,8.4,4.4
2000-02-04,-1.2,9.5,0.0
2000-02-05,-1.5,5.1,0.0
2000-02-06,0.4,6.4,0.0
2000-02-07,3.1,3.2,1.5
2000-02-08,2.3,3.7,0.9
2000-02-09,-0.8,6.2,0.5
2000-02-10,2.8,5.1,0.0
2000-02-11,-0.6,7.1,0.0
2000-02-12,2.4,4.2,0.0
2000-02-13,-1.9,6.9,0.0
2000-02-14,-1.6,8.4,0.0
2000-02-15,2.4,4.8,0.0
2000-02-16,-1.6,8.8,0.1
2000-02-17,0.4,2.7,0.8
2000-02-18,-4.7,1.8,0.0
2000-02-19,-2.9,8.0,0.0
2000-02-20,-1.2,3.4,0.0
2000-02-21,-0.7,2.7,0.0
2000-02-22,1.3,2.2,0.0
2000-02-23,-3.4,1.4,0.0
2000-02-24,-1.8,2.9,0.0
2000-02-25,1.3,1.4,0.0
2000-02-26,3.4,5.2,1.8
2000-02-27,3.7,6.2,0.8
2000-02-28,0.1,6.9,0.0
2000-02-29,1.3,1.7,0.0
2000-03-01,2.0,2.1,40.8
2000-03-02,-0.7,1.8,19.5
2000-03-03,-0.8,3.0,0.0
2000-03-04,3.8,4.0,0.0
2000-03-05,1.3,4.5,0.0
2000-03-06,-4.8,5.7,0.0
2000-03-07,1.9,2.1,0.0
2000-03-08,1.8,4.8,0.8
2000-03-09,4.7,12.3,0.0
2000-03-10,-0.5,8.7,0.0
2000-03-11,1.7,11.3,0.0
2000-03-12,4.0,13.6,0.0
2000-03-13,4.0,11.6,0.0
2000-03-14,2.3,9.6,0.0
2000-03-15,5.0,6.5,0.1
2000-03-16,1.4,10.9,0.0
2000-03-17,0.4,11.8,0.0
2000-03-18,4.6,9.7,0.0
2000-03-19,5.3,7.0,2.8
2000-03-20,-3.5,4.3,0.1
2000-03-21,-0.8,8.0,0.0
2000-03-22,0.0,9.1,0.0
2000-03-23,1.0,6.6,0.0
2000-03-24,4.3,4.4,1.6
2000-03-25,5.7,5.8,15.8
2000-03-26,1.1,3.2,35.4
2000-03-27,0.4,0.6,14.0
2000-03-28,1.1,1.8,15.5
2000-03-29,-0.3,-0.2,17.2
2000-03-30,-1.8,2.2,9.8
2000-03-31,-0.2,1.5,7.5
2000-04-01,1.8,5.1,4.3
2000-04-02,4.0,5.2,10.0
2000-04-03,4.3,4.5,14.0
2000-04-04,4.4,4.5,17.2
2000-04-05,4.1,4.4,11.8
2000-04-06,0.7,2.5,0.0
2000-04-07,4.7,4.9,21.4
2000-04-08,3.4,8.7,1.8
2000-04-09,2.6,4.5,0.0
2000-04-10,3.0,3.9,10.7
2000-04-11,1.1,3.5,0.9
2000-04-12,3.6,3.7,9.6
2000-04-13,2.2,3.2,1.0
2000-04-14,3.8,5.9,9.0
2000-04-15,2.2,3.8,1.6
2000-04-16,0.4,4.9,18.1
2000-04-17,7.4,9.5,17.4
2000-04-18,3.2,4.8,57.3
2000-04-19,2.6,10.9,8.3
2000-04-20,6.3,13.6,0.0
2000-04-21,7.1,14.5,0.2
2000-04-22,12.6,14.4,0.0
2000-04-23,12.3,13.7,0.0
2000-04-24,5.2,5.3,25.6
2000-04-25,5.7,8.7,0.1
2000-04-26,6.8,13.5,0.0
2000-04-27,8.2,16.1,0.0
2000-04-28,9.6,9.8,2.8
2000-04-29,6.2,11.7,10.4
2000-04-30,8.1,8.3,1.3
2000-05-01,9.5,14.6,0.0
2000-05-02,9.7,11.1,0.3
2000-05-03,9.5,14.0,0.1
2000-05-04,10.0,12.7,3.9
2000-05-05,9.2,12.7,0.3
2000-05-06,11.2,12.3,0.1
2000-05-07,10.8,10.9,0.0
2000-05-08,11.5,13.4,6.4
2000-05-09,10.3,15.2,0.0
2000-05-10,12.9,17.9,0.1
2000-05-11,12.3,15.3,4.5
2000-05-12,13.0,13.7,3.7
2000-05-13,11.6,17.1,0.0
2000-05-14,12.0,13.9,0.5
2000-05-15,14.4,17.3,0.0
2000-05-16,13.9,19.9,0.0
2000-05-17,11.5,16.9,0.0
2000-05-18,11.6,12.2,0.0
2000-05-19,8.5,12.7,0.0
2000-05-20,11.3,12.3,0.0
2000-05-21,9.2,13.0,0.0
2000-05-22,11.2,11.9,1.2
2000-05-23,11.9,14.6,0.0
2000-05-24,11.8,16.2,0.0
2000-05-25,12.2,17.2,0.0
2000-05-26,13.3,18.2,0.0
2000-05-27,12.7,16.2,0.0
2000-05-28,12.1,12.2,0.0
2000-05-29,12.0,13.5,1.1
2000-05-30,12.0,16.6,0.0
2000-05-31,13.3,16.6,0.0
2000-06-01,14.1,19.8,0.0
2000-06-02,13.1,20.3,0.0
2000-06-03,15.1,20.6,0.0
2000-06-04,17.2,21.6,0.0
2000-06-05,16.4,18.2,0.0
2000-06-06,16.2,17.7,0.9
2000-06-07,14.5,16.7,1.4
2000-06-08,14.9,17.3,0.1
2000-06-09,14.2,20.3,10.5
2000-06-10,15.0,18.2,0.0
2000-06-11,13.2,13.3,28.2
2000-06-12,14.4,14.7,25.4
2000-06-13,16.3,16.9,1.0
2000-06-14,15.9,16.5,0.3
2000-06-15,14.2,18.4,0.3
2000-06-16,15.4,20.0,0.0
2000-06-17,13.9,18.1,0.0
2000-06-18,13.8,17.0,0.0
2000-06-19,12.2,20.5,0.0
2000-06-20,15.6,20.0,0.0
2000-06-21,14.2,18.5,0.0
2000-06-22,14.4,18.3,0.0
2000-06-23,13.2,13.4,0.0
2000-06-24,13.4,16.6,0.0
2000-06-25,14.2,19.4,0.0
2000-06-26,12.1,17.3,0.0
2000-06-27,13.2,17.5,0.0
2000-06-28,13.0,13.8,0.0
2000-06-29,14.1,18.5,0.1
2000-06-30,15.3,18.8,0.0
2000-07-01,15.4,16.1,0.0
2000-07-02,16.6,20.9,0.0
2000-07-03,16.4,21.9,0.0
2000-07-04,18.3,18.8,0.0
2000-07-05,9.6,17.2,0.0
2000-07-06,14.9,21.2,0.0
2000-07-07,19.1,21.7,0.0
2000-07-08,12.0,18.9,0.0
2000-07-09,11.0,14.9,3.0
