PragaDate,DAILY_TMIN,DAILY_TMAX,DAILY_PREC
1985-01-01,-7.1,-3.0,0.0
1985-01-02,-8.1,-3.6,0.1
1985-01-03,-9.6,-5.1,0.1
1985-01-04,-11.1,-6.1,0.0
1985-01-05,-11.3,-11.2,0.1
1985-01-06,-14.2,-12.8,0.1
1985-01-07,-16.4,-13.5,0.0
1985-01-08,-18.2,-13.3,0.5
1985-01-09,-13.1,-10.2,0.3
1985-01-10,-13.2,-8.0,0.0
1985-01-11,-10.1,-9.3,0.2
1985-01-12,-12.0,-4.3,0.0
1985-01-13,-7.4,-5.1,0.3
1985-01-14,-8.8,-5.4,34.1
1985-01-15,-9.9,-4.6,21.7
1985-01-16,-6.8,-4.3,3.8
1985-01-17,-5.4,-1.8,0.5
1985-01-18,-3.8,1.4,0.5
1985-01-19,-2.3,0.0,1.8
1985-01-20,-3.6,2.4,0.5
1985-01-21,0.4,2.5,0.3
1985-01-22,1.2,6.6,57.1
1985-01-23,2.4,3.7,55.7
1985-01-24,-0.2,2.8,40.7
1985-01-25,-2.8,2.0,1.9
1985-01-26,-1.8,0.9,6.5
1985-01-27,-1.7,2.1,21.6
1985-01-28,-3.0,0.4,0.5
1985-01-29,-6.4,1.7,0.1
1985-01-30,-3.1,2.0,0.0
1985-01-31,1.2,5.2,0.0
1985-02-01,-1.0,6.6,0.0
1985-02-02,-1.4,6.6,0.0
1985-02-03,1.1,9.8,0.0
1985-02-04,0.5,8.1,0.0
1985-02-05,1.7,4.8,0.0
1985-02-06,1.6,5.0,1.5
1985-02-07,1.0,4.2,0.0
1985-02-08,0.9,7.0,3.3
1985-02-09,4.0,5.3,11.3
1985-02-10,2.4,4.2,21.4
1985-02-11,-2.2,2.8,22.3
1985-02-12,-7.0,0.1,0.5
1985-02-13,-6.3,-2.4,0.0
1985-02-14,-1.5,0.5,0.0
1985-02-15,-3.7,2.4,3.2
1985-02-16,-5.6,-0.4,0.2
1985-02-17,-6.5,-4.0,0.0
1985-02-18,-7.2,-4.3,0.0
1985-02-19,-7.0,-3.1,0.0
1985-02-20,-7.0,0.2,0.0
1985-02-21,-5.3,-1.7,0.0
1985-02-22,-6.6,-1.8,0.0
1985-02-23,-7.0,-1.7,0.0
1985-02-24,-1.9,7.5,0.0
1985-02-25,1.5,6.3,0.0
1985-02-26,-0.8,7.3,0.0
1985-02-27,2.6,3.9,0.0
1985-02-28,1.6,1.7,2.3
1985-03-01,1.6,1.7,0.1
1985-03-02,1.2,1.3,38.2
1985-03-03,-3.0,2.2,77.5
1985-03-04,0.0,2.4,0.5
1985-03-05,0.1,2.3,34.7
1985-03-06,0.3,1.0,20.1
1985-03-07,0.3,2.5,37.8
1985-03-08,0.4,2.4,0.7
1985-03-09,2.2,4.5,0.0
1985-03-10,0.2,0.9,1.5
1985-03-11,-5.1,-1.8,0.0
1985-03-12,-5.2,-1.5,0.2
1985-03-13,-5.1,0.1,0.2
1985-03-14,-5.4,2.5,0.0
1985-03-15,0.0,2.0,0.0
1985-03-16,-4.4,-1.0,3.8
1985-03-17,-3.7,-1.4,3.6
1985-03-18,-5.1,-1.4,0.0
1985-03-19,-5.2,0.2,0.0
1985-03-20,-1.6,-0.7,0.0
1985-03-21,-3.7,-1.6,4.1
1985-03-22,-2.5,-1.7,18.9
1985-03-23,-0.3,0.9,27.6
1985-03-24,-2.0,0.7,1.0
1985-03-25,-1.7,2.0,0.0
1985-03-26,-1.2,1.9,0.8
1985-03-27,-0.6,0.7,0.5
1985-03-28,-0.1,2.9,21.3
1985-03-29,-4.3,4.2,0.0
1985-03-30,2.5,3.1,0.0
1985-03-31,1.7,2.8,0.0
1985-04-01,1.6,7.7,0.2
1985-04-02,4.8,9.4,0.0
1985-04-03,2.0,10.0,0.0
1985-04-04,5.6,8.4,0.0
1985-04-05,3.2,4.2,0.0
1985-04-06,-0.2,3.0,38.6
1985-04-07,-2.2,2.9,34.3
1985-04-08,1.5,4.1,13.4
1985-04-09,3.1,7.1,21.9
1985-04-10,1.5,3.9,0.8
1985-04-11,0.2,2.8,0.0
1985-04-12,-0.2,2.5,3.0
1985-04-13,0.9,3.6,0.0
1985-04-14,0.4,4.8,0.0
1985-04-15,0.9,5.0,1.3
1985-04-16,-1.1,6.6,0.0
1985-04-17,-0.4,5.4,0.0
1985-04-18,1.1,5.3,0.0
1985-04-19,0.9,5.3,0.0
1985-04-20,1.5,9.2,0.0
1985-04-21,3.4,8.6,0.0
1985-04-22,3.8,6.8,0.0
1985-04-23,3.4,7.5,0.6
1985-04-24,4.5,6.6,0.0
1985-04-25,4.0,11.7,0.2
1985-04-26,3.9,9.0,2.2
1985-04-27,4.1,9.1,0.7
1985-04-28,4.4,4.5,0.0
1985-04-29,-3.3,4.3,0.0
1985-04-30,1.8,6.2,0.0
1985-05-01,-0.8,7.5,0.0
1985-05-02,1.7,6.2,0.0
1985-05-03,0.0,7.1,0.0
1985-05-04,4.1,9.5,2.6
1985-05-05,2.0,6.1,7.5
1985-05-06,2.1,6.6,0.0
1985-05-07,1.3,3.7,25.5
1985-05-08,0.6,3.7,37.8
1985-05-09,0.7,4.7,33.4
1985-05-10,2.3,4.8,1.8
