ANNO,ID_SEZIONE_CENSIMENTO_ISTAT,TOT_RESIDENTI,TOT_RESIDENTI_ITALIANI,TOT_RESIDENTI_STRANIERI
2020,797,1000,984,16
2020,1245,18,-,-
2020,766,18,-,-
2020,1566,191,-,-
2020,829,417,-,-
2020,1523,47,-,-
2020,707,607,411,196
2020,692,195,158,37
2020,838,12,-,-
2020,408,124,-,-
2020,1570,424,409,15
2020,608,143,129,14
2020,437,11,-,-
2020,166,16,-,-
2020,496,622,549,73
2020,162,<10,-,-
2020,1315,83,47,36
2020,1325,185,148,37
2020,863,584,475,109
2020,1338,239,161,78
2020,411,88,-,-
2020,417,99,84,15
2020,237,274,156,118
2020,1514,21,-,-
2020,285,374,293,81
2020,394,640,595,45
2020,2,95,68,27
2020,190,36,24,12
2020,260,<10,-,-
2020,857,141,-,-
2020,1172,<10,-,-
2020,1499,14,-,-
2020,155,161,48,113
2020,280,321,237,84
2020,1124,101,81,20
2020,623,286,-,-
2020,541,34,-,-
2020,1501,446,420,26
2020,946,36,-,-
2020,763,92,80,12
2020,762,50,-,-
2020,1573,373,362,11
2020,680,69,39,30
2020,1259,<10,-,-
2020,1014,191,156,35
2020,854,348,326,22
2020,1585,286,-,-
2020,1599,<10,-,-
2020,812,192,-,-
2020,1080,113,-,-
2020,518,99,78,21
2020,531,<10,-,-
2020,134,158,78,80
2020,1046,14,-,-
2020,1477,54,-,-
2020,1557,110,90,20
2020,626,216,196,20
2020,210,240,213,27
2020,620,827,801,26
2020,1042,<10,-,-
2020,664,168,137,31
2020,281,475,426,49
2020,1066,16,-,-
2020,1563,169,156,13
2020,764,27,-,-
2020,388,619,530,89
2020,368,31,-,-
2020,941,125,109,16
2020,385,46,-,-
2020,132,70,54,16
2020,143,39,-,-
2020,191,23,-,-
2020,176,55,34,21
2020,387,61,-,-
2020,767,265,231,34
2020,322,237,201,36
2020,383,36,-,-
2020,615,190,145,45
2020,606,208,188,20
2020,1519,22,-,-
2020,277,182,168,14
2020,1327,53,-,-
2020,1489,358,322,36
2020,1048,172,-,-
2020,1045,<10,-,-
2020,1356,93,-,-
2020,1539,240,228,12
2020,634,172,151,21
2020,1413,167,144,23
2020,578,784,769,15
2020,1382,167,135,32
2020,840,10,-,-
2020,506,652,624,28
2020,987,19,-,-
2020,1192,189,59,130
2020,1191,638,367,271
2020,1350,63,-,-
2020,1423,510,462,48
2020,745,97,87,10
2020,53,<10,-,-
2020,917,112,-,-
2020,1422,234,199,35
2020,219,<10,-,-
2020,995,100,88,12
2020,1337,185,149,36
2020,1380,58,-,-
2020,197,69,48,21
2020,732,122,95,27
2020,1202,95,-,-
2020,1421,<10,-,-
2020,1582,10,-,-
2020,880,47,-,-
2020,1199,<10,-,-
2020,441,14,-,-
2020,1357,124,112,12
2020,921,156,135,21
2020,1107,178,154,24
2020,1085,33,-,-
2020,1443,12,-,-
2020,509,207,154,53
2020,1268,56,-,-
2020,1398,11,-,-
2020,1030,27,-,-
2020,294,234,206,28
2020,1097,49,-,-
2020,933,96,61,35
2020,1462,26,-,-
2020,1374,101,48,53
2020,982,44,-,-
2020,59,121,91,30
2020,1027,16,-,-
2020,631,46,36,10
2020,1073,<10,-,-
2020,358,163,118,45
2020,1128,145,133,12
2020,607,201,183,18
2020,562,82,-,-
2020,576,<10,-,-
2020,869,233,123,110
2020,587,63,-,-
2020,684,180,146,34
2020,48,17,-,-
2020,1360,61,-,-
2020,662,29,-,-
2020,1390,21,-,-
2020,299,41,-,-
2020,678,46,-,-
2020,689,90,-,-
2020,1359,36,-,-
2020,613,15,-,-
2020,655,37,-,-
2020,1403,<10,-,-
2020,5,28,-,-
2020,1295,<10,-,-
2020,32,14,-,-
2020,609,32,-,-
2020,456,<10,-,-
2020,66,33,-,-
2020,1024,<10,-,-
2020,1492,<10,-,-
2020,65,14,-,-
2020,51,97,80,17
2020,144,42,30,12
2020,648,97,-,-
2020,27,<10,-,-
2020,795,189,-,-
2020,1026,<10,-,-
2020,85,43,-,-
2020,442,28,-,-
2020,444,<10,-,-
2020,18,15,-,-
2020,944,81,70,11
2020,183,90,61,29
2020,1118,<10,-,-
2020,1000,<10,-,-
2020,1103,117,-,-
2020,1488,10,-,-
2020,713,<10,-,-
2020,793,<10,-,-
2020,775,<10,-,-
2020,722,57,26,31
2020,389,<10,-,-
2020,1039,18,-,-
2020,352,111,93,18
2020,889,20,-,-
2020,392,55,45,10
2020,1011,<10,-,-
2020,1003,<10,-,-
2020,37,<10,-,-
2020,349,53,40,13
2020,1270,<10,-,-
2020,330,68,38,30
2020,257,<10,-,-
2020,180,31,19,12
2020,903,<10,-,-
2020,167,45,30,15
2020,1139,<10,-,-
2020,554,27,-,-
2020,1243,<10,-,-
2020,1143,13,-,-
2020,1055,14,-,-
2020,1165,<10,-,-
2020,910,<10,-,-
2020,1468,17,-,-
2020,1233,19,-,-
2020,1546,199,186,13
2020,1234,<10,-,-
2020,264,648,469,179
2020,1528,231,221,10
2020,1551,135,-,-
2020,1222,56,43,13
2020,1221,416,372,44
2020,1640,42,31,11
2020,273,115,101,14
2020,768,<10,-,-
2020,426,125,-,-
2020,469,256,229,27
2020,70,57,-,-
2020,239,81,71,10
2020,825,107,93,14
2020,836,95,-,-
2020,1532,56,-,-
2020,837,55,-,-
2020,1309,240,-,-
2020,46,42,-,-
2020,841,90,-,-
2020,34,75,61,14
2020,160,<10,-,-
2020,1496,83,-,-
2020,33,35,-,-
2020,435,<10,-,-
2020,1314,36,-,-
2020,11,60,-,-
2020,1331,<10,-,-
2020,88,81,-,-
2020,212,178,132,46
2020,1526,374,-,-
2020,116,181,142,39
2020,221,<10,-,-
2020,1607,133,-,-
2020,124,143,121,22
2020,1636,77,-,-
2020,856,191,164,27
2020,1135,66,53,13
2020,790,52,42,10
2020,156,110,55,55
2020,127,109,88,21
2020,1500,281,202,79
2020,1069,19,-,-
2020,1173,237,127,110
2020,1151,51,-,-
2020,1578,307,-,-
2020,498,55,-,-
2020,1248,21,11,10
2020,813,113,-,-
2020,912,1051,838,213
2020,230,179,154,25
2020,495,116,-,-
2020,510,11,-,-
2020,484,74,59,15
2020,545,114,83,31
2020,551,225,193,32
2020,778,86,-,-
2020,1068,13,-,-
2020,1021,<10,-,-
2020,513,44,-,-
2020,1478,97,78,19
2020,1225,<10,-,-
2020,378,86,-,-
2020,1592,119,87,32
2020,1182,683,506,177
2020,1087,208,193,15
2020,372,81,-,-
2020,1040,75,-,-
2020,569,288,-,-
2020,96,15,-,-
2020,935,69,19,50
2020,709,35,-,-
2020,1002,455,410,45
2020,1285,50,-,-
2020,1482,<10,-,-
2020,1321,189,136,53
2020,318,105,62,43
2020,924,35,-,-
2020,452,186,-,-
2020,1364,370,347,23
2020,266,54,-,-
2020,940,103,88,15
2020,1412,<10,-,-
2020,1453,21,-,-
2020,1381,90,71,19
2020,247,269,221,48
2020,1383,128,110,18
2020,913,380,289,91
2020,1411,121,103,18
2020,1090,<10,-,-
2020,1261,159,116,43
2020,1190,94,42,52
2020,1618,362,266,96
2020,757,135,122,13
2020,619,51,-,-
2020,809,<10,-,-
2020,208,53,40,13
2020,1520,80,-,-
2020,873,502,170,332
2020,1450,39,24,15
2020,1344,12,-,-
2020,673,32,-,-
2020,1361,56,-,-
2020,1490,107,-,-
2020,1601,25,-,-
2020,366,43,31,12
2020,661,123,-,-
2020,1353,60,42,18
2020,548,180,138,42
2020,1542,109,-,-
2020,8,35,25,10
2020,316,129,49,80
2020,999,<10,-,-
2020,1018,57,37,20
