ANNO;ID_SEZIONE_CENSIMENTO_ISTAT;TOT_RESIDENTI;TOT_RESIDENTI_ITALIANI;TOT_RESIDENTI_STRANIERI
2018;109;327;200;127
2018;264;651;480;171
2018;213;22;-;-
2018;1536;86;-;-
2018;377;65;34;31
2018;382;108;-;-
2018;1500;280;209;71
2018;597;143;-;-
2018;294;237;209;28
2018;1490;111;-;-
2018;293;63;46;17
2018;225;<10;-;-
2018;1277;843;784;59
2018;1249;15;-;-
2018;1487;188;178;10
2018;825;114;101;13
2018;931;376;361;15
2018;1014;197;158;39
2018;832;411;-;-
2018;1598;54;-;-
2018;1094;35;-;-
2018;1591;80;64;16
2018;1545;375;337;38
2018;1268;59;-;-
2018;1064;22;-;-
2018;1530;89;-;-
2018;1421;11;-;-
2018;463;90;-;-
2018;668;68;39;29
2018;1244;314;215;99
2018;1344;11;-;-
2018;1429;1204;1060;144
2018;421;308;245;63
2018;700;48;-;-
2018;584;63;-;-
2018;1400;55;35;20
2018;868;74;39;35
2018;1310;81;-;-
2018;1540;171;158;13
2018;367;50;-;-
2018;300;280;216;64
2018;74;64;52;12
2018;525;76;47;29
2018;1116;227;196;31
2018;426;119;109;10
2018;315;240;168;72
2018;471;121;-;-
2018;142;16;-;-
2018;964;42;-;-
2018;821;181;-;-
2018;153;87;35;52
2018;147;155;106;49
2018;86;19;-;-
2018;443;56;-;-
2018;699;59;-;-
2018;18;12;-;-
2018;1121;108;91;17
2018;73;66;52;14
2018;817;300;219;81
2018;119;29;-;-
2018;861;137;100;37
2018;54;36;-;-
2018;983;445;382;63
2018;85;50;-;-
2018;754;476;426;50
2018;758;371;351;20
2018;572;18;-;-
2018;533;171;112;59
2018;953;323;297;26
2018;1083;38;-;-
2018;125;18;-;-
2018;742;121;-;-
2018;705;122;-;-
2018;68;60;40;20
2018;748;333;289;44
2018;665;15;-;-
2018;408;126;113;13
2018;1028;<10;-;-
2018;126;95;80;15
2018;162;<10;-;-
2018;39;63;44;19
2018;1518;24;-;-
2018;102;<10;-;-
2018;1177;<10;-;-
2018;334;252;168;84
2018;1478;94;71;23
2018;1134;<10;-;-
2018;1069;<10;-;-
2018;1042;<10;-;-
2018;1036;30;-;-
2018;518;97;79;18
2018;268;22;-;-
2018;984;16;-;-
2018;128;48;-;-
