COD_REGIONALE,STATO,PROVINCIA,COMUNE,ENTE_RESPONSABILE_PROCEDIMENTO,CODICE_NAZIONALE_SIN,ETRS89_32N_LON,ETRS89_32N_LAT
080340145,Non contaminato,PARMA,FIDENZA,COMUNE DI FIDENZA,,580970,4969098
0803402760,Certificato,PARMA,PARMA,ARPAE/SAC Parma,,"605967,35610900004","4962256,7581099998"
0803901447,Certificato,RAVENNA,RAVENNA,Comune di Ravenna,,757693,4926823
0803901473,Certificato,RAVENNA,RAVENNA,Comune di Ravenna,,764112,4921501
08039014114,Attivata la bonifica,RAVENNA,RAVENNA,Comune di Ravenna,,756194,4924693
08039014110,Attivata la bonifica,RAVENNA,RAVENNA,Comune di Ravenna,,757921,4928148
08039014115,Attivata la bonifica,RAVENNA,RAVENNA,Comune di Ravenna,,757668,4924941
08039014105,Certificato,RAVENNA,RAVENNA,Comune di Ravenna,,757130,4924482
0803901435,Certificato,RAVENNA,RAVENNA,ARPAE/SAC Ravenna,,757819,4925482
0803901461,Certificato,RAVENNA,RAVENNA,Comune di Ravenna,,758122,4927461
08039014111,Bonificato,RAVENNA,RAVENNA,Comune di Ravenna,,757407,4927253
0803901459,Certificato,RAVENNA,RAVENNA,Comune di Ravenna,,757829,4927511
08039014109,Certificato,RAVENNA,RAVENNA,Comune di Ravenna,,756644,4927897
08039014106,Non contaminato,RAVENNA,RAVENNA,Comune di Ravenna,,756524,4927839
08039014113,Attivata la bonifica,RAVENNA,RAVENNA,Comune di Ravenna,,757520,4927000
0803901446,Non contaminato,RAVENNA,RAVENNA,Comune di Ravenna,,757330,4927588
0803901445,Non contaminato,RAVENNA,RAVENNA,Comune di Ravenna,,757203,4927000
0803901431,Certificato,RAVENNA,RAVENNA,ARPAE/SAC Ravenna,,759190,4930239
0803901444,Certificato,RAVENNA,RAVENNA,Comune di Ravenna,,757192,4926597
0803901463,Certificato,RAVENNA,RAVENNA,Comune di Ravenna,,757727,4926393
0803901477,Certificato,RAVENNA,RAVENNA,Comune di Ravenna,,756560,4923839
0803901456,Certificato,RAVENNA,RAVENNA,Comune di Ravenna,,763341,4921426
08039014101,Non contaminato,RAVENNA,RAVENNA,Comune di Ravenna,,753389,4927805
