PragaDate,DAILY_TMIN,DAILY_TMAX,DAILY_PREC
1983-01-01,-1.8,4.5,0.0
1983-01-02,-2.4,6.7,0.1
1983-01-03,0.2,6.3,0.0
1983-01-04,2.3,4.7,0.1
1983-01-05,0.6,9.4,0.4
1983-01-06,0.6,8.5,0.0
1983-01-07,5.6,8.4,0.9
1983-01-08,2.2,4.1,0.6
1983-01-09,1.2,4.0,0.5
1983-01-10,-1.9,4.0,0.0
1983-01-11,-0.4,5.9,0.0
1983-01-12,0.1,5.5,0.0
1983-01-13,0.9,4.3,0.0
1983-01-14,2.1,3.0,16.6
1983-01-15,-0.9,2.6,1.0
1983-01-16,5.3,8.6,0.0
1983-01-17,3.8,7.2,0.0
1983-01-18,0.1,6.3,0.0
1983-01-19,0.0,5.1,0.0
1983-01-20,-1.0,1.1,0.0
1983-01-21,-5.0,1.2,0.0
1983-01-22,-5.3,4.5,0.0
1983-01-23,2.1,7.0,0.0
1983-01-24,2.3,9.2,0.0
1983-01-25,2.4,10.9,0.0
1983-01-26,3.0,7.6,0.0
1983-01-27,4.8,13.3,0.0
1983-01-28,2.5,5.3,0.0
1983-01-29,3.2,6.8,0.0
1983-01-30,2.7,5.5,0.0
1983-01-31,-1.4,4.4,0.0
1983-02-01,-3.2,3.6,0.0
1983-02-02,-5.4,3.0,0.0
1983-02-03,-5.9,2.5,0.0
1983-02-04,-3.6,-3.1,0.0
1983-02-05,-7.0,-1.9,1.0
1983-02-06,-4.2,1.5,10.2
1983-02-07,-5.7,-0.8,0.1
1983-02-08,-4.2,-1.1,0.6
1983-02-09,-5.0,0.1,4.4
1983-02-10,-7.6,-0.5,3.9
1983-02-11,-7.7,-0.5,0.5
1983-02-12,-7.1,-2.5,2.2
1983-02-13,-5.2,-1.4,1.1
1983-02-14,-4.2,-0.4,9.3
1983-02-15,-6.6,-1.7,5.8
1983-02-16,-8.1,-2.2,0.2
1983-02-17,-10.9,-0.2,0.0
1983-02-18,-10.1,-0.5,0.0
1983-02-19,-4.9,1.0,0.0
1983-02-20,-0.7,2.1,0.0
1983-02-21,-3.2,2.3,0.0
1983-02-22,-3.9,-0.6,0.0
1983-02-23,-7.4,-2.1,0.0
1983-02-24,-6.7,1.1,0.0
1983-02-25,-4.6,2.4,0.3
1983-02-26,-4.2,3.5,4.6
1983-02-27,-4.6,3.1,17.2
1983-02-28,-2.9,2.1,0.0
1983-03-01,-1.6,4.9,0.0
1983-03-02,0.6,2.2,5.7
1983-03-03,-1.0,1.7,0.1
1983-03-04,-3.3,4.6,0.0
1983-03-05,0.4,6.3,0.0
1983-03-06,1.0,7.3,0.0
1983-03-07,1.2,5.5,0.0
1983-03-08,2.7,6.4,0.0
1983-03-09,-0.1,4.0,0.2
1983-03-10,3.7,6.0,0.7
1983-03-11,1.7,7.7,0.0
1983-03-12,3.1,10.9,0.0
1983-03-13,0.5,6.6,0.0
1983-03-14,0.9,3.6,0.0
1983-03-15,2.3,5.5,21.8
1983-03-16,-1.5,5.8,101.8
1983-03-17,0.5,6.4,6.7
1983-03-18,0.4,9.4,0.0
1983-03-19,4.3,9.9,0.0
1983-03-20,2.0,9.7,0.0
1983-03-21,2.8,9.9,0.0
1983-03-22,0.6,8.2,5.6
1983-03-23,2.9,7.4,0.2
1983-03-24,3.3,3.4,0.9
1983-03-25,0.4,5.3,23.5
1983-03-26,-1.6,5.9,0.8
1983-03-27,-3.3,4.3,0.0
1983-03-28,-0.2,0.4,2.7
1983-03-29,-0.7,3.3,83.4
1983-03-30,-0.1,5.6,9.0
1983-03-31,-0.1,5.3,0.0
1983-04-01,0.2,5.4,0.0
1983-04-02,-2.6,2.7,14.0
1983-04-03,1.5,3.2,7.6
1983-04-04,-0.1,2.9,10.3
1983-04-05,-2.6,3.3,3.0
1983-04-06,0.3,6.8,0.0
1983-04-07,-1.3,8.0,2.3
1983-04-08,1.2,6.2,0.0
1983-04-09,2.8,5.0,2.4
1983-04-10,2.1,7.8,2.3
1983-04-11,5.4,6.9,0.1
1983-04-12,0.6,6.2,0.0
1983-04-13,-1.3,4.9,0.4
1983-04-14,0.0,5.8,0.0
1983-04-15,0.3,7.1,0.0
1983-04-16,3.3,7.8,0.0
1983-04-17,5.1,6.6,0.0
1983-04-18,2.8,5.6,0.9
1983-04-19,2.3,9.1,14.7
1983-04-20,3.3,11.5,6.0
1983-04-21,4.2,12.7,0.0
1983-04-22,3.0,7.9,27.6
1983-04-23,1.7,8.0,0.9
1983-04-24,5.8,6.5,10.6
1983-04-25,6.5,7.7,5.1
1983-04-26,7.7,8.3,6.4
1983-04-27,1.9,10.1,26.1
1983-04-28,4.8,10.9,0.0
1983-04-29,5.8,11.1,1.8
1983-04-30,6.1,10.3,0.6
1983-05-01,6.0,8.8,4.8
1983-05-02,4.7,8.0,10.0
1983-05-03,3.8,9.1,0.0
1983-05-04,5.9,8.8,0.0
1983-05-05,6.4,13.0,0.0
1983-05-06,9.0,11.9,0.0
1983-05-07,7.4,10.5,0.1
1983-05-08,6.6,8.1,1.6
1983-05-09,5.2,12.5,7.2
1983-05-10,6.2,8.9,0.0
1983-05-11,6.0,7.2,4.2
1983-05-12,5.4,8.7,0.7
1983-05-13,8.6,10.4,1.1
1983-05-14,10.2,11.5,0.4
1983-05-15,8.1,12.3,1.6
1983-05-16,6.9,8.5,51.8
1983-05-17,6.4,8.3,10.5
1983-05-18,9.3,9.6,0.3
1983-05-19,6.4,12.0,0.0
1983-05-20,8.7,12.9,1.6
1983-05-21,9.3,10.9,0.0
1983-05-22,8.6,10.9,52.9
1983-05-23,4.9,10.3,20.6
1983-05-24,5.8,6.8,4.8
1983-05-25,3.8,10.9,0.8
1983-05-26,6.6,7.1,0.9
1983-05-27,6.7,8.6,5.2
1983-05-28,5.6,7.6,4.0
1983-05-29,5.5,7.7,0.0
1983-05-30,7.8,12.4,0.0
1983-05-31,6.4,15.7,0.0
1983-06-01,6.5,18.0,0.0
1983-06-02,14.5,17.6,0.0
1983-06-03,10.1,20.6,0.0
1983-06-04,9.9,21.6,0.0
1983-06-05,12.1,20.2,0.0
1983-06-06,13.0,20.5,0.0
1983-06-07,9.5,18.1,0.0
1983-06-08,10.8,19.3,0.0
1983-06-09,11.7,22.5,0.0
1983-06-10,11.9,21.3,0.0
1983-06-11,12.3,20.8,0.0
1983-06-12,12.0,18.1,0.0
1983-06-13,10.8,18.0,0.0
1983-06-14,10.0,17.9,17.5
1983-06-15,10.4,19.0,0.0
1983-06-16,9.5,15.3,0.0
1983-06-17,9.3,14.4,0.0
1983-06-18,5.4,12.4,3.5
1983-06-19,6.5,10.5,13.1
1983-06-20,6.2,12.4,2.3
1983-06-21,10.0,12.7,19.7
1983-06-22,9.2,13.2,1.4
1983-06-23,9.7,13.0,4.1
1983-06-24,11.6,16.7,2.2
1983-06-25,11.3,16.5,0.0
1983-06-26,7.3,16.5,0.0
1983-06-27,13.1,15.6,0.0
1983-06-28,7.1,18.0,5.3
1983-06-29,12.2,16.3,11.0
1983-06-30,11.9,16.6,0.3
1983-07-01,11.4,15.6,0.0
1983-07-02,12.7,19.4,0.1
1983-07-03,12.3,19.9,0.0
1983-07-04,13.6,19.4,0.0
1983-07-05,13.9,20.1,0.0
1983-07-06,9.8,15.8,0.2
1983-07-07,12.9,16.4,6.8
1983-07-08,10.7,19.5,6.9
1983-07-09,12.9,20.0,6.5
1983-07-10,12.8,21.7,1.0
1983-07-11,15.7,20.2,9.7
1983-07-12,14.5,23.0,2.8
1983-07-13,10.2,21.8,1.4
1983-07-14,14.5,22.2,0.0
1983-07-15,13.3,20.7,21.5
1983-07-16,15.4,21.4,0.0
1983-07-17,15.2,21.8,0.0
1983-07-18,14.3,22.6,0.0
1983-07-19,14.4,23.9,0.0
1983-07-20,16.0,23.6,0.0
1983-07-21,16.2,25.5,0.0
1983-07-22,15.5,27.6,0.0
1983-07-23,15.4,25.8,0.0
1983-07-24,14.9,23.5,0.0
1983-07-25,15.0,26.4,0.0
1983-07-26,16.9,27.4,0.0
1983-07-27,15.3,27.1,0.0
1983-07-28,15.9,26.7,0.0
1983-07-29,15.0,27.5,0.0
1983-07-30,15.1,28.1,0.0
1983-07-31,17.7,25.8,0.0
1983-08-01,17.1,22.9,0.0
1983-08-02,17.1,17.4,0.4
1983-08-03,17.2,17.7,0.8
1983-08-04,11.3,18.6,0.0
1983-08-05,11.8,19.9,0.0
1983-08-06,11.9,16.6,0.0
1983-08-07,12.1,18.7,0.1
1983-08-08,11.5,19.3,0.1
1983-08-09,11.4,20.3,0.0
1983-08-10,14.1,19.6,0.0
1983-08-11,14.1,17.6,0.0
1983-08-12,12.4,17.8,5.5
1983-08-13,9.9,19.9,0.0
1983-08-14,12.8,19.5,0.0
1983-08-15,11.9,19.6,0.0
1983-08-16,12.0,17.9,0.0
1983-08-17,11.0,16.0,10.9
1983-08-18,10.0,18.6,0.1
1983-08-19,12.7,19.1,0.0
1983-08-20,12.4,18.2,3.4
1983-08-21,12.5,18.2,10.9
1983-08-22,14.0,21.4,5.9
1983-08-23,11.4,21.6,0.0
1983-08-24,11.2,17.8,0.4
1983-08-25,11.4,15.2,23.6
1983-08-26,13.8,16.1,0.7
1983-08-27,10.7,17.4,1.5
1983-08-28,11.5,16.7,3.5
1983-08-29,11.1,17.1,2.0
1983-08-30,11.3,17.2,2.9
1983-08-31,12.0,17.6,2.9
1983-09-01,12.2,19.4,0.0
1983-09-02,11.2,18.7,5.0
1983-09-03,12.0,15.7,1.6
1983-09-04,12.0,17.0,3.7
1983-09-05,10.3,19.3,0.0
1983-09-06,12.3,19.2,0.0
1983-09-07,11.7,18.7,0.0
1983-09-08,11.5,18.5,0.0
1983-09-09,9.0,18.0,0.0
1983-09-10,9.8,15.3,6.0
1983-09-11,12.9,13.0,9.8
1983-09-12,8.4,13.0,1.1
1983-09-13,7.2,14.1,0.0
1983-09-14,7.6,12.7,0.0
1983-09-15,6.6,13.0,0.0
1983-09-16,8.8,12.3,2.0
1983-09-17,4.7,11.1,21.1
1983-09-18,5.0,15.3,20.6
1983-09-19,5.7,16.7,0.0
1983-09-20,7.1,16.6,0.0
1983-09-21,6.3,16.9,0.0
1983-09-22,6.5,17.5,0.0
1983-09-23,9.3,18.9,0.0
1983-09-24,10.1,18.7,0.0
1983-09-25,8.6,21.0,0.0
1983-09-26,10.8,17.9,0.0
1983-09-27,10.1,15.5,0.0
1983-09-28,8.6,15.0,0.0
1983-09-29,6.9,13.8,0.0
1983-09-30,10.1,13.4,22.9
1983-10-01,9.1,15.9,1.4
1983-10-02,9.4,15.4,0.0
1983-10-03,7.8,15.0,0.0
1983-10-04,11.0,14.6,0.0
1983-10-05,9.8,14.2,0.0
1983-10-06,11.7,12.4,0.0
1983-10-07,9.7,15.0,0.0
1983-10-08,10.8,12.4,0.6
1983-10-09,8.4,12.1,4.0
1983-10-10,9.4,14.8,0.0
1983-10-11,6.1,11.1,0.0
1983-10-12,6.1,11.3,0.2
1983-10-13,7.2,12.2,0.0
1983-10-14,6.3,9.6,0.0
1983-10-15,7.1,10.0,26.1
1983-10-16,5.5,10.4,2.7
1983-10-17,7.0,13.3,6.1
1983-10-18,4.0,10.9,0.0
1983-10-19,5.3,13.1,0.0
1983-10-20,3.8,13.3,0.0
1983-10-21,5.6,13.1,0.9
1983-10-22,1.0,5.4,1.1
1983-10-23,2.4,6.6,0.7
1983-10-24,2.5,6.3,0.9
1983-10-25,0.0,9.5,0.0
1983-10-26,2.9,10.0,0.0
1983-10-27,5.2,13.1,0.0
1983-10-28,5.2,10.4,0.0
1983-10-29,3.2,8.0,0.0
1983-10-30,4.6,7.8,8.0
1983-10-31,5.6,7.1,17.3
1983-11-01,3.1,7.6,0.0
1983-11-02,4.1,8.4,0.0
1983-11-03,5.2,9.3,0.0
1983-11-04,4.8,9.4,0.0
1983-11-05,4.9,10.5,0.0
1983-11-06,5.7,10.5,0.0
1983-11-07,3.4,10.3,0.0
1983-11-08,3.0,9.8,0.0
1983-11-09,3.6,10.8,0.0
1983-11-10,3.0,10.0,0.0
1983-11-11,1.9,8.9,0.0
1983-11-12,2.3,8.3,0.0
1983-11-13,1.2,6.1,0.0
1983-11-14,-1.0,1.6,0.0
1983-11-15,-6.0,1.2,0.0
1983-11-16,-4.2,2.6,0.0
1983-11-17,-2.2,4.7,0.0
1983-11-18,-3.5,3.6,0.0
1983-11-19,-4.6,5.4,0.0
1983-11-20,-2.3,4.0,0.0
1983-11-21,0.7,3.7,6.7
1983-11-22,-1.0,1.2,2.2
1983-11-23,-0.7,2.7,0.0
1983-11-24,2.5,3.0,0.0
1983-11-25,-1.2,6.3,0.0
1983-11-26,2.1,8.5,0.0
1983-11-27,3.3,7.3,2.1
1983-11-28,3.0,8.0,2.8
1983-11-29,-0.8,6.6,0.0
1983-11-30,0.3,1.0,0.0
1983-12-01,-1.1,-0.9,0.0
1983-12-02,-4.1,-3.9,0.0
1983-12-03,-5.6,-1.4,0.0
1983-12-04,-4.9,1.0,0.0
1983-12-05,-3.3,3.2,0.0
1983-12-06,-1.2,3.8,0.0
1983-12-07,-2.3,1.5,0.0
1983-12-08,-6.6,-0.9,0.0
1983-12-09,-4.1,2.2,0.0
1983-12-10,-2.2,2.4,8.6
1983-12-11,-6.7,-0.8,1.6
1983-12-12,-3.6,-2.2,0.0
1983-12-13,-7.4,-1.3,1.0
1983-12-14,-4.7,0.3,0.0
1983-12-15,-3.2,1.2,0.0
1983-12-16,-2.2,-1.6,7.3
1983-12-17,-2.0,3.9,24.0
1983-12-18,0.5,5.8,14.2
1983-12-19,1.3,4.9,70.6
1983-12-20,1.0,4.4,29.7
1983-12-21,3.0,6.5,65.9
1983-12-22,-1.4,4.0,105.4
1983-12-23,0.1,5.1,0.9
1983-12-24,1.5,8.6,0.0
1983-12-25,3.7,7.7,0.0
1983-12-26,1.7,6.1,0.0
1983-12-27,0.8,5.4,0.0
1983-12-28,1.7,10.8,0.0
1983-12-29,2.9,12.5,0.0
1983-12-30,4.1,10.9,0.0
1983-12-31,1.3,9.0,0.0
