;;2008 - 2010;2011 - 2013;2014 - 2015;2016 - 2017;2018 - 2019;2020 - 2021;2022 - 2023;FINO AL 2007;NON DEFINITO;Somma:
FERRARA;ARGENTA;2.363;1.882;1.357;1.786;1.728;1.236;1.109;7.453;8;18.922
FERRARA;BONDENO;1.589;1.235;912;1.176;1.178;871;687;5.885;5;13.538
FERRARA;CENTO;3.629;3.303;2.495;3.106;3.140;2.199;2.008;11.332;13;31.225
FERRARA;CODIGORO;1.362;1.054;734;979;961;716;490;4.335;3;10.634
FERRARA;COMACCHIO;2.698;2.084;1.426;2.059;1.950;1.503;1.422;8.271;13;21.426
FERRARA;COPPARO;1.823;1.658;1.102;1.428;1.368;915;805;5.774;5;14.878
FERRARA;FERRARA;12.679;11.133;8.549;11.365;11.986;9.677;8.387;35.910;66;109.752
FERRARA;FISCAGLIA;975;758;537;672;667;464;353;3.506;3;7.935
FERRARA;GORO;347;382;271;382;393;272;183;832;-;3.062
FERRARA;JOLANDA DI SAVOIA;331;231;153;195;205;158;105;1.198;7;2.583
FERRARA;LAGOSANTO;544;446;289;421;398;261;252;1.576;1;4.188
FERRARA;MASI TORELLO;221;230;175;215;205;154;119;639;-;1.958
FERRARA;MESOLA;859;620;418;537;525;336;309;3.210;5;6.819
FERRARA;NON DEFINITO FE;2;3;-;-;1;-;-;30;-;36
FERRARA;OSTELLATO;656;531;376;491;477;343;265;2.210;1;5.350
FERRARA;POGGIO RENATICO;1.010;852;622;895;899;639;591;2.782;3;8.293
FERRARA;PORTOMAGGIORE;1.159;961;702;867;860;594;545;3.896;6;9.590
FERRARA;RIVA DEL PO;901;690;424;628;594;358;331;3.461;2;7.389
FERRARA;TERRE DEL RENO;1.045;979;723;905;935;617;562;3.296;-;9.062
FERRARA;TRESIGNANA;796;658;485;640;546;384;328;2.734;-;6.571
FERRARA;VIGARANO MAINARDA;790;735;597;809;767;600;524;2.334;5;7.161
FERRARA;VOGHIERA;393;368;250;325;322;255;205;1.122;1;3.241
FORLI'-CESENA;BAGNO DI ROMAGNA;670;504;354;470;510;339;266;2.447;3;5.563
FORLI'-CESENA;BERTINORO;1.382;1.162;818;1.129;1.130;795;654;4.209;2;11.281
FORLI'-CESENA;BORGHI;429;287;181;256;260;175;146;1.487;-;3.221
FORLI'-CESENA;CASTROCARO TERME T.D.SOLE;687;561;404;563;572;405;331;2.528;-;6.051
FORLI'-CESENA;CESENA;11.723;9.351;7.285;9.774;10.024;7.888;6.725;31.466;40;94.276
FORLI'-CESENA;CESENATICO;3.272;2.581;1.750;2.438;2.313;1.770;1.653;9.192;5;24.974
FORLI'-CESENA;CIVITELLA DI ROMAGNA;419;293;207;280;265;158;140;1.785;3;3.550
FORLI'-CESENA;DOVADOLA;175;118;80;114;108;89;68;705;-;1.457
FORLI'-CESENA;FORLI';12.818;10.274;7.857;10.369;10.809;7.675;7.242;36.262;49;103.355
FORLI'-CESENA;FORLIMPOPOLI;1.576;1.263;928;1.240;1.201;772;722;4.502;3;12.207
FORLI'-CESENA;GALEATA;228;190;128;149;144;103;112;1.089;1;2.144
FORLI'-CESENA;GAMBETTOLA;1.351;1.025;754;986;978;723;643;3.703;4;10.167
FORLI'-CESENA;GATTEO;1.139;907;614;840;855;633;582;3.227;5;8.802
FORLI'-CESENA;LONGIANO;940;727;520;754;735;522;493;2.694;6;7.391
FORLI'-CESENA;MELDOLA;1.111;889;594;832;807;522;479;4.093;2;9.329
FORLI'-CESENA;MERCATO SARACENO;863;653;475;690;688;454;345;2.536;4;6.708
FORLI'-CESENA;MODIGLIANA;496;424;262;340;339;241;176;1.849;2;4.129
FORLI'-CESENA;MONTIANO;235;153;110;156;153;93;85;715;1;1.701
FORLI'-CESENA;NON DEFINITO FC;-;-;-;-;-;-;-;27;-;27
FORLI'-CESENA;PORTICO E SAN BENEDETTO;97;40;39;55;45;29;17;315;-;637
FORLI'-CESENA;PREDAPPIO;705;561;397;506;481;373;330;2.765;-;6.118
FORLI'-CESENA;PREMILCUORE;75;56;35;54;34;38;26;417;2;737
FORLI'-CESENA;ROCCA SAN CASCIANO;174;143;124;132;125;104;63;848;-;1.713
FORLI'-CESENA;RONCOFREDDO;445;337;234;327;331;239;211;1.670;1;3.795
FORLI'-CESENA;SAN MAURO PASCOLI;1.472;1.064;848;1.110;1.147;800;738;3.839;4;11.022
FORLI'-CESENA;SANTA SOFIA;416;328;246;311;274;220;168;1.812;3;3.778
FORLI'-CESENA;SARSINA;363;302;205;288;257;182;151;1.460;1;3.209
FORLI'-CESENA;SAVIGNANO SUL RUBICONE;2.191;1.618;1.184;1.615;1.658;1.091;1.002;6.516;11;16.886
FORLI'-CESENA;SOGLIANO AL RUBICONE;384;328;212;263;273;185;132;1.489;1;3.267
FORLI'-CESENA;TREDOZIO;138;101;72;83;88;57;35;497;-;1.071
FORLI'-CESENA;VERGHERETO;230;174;117;132;145;83;70;903;1;1.855
MODENA;BASTIGLIA;449;409;404;387;407;276;287;1.201;-;3.820
MODENA;BOMPORTO;1.029;956;719;1.058;992;719;658;3.303;12;9.446
MODENA;CAMPOGALLIANO;974;846;623;907;974;677;599;2.838;6;8.444
MODENA;CAMPOSANTO;287;274;184;295;242;190;143;1.273;2;2.890
MODENA;CARPI;6.597;6.019;4.615;6.550;6.689;4.968;4.761;19.427;42;59.668
MODENA;CASTELFRANCO EMILIA;3.245;2.987;2.299;3.079;3.098;2.296;2.104;9.997;28;29.133
MODENA;CASTELNUOVO RANGONE;1.338;1.335;1.143;1.547;1.578;1.209;1.126;4.125;6;13.407
MODENA;CASTELVETRO DI MODENA;1.094;1.013;834;1.206;1.129;790;800;3.862;7;10.735
MODENA;CAVEZZO;716;659;473;640;655;421;359;2.397;6;6.326
MODENA;CONCORDIA SULLA SECCHIA;981;848;591;703;786;529;514;3.294;4;8.250
MODENA;FANANO;341;288;188;273;259;162;137;1.470;4;3.122
MODENA;FINALE EMILIA;1.570;1.399;1.040;1.378;1.314;845;735;5.698;16;13.995
MODENA;FIORANO MODENESE;1.712;1.780;1.358;1.924;1.885;1.356;1.282;5.576;9;16.882
MODENA;FIUMALBO;139;123;90;117;100;67;67;620;-;1.323
MODENA;FORMIGINE;3.208;3.177;2.633;3.549;3.802;2.545;2.377;9.237;20;30.548
MODENA;FRASSINORO;184;169;123;162;187;122;89;774;2;1.812
MODENA;GUIGLIA;421;395;258;367;351;277;245;1.828;2;4.144
MODENA;LAMA MOCOGNO;312;232;169;227;229;148;129;1.864;1;3.311
MODENA;MARANELLO;1.701;1.586;1.359;1.803;1.731;1.248;1.118;5.574;18;16.138
MODENA;MARANO SUL PANARO;528;500;351;532;486;364;323;2.003;9;5.096
MODENA;MEDOLLA;681;595;546;686;630;481;398;1.867;1;5.885
MODENA;MIRANDOLA;2.687;2.405;1.722;2.391;2.378;1.869;1.625;8.516;12;23.605
MODENA;MODENA;16.808;15.652;12.378;17.248;17.604;13.558;13.790;52.967;124;160.129
MODENA;MONTECRETO;105;109;61;81;73;33;37;489;-;988
MODENA;MONTEFIORINO;230;203;151;204;213;141;144;967;1;2.254
MODENA;MONTESE;400;367;274;363;354;213;202;1.715;3;3.891
MODENA;NONANTOLA;1.500;1.506;1.131;1.549;1.454;1.205;993;4.560;4;13.902
MODENA;NON DEFINITO MO;-;-;-;-;-;-;-;23;-;23
MODENA;NOVI DI MODENA;1.003;867;637;836;861;579;541;3.439;8;8.771
MODENA;PALAGANO;256;202;143;205;190;130;113;1.108;-;2.347
MODENA;PAVULLO NEL FRIGNANO;1.896;1.699;1.183;1.646;1.561;1.124;868;7.929;10;17.916
MODENA;PIEVEPELAGO;247;211;111;179;144;112;109;1.090;-;2.203
MODENA;POLINAGO;170;148;86;135;133;89;61;1.007;2;1.831
MODENA;PRIGNANO SULLA SECCHIA;381;432;289;480;363;256;201;1.637;3;4.042
MODENA;RAVARINO;678;569;435;558;549;343;365;2.262;3;5.762
MODENA;RIOLUNATO;100;62;38;60;69;51;29;336;-;745
MODENA;SAN CESARIO SUL PANARO;660;650;455;709;717;480;468;2.103;5;6.247
MODENA;SAN FELICE SUL PANARO;1.076;1.040;729;1.016;932;672;563;3.942;12;9.982
MODENA;SAN POSSIDONIO;329;299;197;278;276;202;155;1.419;2;3.157
MODENA;SAN PROSPERO;648;580;422;545;618;397;384;2.253;2;5.849
MODENA;SASSUOLO;3.869;3.666;2.994;3.999;3.957;2.917;2.859;14.306;31;38.598
MODENA;SAVIGNANO SUL PANARO;964;845;629;900;883;584;597;3.051;2;8.455
MODENA;SERRAMAZZONI;942;846;613;844;825;524;471;4.322;5;9.392
MODENA;SESTOLA;282;250;162;210;233;123;143;1.271;3;2.677
MODENA;SOLIERA;1.496;1.447;1.066;1.527;1.546;1.102;956;4.657;8;13.805
MODENA;SPILAMBERTO;1.275;1.234;900;1.215;1.243;897;810;4.010;9;11.593
MODENA;VIGNOLA;2.519;2.248;1.719;2.363;2.342;1.745;1.432;7.904;15;22.287
MODENA;ZOCCA;498;436;308;426;361;268;245;2.122;6;4.670
PARMA;ALBARETO;253;213;157;163;174;114;96;1.164;1;2.335
PARMA;BARDI;227;212;141;148;154;120;82;1.402;-;2.486
PARMA;BEDONIA;379;299;220;251;242;172;115;1.578;1;3.257
PARMA;BERCETO;191;159;113;174;183;121;98;950;1;1.990
PARMA;BORE;67;51;39;61;45;30;20;316;1;630
PARMA;BORGO VAL DI TARO;715;583;404;510;513;360;247;2.926;1;6.259
PARMA;BUSSETO;672;589;463;622;655;442;382;2.347;4;6.176
PARMA;CALESTANO;238;215;178;210;223;139;98;905;-;2.206
PARMA;COLLECCHIO;1.528;1.414;1.167;1.531;1.669;1.222;1.082;4.131;7;13.751
PARMA;COLORNO;875;801;579;842;782;573;599;2.908;2;7.961
PARMA;COMPIANO;130;99;79;94;94;70;60;553;-;1.179
PARMA;CORNIGLIO;216;164;116;168;150;94;101;1.021;2;2.032
PARMA;FELINO;890;851;644;957;1.029;680;601;2.661;2;8.315
PARMA;FIDENZA;2.643;2.260;1.775;2.523;2.514;1.857;1.560;7.617;5;22.754
PARMA;FONTANELLATO;724;644;507;689;746;455;419;2.431;1;6.616
PARMA;FONTEVIVO;633;574;432;604;646;411;416;1.938;1;5.655
PARMA;FORNOVO DI TARO;624;493;387;457;521;368;395;2.252;2;5.499
PARMA;LANGHIRANO;1.100;996;700;1.004;1.020;721;659;3.854;2;10.056
PARMA;LESIGNANO DE BAGNI;606;545;401;539;514;399;383;1.925;-;5.312
PARMA;MEDESANO;1.196;1.100;802;1.054;1.078;840;704;4.072;2;10.848
PARMA;MONCHIO DELLE CORTI;105;76;66;66;79;33;36;475;-;936
PARMA;MONTECHIARUGOLO;1.121;1.037;837;1.075;1.177;760;747;3.290;1;10.045
PARMA;NEVIANO DEGLI ARDUINI;455;387;252;311;345;243;184;1.805;1;3.983
PARMA;NOCETO;1.410;1.232;1.046;1.278;1.373;1.028;845;3.925;2;12.139
PARMA;NON DEFINITO PR;-;-;1;-;-;-;-;51;-;52
PARMA;PALANZANO;136;89;77;100;80;76;59;595;1;1.213
PARMA;PARMA;17.868;16.428;13.262;18.076;19.668;14.994;14.916;52.342;74;167.628
PARMA;PELLEGRINO PARMENSE;109;84;72;77;80;40;51;573;-;1.086
PARMA;POLESINE ZIBELLO;304;275;212;269;290;209;172;1.321;-;3.052
PARMA;ROCCABIANCA;324;283;209;282;267;141;159;1.277;2;2.944
PARMA;SALA BAGANZA;589;516;416;592;595;427;393;1.705;1;5.234
PARMA;SALSOMAGGIORE TERME;2.230;1.690;1.254;1.636;1.703;1.202;1.117;7.109;4;17.945
PARMA;SAN SECONDO PARMENSE;555;470;417;561;535;423;339;1.720;-;5.020
PARMA;SISSA TRECASALI;844;707;560;769;779;505;520;2.814;2;7.500
PARMA;SOLIGNANO;177;172;136;164;193;130;109;800;2;1.883
PARMA;SORAGNA;497;397;351;445;491;331;282;1.600;1;4.395
PARMA;SORBOLO MEZZANI;1.317;1.235;904;1.252;1.330;906;869;3.901;3;11.717
PARMA;TERENZO;150;119;86;115;115;65;61;563;1;1.275
PARMA;TIZZANO VAL PARMA;249;184;144;141;175;131;110;1.207;1;2.342
PARMA;TORNOLO;135;110;69;82;63;59;44;491;-;1.053
PARMA;TORRILE;805;733;618;804;895;607;607;2.147;-;7.216
PARMA;TRAVERSETOLO;1.070;834;704;910;929;728;641;3.285;2;9.103
PARMA;VALMOZZOLA;64;47;43;48;59;24;34;326;1;646
PARMA;VARANO DE' MELEGARI;310;268;226;292;275;206;179;1.401;3;3.160
PARMA;VARSI;164;105;93;121;101;74;46;747;-;1.451
PIACENZA;AGAZZANO;222;159;121;198;173;104;94;798;3;1.872
PIACENZA;ALSENO;510;520;351;455;451;303;285;1.861;5;4.741
PIACENZA;ALTA VAL TIDONE;307;286;204;261;269;144;167;1.498;2;3.138
PIACENZA;BESENZONE;94;114;52;78;86;59;51;366;2;902
PIACENZA;BETTOLA;293;229;181;212;195;144;119;1.416;3;2.792
PIACENZA;BOBBIO;384;301;194;315;308;231;197;1.609;2;3.541
PIACENZA;BORGONOVO VAL TIDONE;788;701;501;646;669;441;427;2.574;2;6.749
PIACENZA;CADEO;665;560;414;549;535;399;335;2.207;3;5.667
PIACENZA;CALENDASCO;274;249;182;268;277;214;181;1.056;3;2.704
PIACENZA;CAORSO;543;444;328;464;494;343;294;1.583;3;4.496
PIACENZA;CARPANETO PIACENTINO;885;705;548;715;744;535;445;2.731;4;7.312
PIACENZA;CASTELL'ARQUATO;485;416;336;462;462;321;247;1.868;-;4.597
PIACENZA;CASTEL SAN GIOVANNI;1.329;1.141;867;1.145;1.167;855;783;4.176;-;11.463
PIACENZA;CASTELVETRO PIACENTINO;577;548;347;527;551;362;339;1.798;8;5.057
PIACENZA;CERIGNALE;11;17;5;5;14;7;2;55;-;116
PIACENZA;COLI;128;81;48;92;60;50;40;533;1;1.033
PIACENZA;CORTE BRUGNATELLA;64;63;43;44;39;46;33;370;2;704
PIACENZA;CORTEMAGGIORE;469;424;315;452;416;338;259;1.420;6;4.099
PIACENZA;FARINI;134;98;73;90;87;56;45;741;1;1.325
PIACENZA;FERRIERE;128;90;76;104;94;64;46;664;2;1.268
PIACENZA;FIORENZUOLA D'ARDA;1.541;1.287;941;1.459;1.334;917;826;4.984;7;13.296
PIACENZA;GAZZOLA;247;223;165;215;221;174;190;945;-;2.380
PIACENZA;GOSSOLENGO;607;547;435;650;625;483;506;1.627;2;5.482
PIACENZA;GRAGNANO TREBBIENSE;514;425;305;435;433;296;331;1.488;1;4.228
PIACENZA;GROPPARELLO;246;217;151;186;200;123;112;1.163;-;2.398
PIACENZA;LUGAGNANO VAL D'ARDA;483;355;241;322;324;179;194;1.731;1;3.830
PIACENZA;MONTICELLI D'ONGINA;512;426;324;452;457;295;283;1.871;3;4.623
PIACENZA;MORFASSO;136;91;46;74;77;31;34;612;-;1.101
PIACENZA;NON DEFINITO PC;2;1;-;1;-;-;-;28;-;32
PIACENZA;OTTONE;49;50;22;40;41;27;27;255;-;511
PIACENZA;PIACENZA;9.949;8.587;6.382;8.651;9.397;7.231;7.186;30.703;79;88.165
PIACENZA;PIANELLO VAL TIDONE;233;231;166;190;208;130;119;853;-;2.130
PIACENZA;PIOZZANO;77;71;46;58;48;23;31;387;-;741
PIACENZA;PODENZANO;1.023;921;720;926;954;699;659;2.900;2;8.804
PIACENZA;PONTE DELL'OLIO;491;423;307;395;353;287;230;1.936;1;4.423
PIACENZA;PONTENURE;681;566;480;656;612;479;457;1.970;4;5.905
PIACENZA;RIVERGARO;789;697;583;724;766;528;541;2.344;2;6.974
PIACENZA;ROTTOFRENO;1.298;1.159;867;1.198;1.232;823;851;3.580;5;11.013
PIACENZA;SAN GIORGIO PIACENTINO;635;497;414;557;564;390;295;2.081;3;5.436
PIACENZA;SAN PIETRO IN CERRO;121;85;54;68;80;53;42;369;-;872
PIACENZA;SARMATO;307;267;190;258;288;179;211;1.118;4;2.822
PIACENZA;TRAVO;275;244;181;224;211;149;135;1.061;1;2.481
PIACENZA;VERNASCA;250;189;160;196;204;126;119;1.040;3;2.287
PIACENZA;VIGOLZONE;483;428;299;412;383;277;281;1.467;1;4.031
PIACENZA;VILLANOVA SULL'ARDA;198;176;112;178;170;111;119;626;4;1.694
PIACENZA;ZERBA;8;8;5;7;7;5;2;53;-;95
PIACENZA;ZIANO PIACENTINO;282;228;172;231;222;149;146;1.118;3;2.551
RAVENNA;ALFONSINE;1.448;1.120;848;1.049;1.046;712;686;4.493;6;11.408
RAVENNA;BAGNACAVALLO;1.988;1.534;1.117;1.427;1.462;998;903;6.701;5;16.135
RAVENNA;BAGNARA DI ROMAGNA;294;268;178;258;245;138;147;736;3;2.267
RAVENNA;BRISIGHELLA;934;714;448;610;592;452;377;3.632;1;7.760
RAVENNA;CASOLA VALSENIO;276;208;175;209;193;140;103;1.312;2;2.618
RAVENNA;CASTEL BOLOGNESE;1.047;827;617;847;840;585;564;2.929;2;8.258
RAVENNA;CERVIA;3.458;2.665;2.016;2.743;2.796;2.092;2.041;10.566;8;28.385
RAVENNA;CONSELICE;1.122;857;608;793;746;493;524;4.248;4;9.395
RAVENNA;COTIGNOLA;863;714;557;710;723;488;495;2.502;4;7.056
RAVENNA;FAENZA;6.759;5.282;3.810;5.345;5.794;4.585;4.664;19.835;20;56.094
RAVENNA;FUSIGNANO;966;763;525;654;683;411;369;3.106;2;7.479
RAVENNA;LUGO;3.702;3.008;2.172;2.933;2.840;2.016;1.999;11.659;14;30.343
RAVENNA;MASSA LOMBARDA;1.109;899;647;808;845;538;537;3.913;4;9.300
RAVENNA;NON DEFINITO RA;-;-;-;-;-;-;-;41;-;41
RAVENNA;RAVENNA;18.373;15.695;11.377;15.061;15.550;11.778;11.425;54.159;58;153.476
RAVENNA;RIOLO TERME;686;564;362;485;450;324;286;2.223;3;5.383
RAVENNA;RUSSI;1.453;1.193;872;1.159;1.147;841;695;4.360;4;11.724
RAVENNA;SANT'AGATA SUL SANTERNO;311;322;229;309;297;214;321;1.008;-;3.011
RAVENNA;SOLAROLO;430;354;282;324;381;269;389;1.530;3;3.962
REGGIO EMILIA;ALBINEA;888;860;690;888;937;738;661;2.664;2;8.328
REGGIO EMILIA;BAGNOLO IN PIANO;944;880;615;857;803;644;531;2.819;3;8.096
REGGIO EMILIA;BAISO;345;334;247;346;336;222;166;1.426;1;3.423
REGGIO EMILIA;BIBBIANO;1.167;1.090;821;1.027;1.037;764;982;3.937;9;10.834
REGGIO EMILIA;BORETTO;524;497;387;514;514;330;286;1.737;-;4.789
REGGIO EMILIA;BRESCELLO;741;681;506;726;804;560;648;2.159;-;6.825
REGGIO EMILIA;CADELBOSCO DI SOPRA;1.060;965;715;1.012;1.021;697;637;3.611;5;9.723
REGGIO EMILIA;CAMPAGNOLA EMILIA;543;483;351;481;497;367;286;1.649;-;4.657
REGGIO EMILIA;CAMPEGINE;500;437;376;436;429;304;306;1.526;2;4.316
REGGIO EMILIA;CANOSSA;438;330;233;361;347;243;212;1.719;-;3.883
REGGIO EMILIA;CARPINETI;473;398;278;411;375;277;215;1.923;2;4.352
REGGIO EMILIA;CASALGRANDE;1.977;1.883;1.485;2.142;2.017;1.346;1.252;6.082;7;18.191
REGGIO EMILIA;CASINA;502;458;348;390;412;271;203;2.054;1;4.639
REGGIO EMILIA;CASTELLARANO;1.477;1.512;1.179;1.773;1.619;1.196;1.036;4.696;4;14.492
REGGIO EMILIA;CASTELNOVO DI SOTTO;886;728;577;722;775;496;487;2.849;3;7.523
REGGIO EMILIA;CASTELNOVO NE' MONTI;1.232;1.068;806;1.061;1.069;688;573;4.136;2;10.635
REGGIO EMILIA;CAVRIAGO;1.035;870;734;993;956;634;638;3.071;1;8.932
REGGIO EMILIA;CORREGGIO;2.521;2.332;1.777;2.341;2.294;1.767;1.550;7.729;9;22.320
REGGIO EMILIA;FABBRICO;599;491;452;528;508;398;335;1.637;1;4.949
REGGIO EMILIA;GATTATICO;662;550;400;586;610;446;380;1.957;3;5.594
REGGIO EMILIA;GUALTIERI;667;586;449;594;530;378;306;2.388;4;5.902
REGGIO EMILIA;GUASTALLA;1.379;1.343;1.043;1.357;1.310;927;793;3.998;3;12.153
REGGIO EMILIA;LUZZARA;813;757;522;727;741;500;497;2.475;5;7.037
REGGIO EMILIA;MONTECCHIO EMILIA;1.077;1.015;760;1.040;1.016;702;689;3.353;7;9.659
REGGIO EMILIA;NON DEFINITO RE;-;1;-;-;-;-;-;10;-;11
REGGIO EMILIA;NOVELLARA;1.372;1.325;876;1.145;1.125;753;728;4.165;2;11.491
REGGIO EMILIA;POVIGLIO;756;626;502;658;618;438;431;2.838;3;6.870
REGGIO EMILIA;QUATTRO CASTELLA;1.348;1.251;1.008;1.322;1.379;1.008;933;4.032;5;12.286
REGGIO EMILIA;REGGIOLO;874;803;613;862;900;571;509;2.641;1;7.774
REGGIO EMILIA;REGGIO NELL'EMILIA;17.670;15.143;11.784;15.767;17.527;12.257;61.733;49.354;72;201.307
REGGIO EMILIA;RIO SALICETO;636;528;430;626;558;389;343;1.835;3;5.348
REGGIO EMILIA;ROLO;359;323;263;346;295;214;178;1.028;1;3.007
REGGIO EMILIA;RUBIERA;1.494;1.399;1.089;1.429;1.535;1.056;1.005;3.869;3;12.879
REGGIO EMILIA;SAN MARTINO IN RIO;823;761;595;767;778;529;505;2.295;3;7.056
REGGIO EMILIA;SAN POLO D'ENZA;799;606;450;566;526;361;360;2.589;2;6.259
REGGIO EMILIA;SANT'ILARIO D'ENZA;1.147;1.012;759;1.057;1.089;696;690;3.167;8;9.625
REGGIO EMILIA;SCANDIANO;2.679;2.535;1.979;2.639;2.688;1.810;1.736;7.878;13;23.957
REGGIO EMILIA;TOANO;454;399;299;447;415;255;215;1.797;2;4.283
REGGIO EMILIA;VENTASSO;472;415;299;395;380;219;184;1.765;-;4.129
REGGIO EMILIA;VETTO;196;174;130;171;176;109;104;856;1;1.917
REGGIO EMILIA;VEZZANO SUL CROSTOLO;460;431;296;410;412;323;249;1.445;-;4.026
REGGIO EMILIA;VIANO;393;357;251;373;341;226;183;1.404;-;3.528
REGGIO EMILIA;VILLA MINOZZO;439;331;240;342;311;195;165;1.501;2;3.526
