;;2008 - 2010;2011 - 2013;2014 - 2015;2016 - 2017;2018 - 2019;2020 - 2021;2022 - 2023;FINO AL 2007;NON DEFINITO;Somma:
BOLOGNA;ALTO RENO TERME;745;555;387;523;511;436;391;2.940;2;6.490
BOLOGNA;ANZOLA DELL'EMILIA;1.198;1.142;903;1.290;1.294;958;1.016;3.307;3;11.111
BOLOGNA;ARGELATO;1.075;1.030;801;1.131;1.225;884;877;2.881;2;9.906
BOLOGNA;BARICELLA;717;607;477;592;586;416;425;2.104;1;5.925
BOLOGNA;BENTIVOGLIO;625;578;455;609;671;471;471;1.618;-;5.498
BOLOGNA;BOLOGNA;33.464;28.834;22.841;30.437;32.360;27.899;27.551;90.834;162;294.382
BOLOGNA;BORGO TOSSIGNANO;366;282;226;323;279;200;179;1.255;-;3.110
BOLOGNA;BUDRIO;1.894;1.650;1.236;1.847;1.820;1.243;1.194;5.315;5;16.204
BOLOGNA;CALDERARA DI RENO;1.388;1.320;1.082;1.574;1.613;1.202;1.190;4.006;4;13.379
BOLOGNA;CAMUGNANO;216;165;149;167;158;98;96;1.009;1;2.059
BOLOGNA;CASALECCHIO DI RENO;3.193;2.924;2.359;3.279;3.468;2.767;2.784;8.363;12;29.149
BOLOGNA;CASALFIUMANESE;371;307;223;344;324;198;154;1.285;-;3.206
BOLOGNA;CASTEL D'AIANO;186;181;137;190;182;104;90;877;-;1.947
BOLOGNA;CASTEL DEL RIO;104;96;66;95;92;60;54;707;-;1.274
BOLOGNA;CASTEL DI CASIO;368;310;224;306;308;206;201;1.409;3;3.335
BOLOGNA;CASTEL GUELFO DI BOLOGNA;506;447;323;476;504;324;352;1.315;-;4.247
BOLOGNA;CASTELLO D'ARGILE;668;595;473;644;685;476;473;1.845;1;5.860
BOLOGNA;CASTEL MAGGIORE;1.889;1.857;1.436;1.919;2.141;1.646;1.631;4.534;4;17.057
BOLOGNA;CASTEL SAN PIETRO TERME;2.107;1.750;1.397;2.007;1.993;1.493;1.431;6.118;1;18.297
BOLOGNA;CASTENASO;1.636;1.641;1.362;1.843;1.940;1.633;1.684;4.234;5;15.978
BOLOGNA;CASTIGLIONE DEI PEPOLI;623;482;331;411;448;320;283;2.256;1;5.155
BOLOGNA;CREVALCORE;1.306;1.198;838;1.172;1.087;792;738;4.556;8;11.695
BOLOGNA;DOZZA;668;596;469;652;629;431;398;1.913;5;5.761
BOLOGNA;FONTANELICE;207;183;129;174;173;121;103;899;1;1.990
BOLOGNA;GAGGIO MONTANO;543;464;365;457;430;289;253;2.295;3;5.099
BOLOGNA;GALLIERA;631;446;331;440;436;342;274;2.306;1;5.207
BOLOGNA;GRANAROLO DELL'EMILIA;1.219;1.176;1.031;1.435;1.681;1.538;1.311;3.085;1;12.477
BOLOGNA;GRIZZANA MORANDI;368;294;213;352;332;215;168;1.619;-;3.561
BOLOGNA;IMOLA;7.232;6.126;4.847;6.315;6.560;4.834;4.436;20.146;24;60.520
BOLOGNA;LIZZANO IN BELVEDERE;253;207;127;197;201;135;81;1.089;1;2.291
BOLOGNA;LOIANO;490;401;266;448;366;251;204;1.846;2;4.274
BOLOGNA;MALALBERGO;895;796;614;827;903;604;569;2.468;2;7.678
BOLOGNA;MARZABOTTO;666;537;436;607;572;432;405;2.311;1;5.967
BOLOGNA;MEDICINA;1.800;1.653;1.156;1.572;1.531;1.045;1.072;4.749;6;14.584
BOLOGNA;MINERBIO;875;781;685;869;911;618;590;2.454;4;7.787
BOLOGNA;MOLINELLA;1.727;1.376;1.113;1.345;1.346;991;911;4.968;1;13.778
BOLOGNA;MONGHIDORO;448;354;208;342;304;217;197;1.915;1;3.986
BOLOGNA;MONTERENZIO;673;583;373;594;640;398;383;2.240;2;5.886
BOLOGNA;MONTE SAN PIETRO;1.148;1.078;867;1.216;1.064;874;876;3.427;3;10.553
BOLOGNA;MONZUNO;666;540;435;559;550;421;356;2.447;2;5.976
BOLOGNA;MORDANO;536;470;336;450;487;291;283;1.566;2;4.421
BOLOGNA;NON DEFINITO BO;-;-;-;-;-;-;-;41;-;41
BOLOGNA;OZZANO DELL'EMILIA;1.398;1.239;1.085;1.529;1.517;1.153;1.136;3.322;3;12.382
BOLOGNA;PIANORO;1.731;1.576;1.267;1.768;1.766;1.411;1.231;5.200;10;15.960
BOLOGNA;PIEVE DI CENTO;701;699;456;680;674;518;434;1.936;3;6.101
BOLOGNA;SALA BOLOGNESE;869;809;672;982;983;766;681;2.120;1;7.883
BOLOGNA;SAN GIORGIO DI PIANO;845;809;674;937;990;757;733;2.139;-;7.884
BOLOGNA;SAN GIOVANNI IN PERSICETO;2.681;2.555;2.007;2.725;2.601;1.860;1.602;7.658;10;23.699
BOLOGNA;SAN LAZZARO DI SAVENA;3.092;2.831;2.301;3.251;3.375;2.659;2.551;8.349;10;28.419
BOLOGNA;SAN PIETRO IN CASALE;1.165;1.094;835;1.100;1.082;772;690;3.328;5;10.071
BOLOGNA;SANT'AGATA BOLOGNESE;704;645;478;624;587;446;570;2.297;2;6.353
BOLOGNA;SASSO MARCONI;1.483;1.291;1.090;1.467;1.515;1.117;1.068;5.068;3;14.102
BOLOGNA;S.BENEDETTO VAL DI SAMBRO;455;380;304;411;408;268;264;1.933;2;4.425
BOLOGNA;VALSAMOGGIA;3.114;2.833;2.191;3.166;3.190;2.283;2.205;10.431;3;29.416
BOLOGNA;VERGATO;725;527;462;543;561;427;312;2.772;-;6.329
BOLOGNA;ZOLA PREDOSA;1.886;1.781;1.491;2.077;2.137;1.633;1.528;4.989;5;17.527
