;;AUTOBUS;AUTOCARRI TRASPORTO MERCI;AUTOVEICOLI SPECIALI / SPECIFICI;AUTOVETTURE;MOTOCARRI E QUADRICICLI TRASPORTO MERCI;MOTOCICLI;MOTOVEICOLI E QUADRICICLI SPECIALI / SPECIFICI;NON DEFINITO;TRATTORI STRADALI O MOTRICI;Somma:
BOLOGNA;ALTO RENO TERME;6;495;107;4.834;22;840;16;-;5;6.325
BOLOGNA;ANZOLA DELL'EMILIA;6;951;277;8.130;4;1.437;7;-;103;10.915
BOLOGNA;ARGELATO;2;1.241;192;6.927;10;1.177;5;-;147;9.701
BOLOGNA;BARICELLA;-;378;90;4.619;3;682;5;-;11;5.788
BOLOGNA;BENTIVOGLIO;6;526;130;3.949;4;761;8;-;36;5.420
BOLOGNA;BOLOGNA;1.335;18.540;4.989;206.985;244;58.541;317;-;423;291.374
BOLOGNA;BORGO TOSSIGNANO;-;497;77;2.135;6;334;12;-;8;3.069
BOLOGNA;BUDRIO;35;1.254;302;12.379;19;1.945;20;-;15;15.969
BOLOGNA;CALDERARA DI RENO;1;1.532;231;9.636;15;1.830;11;-;22;13.278
BOLOGNA;CAMUGNANO;21;235;19;1.462;5;263;8;-;6;2.019
BOLOGNA;CASALECCHIO DI RENO;3;1.596;322;21.845;20;4.964;35;-;48;28.833
BOLOGNA;CASALFIUMANESE;-;370;48;2.311;5;360;10;-;1;3.105
BOLOGNA;CASTEL D'AIANO;-;214;55;1.361;9;275;25;-;5;1.944
BOLOGNA;CASTEL DEL RIO;21;160;27;880;3;158;6;-;-;1.255
BOLOGNA;CASTEL DI CASIO;6;293;63;2.404;10;477;9;-;28;3.290
BOLOGNA;CASTEL GUELFO DI BOLOGNA;4;453;142;3.134;3;482;5;-;25;4.248
BOLOGNA;CASTELLO D'ARGILE;16;477;71;4.455;6;758;1;-;16;5.800
BOLOGNA;CASTEL MAGGIORE;11;1.354;245;12.728;13;2.400;14;-;15;16.780
