;;2006 - 2008;2009 - 2011;2012 - 2013;2014 - 2015;2016 - 2017;2018 - 2019;2020 - 2021;FINO AL 2005;NON DEFINITO;Somma:
REGGIO EMILIA;SANT'ILARIO D'ENZA;1.259;1.252;666;799;1.035;1.044;694;2.688;8;9.445
REGGIO EMILIA;SCANDIANO;2.839;2.942;1.719;2.055;2.698;2.635;1.704;6.721;13;23.326
REGGIO EMILIA;TOANO;535;456;247;315;425;386;252;1.533;2;4.151
REGGIO EMILIA;VENTASSO;511;473;272;295;379;361;204;1.539;-;4.034
REGGIO EMILIA;VETTO;229;212;115;138;172;161;118;723;1;1.869
REGGIO EMILIA;VEZZANO SUL CROSTOLO;563;489;278;284;393;376;308;1.180;-;3.871
REGGIO EMILIA;VIANO;439;408;217;262;351;313;225;1.209;-;3.424
REGGIO EMILIA;VILLA MINOZZO;466;464;182;243;323;287;175;1.272;2;3.414
RIMINI;BELLARIA IGEA MARINA;2.360;2.400;1.116;1.223;1.564;1.623;1.187;5.690;9;17.172
RIMINI;CASTELDELCI;63;50;15;20;29;30;21;211;-;439
RIMINI;CATTOLICA;2.292;2.188;926;1.154;1.551;1.597;1.094;5.521;10;16.333
RIMINI;CORIANO;1.463;1.537;726;834;1.085;1.115;862;3.733;4;11.359
RIMINI;GEMMANO;171;132;61;69;70;87;64;599;-;1.253
RIMINI;MAIOLO;125;98;46;51;58;48;59;321;-;806
RIMINI;MISANO ADRIATICO;1.916;1.944;907;1.039;1.335;1.400;1.076;4.656;10;14.283
RIMINI;MONDAINO;182;183;55;91;100;112;83;561;-;1.367
RIMINI;MONTECOPIOLO;196;135;48;52;68;67;44;603;2;1.215
RIMINI;MONTEFIORE CONCA;304;288;149;140;185;208;126;870;1;2.271
RIMINI;MONTEGRIDOLFO;121;152;51;68;77;92;58;453;1;1.073
RIMINI;MONTESCUDO-MONTE COLOMBO;876;856;369;425;559;624;430;2.217;-;6.356
RIMINI;MORCIANO DI ROMAGNA;907;904;426;457;679;617;449;2.273;2;6.714
RIMINI;NON DEFINITO RN;-;-;-;-;-;-;-;4;-;4
RIMINI;NOVAFELTRIA;885;849;371;465;561;586;400;2.467;-;6.584
RIMINI;PENNABILLI;384;342;151;177;196;219;141;1.147;-;2.757
RIMINI;POGGIO TORRIANA;729;722;341;362;532;499;423;2.001;1;5.610
RIMINI;RICCIONE;4.530;4.692;2.127;2.453;3.064;3.264;2.304;11.328;28;33.790
RIMINI;RIMINI;19.187;19.657;9.154;10.054;12.695;13.870;10.671;43.669;96;139.053
RIMINI;SALUDECIO;423;411;151;172;265;244;215;1.260;1;3.142
RIMINI;SAN CLEMENTE;776;822;356;441;548;598;396;1.769;3;5.709
RIMINI;SAN GIOVANNI IN MARIGNANO;1.404;1.378;649;749;1.030;1.066;692;3.437;13;10.418
RIMINI;SAN LEO;373;320;150;173;210;237;150;1.052;3;2.668
RIMINI;SANT'AGATA FELTRIA;269;200;107;130;182;139;117;711;1;1.856
RIMINI;SANTARCANGELO DI ROMAGNA;2.847;3.018;1.418;1.673;2.044;2.105;1.594;7.016;13;21.728
RIMINI;SASSOFELTRIO;259;189;79;102;85;113;81;660;-;1.568
RIMINI;TALAMELLO;143;140;65;84;90;98;62;395;-;1.077
RIMINI;VERUCCHIO;1.298;1.267;611;648;883;968;766;2.824;5;9.270
;Somma:;486.207;497.307;265.280;314.696;414.429;416.732;305.323;1.232.593;1.985;3.934.552
;;;;;;;;;;;
