;;2006 - 2008;2009 - 2011;2012 - 2013;2014 - 2015;2016 - 2017;2018 - 2019;2020 - 2021;FINO AL 2005;NON DEFINITO;Somma:
BOLOGNA;MINERBIO;979;943;534;708;863;900;608;2.030;4;7.569
BOLOGNA;MOLINELLA;1.777;1.680;924;1.133;1.355;1.347;986;4.237;1;13.440
BOLOGNA;MONGHIDORO;488;482;230;212;335;296;202;1.642;1;3.888
BOLOGNA;MONTERENZIO;720;682;375;407;637;634;391;1.873;2;5.721
BOLOGNA;MONTE SAN PIETRO;1.239;1.214;749;928;1.262;1.150;871;2.918;3;10.334
BOLOGNA;MONZUNO;721;680;348;452;551;557;391;2.078;2;5.780
BOLOGNA;MORDANO;558;545;324;337;442;461;285;1.325;2;4.279
BOLOGNA;NON DEFINITO BO;-;-;-;-;-;-;-;41;1;42
BOLOGNA;OZZANO DELL'EMILIA;1.436;1.588;885;1.171;1.620;1.564;1.151;2.810;3;12.228
BOLOGNA;PIANORO;1.773;1.960;1.065;1.335;1.824;1.830;1.429;4.369;10;15.595
BOLOGNA;PIEVE DI CENTO;717;762;457;460;645;644;480;1.641;3;5.809
BOLOGNA;SALA BOLOGNESE;868;1.012;539;669;1.022;1.011;782;1.806;1;7.710
BOLOGNA;SAN GIORGIO DI PIANO;813;956;530;692;942;958;743;1.794;-;7.428
BOLOGNA;SAN GIOVANNI IN PERSICETO;2.799;2.883;1.727;2.050;2.701;2.553;1.812;6.659;11;23.195
BOLOGNA;SAN LAZZARO DI SAVENA;3.335;3.461;2.005;2.480;3.419;3.525;2.656;6.925;12;27.818
BOLOGNA;SAN PIETRO IN CASALE;1.273;1.254;716;876;1.097;1.065;756;2.796;5;9.838
BOLOGNA;SANT'AGATA BOLOGNESE;799;760;444;488;636;586;503;1.945;2;6.163
BOLOGNA;SASSO MARCONI;1.580;1.581;861;1.151;1.526;1.510;1.125;4.360;4;13.698
BOLOGNA;S.BENEDETTO VAL DI SAMBRO;532;455;251;307;405;375;253;1.652;2;4.232
BOLOGNA;VALSAMOGGIA;3.354;3.353;1.894;2.347;3.291;3.279;2.257;9.021;3;28.799
BOLOGNA;VERGATO;793;713;326;467;556;554;429;2.419;-;6.257
BOLOGNA;ZOLA PREDOSA;1.916;2.059;1.295;1.607;2.167;2.171;1.612;4.219;5;17.051
FERRARA;ARGENTA;2.391;2.374;1.229;1.416;1.792;1.728;1.240;6.488;9;18.667
FERRARA;BONDENO;1.661;1.639;775;916;1.190;1.165;845;5.200;4;13.395
