EMILIA ROMAGNA;;2003 - 2005;2006 - 2008;2009 - 2010;2011 - 2012;2013 - 2014;2015 - 2016;2017 - 2018;FINO AL 2002;NON DEFINITO;Somma:
BOLOGNA;ALTO RENO TERME;763;817;567;450;392;443;586;2.226;2;6.246
BOLOGNA;ANZOLA DELL'EMILIA;1.120;1.583;1.083;985;970;1.268;1.279;2.282;3;10.573
BOLOGNA;ARGELATO;1.022;1.421;934;860;875;1.119;1.223;2.038;4;9.496
BOLOGNA;BARICELLA;633;834;560;460;434;538;518;1.405;1;5.383
BOLOGNA;BENTIVOGLIO;551;733;470;491;490;642;730;1.114;-;5.221
BOLOGNA;BOLOGNA;30.620;44.809;30.207;24.592;23.832;31.037;37.538;66.993;173;289.801
BOLOGNA;BORGO TOSSIGNANO;330;441;291;206;225;275;298;937;-;3.003
BOLOGNA;BUDRIO;1.715;2.379;1.655;1.273;1.260;1.573;1.727;3.869;5;15.456
BOLOGNA;CALDERARA DI RENO;1.263;1.971;1.298;1.195;1.177;1.609;1.625;2.765;5;12.908
BOLOGNA;CAMUGNANO;193;269;169;126;106;160;142;759;1;1.925
BOLOGNA;CASALECCHIO DI RENO;3.078;4.384;3.060;2.550;2.463;3.458;3.591;6.019;13;28.616
BOLOGNA;CASALFIUMANESE;345;483;262;221;207;268;284;930;-;3.000
BOLOGNA;CASTEL D'AIANO;210;281;125;124;125;171;158;695;-;1.889
BOLOGNA;CASTEL DEL RIO;139;146;78;75;52;68;79;512;-;1.149
BOLOGNA;CASTEL DI CASIO;379;485;303;241;216;275;282;1.088;3;3.272
BOLOGNA;CASTEL GUELFO DI BOLOGNA;431;636;435;374;325;451;492;969;-;4.113
BOLOGNA;CASTELLO D'ARGILE;608;830;571;493;434;609;635;1.353;1;5.534
BOLOGNA;CASTEL MAGGIORE;1.640;2.350;1.744;1.541;1.569;1.948;2.250;3.142;4;16.188
BOLOGNA;CASTEL SAN PIETRO TERME;1.917;2.753;1.787;1.485;1.375;1.883;2.017;4.507;2;17.726
BOLOGNA;CASTENASO;1.444;2.146;1.527;1.325;1.295;1.720;1.790;2.917;5;14.169
BOLOGNA;CASTIGLIONE DEI PEPOLI;552;768;480;421;303;373;373;1.634;1;4.905
BOLOGNA;CREVALCORE;1.341;1.648;981;908;784;965;1.134;3.220;8;10.989
BOLOGNA;DOZZA;569;860;571;468;481;571;600;1.387;5;5.512
BOLOGNA;FONTANELICE;198;245;152;126;137;150;153;695;1;1.857
BOLOGNA;GAGGIO MONTANO;548;666;408;357;279;401;415;1.790;3;4.867
BOLOGNA;GALLIERA;668;725;403;316;343;414;373;1.511;1;4.754
BOLOGNA;GRANAROLO DELL'EMILIA;1.081;1.588;1.140;1.044;1.087;1.540;2.092;2.086;1;11.659
BOLOGNA;GRIZZANA MORANDI;400;424;281;220;227;307;340;1.208;-;3.407
BOLOGNA;IMOLA;6.660;9.421;6.163;5.001;4.589;5.686;5.995;14.543;23;58.081
BOLOGNA;LIZZANO IN BELVEDERE;238;284;172;162;129;168;153;826;1;2.133
BOLOGNA;LOIANO;468;553;351;282;238;349;358;1.398;2;3.999
BOLOGNA;MALALBERGO;817;1.129;718;601;610;775;848;1.842;2;7.342
BOLOGNA;MARZABOTTO;654;849;524;437;419;580;607;1.618;1;5.689
BOLOGNA;MEDICINA;1.509;2.193;1.455;1.205;1.142;1.449;1.442;3.489;6;13.890
BOLOGNA;MINERBIO;820;1.119;773;619;633;833;835;1.727;4;7.363
BOLOGNA;MOLINELLA;1.515;2.061;1.303;1.047;964;1.258;1.295;3.518;2;12.963
BOLOGNA;MONGHIDORO;400;554;338;265;206;299;223;1.437;1;3.723
BOLOGNA;MONTERENZIO;579;776;518;401;440;503;600;1.561;2;5.380
BOLOGNA;MONTE SAN PIETRO;1.059;1.458;937;875;909;1.146;1.268;2.440;3;10.095
BOLOGNA;MONZUNO;638;821;521;427;403;534;472;1.692;2;5.510
BOLOGNA;MORDANO;461;652;438;346;316;374;430;1.146;3;4.166
BOLOGNA;NON DEFINITO BO;1;-;-;-;-;-;-;41;1;43
BOLOGNA;OZZANO DELL'EMILIA;1.288;1.873;1.335;1.031;1.123;1.446;1.584;2.355;4;12.039
BOLOGNA;PIANORO;1.588;2.295;1.576;1.397;1.234;1.748;1.841;3.576;10;15.265
BOLOGNA;PIEVE DI CENTO;670;864;588;515;474;541;557;1.401;3;5.613
BOLOGNA;SALA BOLOGNESE;847;1.067;763;728;667;903;1.038;1.473;2;7.488
BOLOGNA;SAN GIORGIO DI PIANO;761;1.034;734;637;609;796;846;1.483;-;6.900
BOLOGNA;SAN GIOVANNI IN PERSICETO;2.580;3.418;2.273;1.958;1.902;2.374;2.444;5.648;13;22.610
BOLOGNA;SAN LAZZARO DI SAVENA;2.783;4.361;2.881;2.437;2.424;3.225;3.488;6.063;12;27.674
BOLOGNA;SAN PIETRO IN CASALE;1.080;1.458;930;801;774;990;991;2.369;5;9.398
BOLOGNA;SANT'AGATA BOLOGNESE;741;917;587;469;464;541;650;1.602;2;5.973
BOLOGNA;SASSO MARCONI;1.414;1.845;1.252;1.060;1.014;1.509;1.471;3.762;4;13.331
BOLOGNA;S.BENEDETTO VAL DI SAMBRO;513;610;353;257;270;342;352;1.378;2;4.077
BOLOGNA;VALSAMOGGIA;2.929;3.907;2.597;2.309;2.284;2.995;3.170;7.495;3;27.689
BOLOGNA;VERGATO;758;893;544;393;406;495;540;2.090;-;6.119
BOLOGNA;ZOLA PREDOSA;1.695;2.478;1.716;1.486;1.525;2.049;2.123;3.574;5;16.651
FERRARA;ARGENTA;2.243;2.727;1.858;1.421;1.267;1.678;1.659;5.612;9;18.474
FERRARA;BERRA;590;689;378;284;216;272;282;1.644;1;4.356
FERRARA;BONDENO;1.633;1.880;1.215;948;833;1.088;1.131;4.538;4;13.270
FERRARA;CENTO;3.745;4.553;2.906;2.490;2.413;2.717;3.023;8.387;13;30.247
FERRARA;CODIGORO;1.407;1.597;1.030;804;658;852;836;3.257;4;10.445
FERRARA;COMACCHIO;2.729;3.138;1.969;1.513;1.207;1.659;1.850;5.995;13;20.073
FERRARA;COPPARO;1.861;2.131;1.363;1.155;1.028;1.217;1.255;4.098;5;14.113
FERRARA;FERRARA;12.534;15.755;11.369;9.390;8.783;11.076;12.253;27.344;69;108.573
FERRARA;FISCAGLIA;1.086;1.106;750;573;474;610;614;2.705;3;7.921
FERRARA;FORMIGNANA;312;348;213;181;167;238;203;706;-;2.368
FERRARA;GORO;413;523;334;321;232;277;342;572;-;3.014
FERRARA;JOLANDA DI SAVOIA;333;391;218;158;129;167;181;893;7;2.477
FERRARA;LAGOSANTO;527;665;423;350;278;331;373;1.154;1;4.102
FERRARA;MASI TORELLO;237;284;213;172;164;179;187;495;-;1.931
FERRARA;MESOLA;901;965;609;431;360;420;484;2.431;5;6.606
FERRARA;NON DEFINITO FE;1;-;-;-;-;-;-;25;-;26
FERRARA;OSTELLATO;656;745;520;401;331;450;455;1.611;1;5.170
