;;ALTRE;BENZINA;BENZINA E GAS LIQUIDO;BENZINA E METANO;ELETTRICITA;GASOLIO;GASOLIO E GAS;IBRIDO BENZINA;IBRIDO GASOLIO;METANO;NON DEFINITO;Somma:
BOLOGNA;CASTIGLIONE DEI PEPOLI;-;1.765;203;150;11;1.601;-;143;21;23;-;3.917
BOLOGNA;CREVALCORE;-;3.297;1.001;511;66;3.799;-;378;48;97;-;9.197
BOLOGNA;DOZZA;-;1.501;589;358;20;1.654;-;219;22;80;-;4.443
BOLOGNA;FONTANELICE;-;499;219;103;-;553;-;35;3;32;-;1.444
BOLOGNA;GAGGIO MONTANO;-;1.597;295;141;5;1.452;-;155;26;9;-;3.680
BOLOGNA;GALLIERA;-;1.274;584;288;16;1.753;-;146;13;71;1;4.146
BOLOGNA;GRANAROLO DELL'EMILIA;1;3.325;1.172;490;98;3.222;-;822;196;152;-;9.478
BOLOGNA;GRIZZANA MORANDI;-;1.093;286;140;5;1.015;-;111;5;23;-;2.678
BOLOGNA;IMOLA;-;16.806;6.329;3.107;281;17.112;-;2.378;300;765;1;47.079
BOLOGNA;LIZZANO IN BELVEDERE;-;789;172;61;9;578;-;62;8;10;-;1.689
BOLOGNA;LOIANO;-;1.232;346;179;1;1.178;-;175;9;33;-;3.153
BOLOGNA;MALALBERGO;-;1.864;777;445;29;2.397;-;284;55;131;-;5.982
BOLOGNA;MARZABOTTO;-;1.604;512;330;14;1.713;-;216;27;65;-;4.481
BOLOGNA;MEDICINA;-;3.217;1.549;1.292;73;4.275;-;487;70;264;-;11.227
BOLOGNA;MINERBIO;1;2.052;830;482;39;2.171;-;352;30;105;-;6.062
BOLOGNA;MOLINELLA;1;3.330;1.295;1.020;44;4.226;-;387;64;268;-;10.635
BOLOGNA;MONGHIDORO;-;1.173;292;125;7;1.094;-;144;9;20;-;2.864
BOLOGNA;MONTERENZIO;-;1.337;667;300;20;1.670;-;208;23;54;-;4.279
BOLOGNA;MONTE SAN PIETRO;-;2.857;945;492;54;2.753;-;546;66;139;-;7.852
BOLOGNA;MONZUNO;1;1.560;468;307;16;1.823;-;221;22;44;-;4.462
BOLOGNA;MORDANO;-;981;504;288;14;1.400;-;106;11;49;-;3.353
BOLOGNA;NON DEFINITO BO;-;14;-;-;-;4;-;-;-;-;-;18
BOLOGNA;OZZANO DELL'EMILIA;-;3.487;1.296;651;52;2.946;-;696;70;172;-;9.370
BOLOGNA;PIANORO;1;4.667;1.389;584;91;3.620;-;980;78;146;1;11.557
BOLOGNA;PIEVE DI CENTO;1;1.787;671;263;29;1.756;-;223;38;60;-;4.828
BOLOGNA;SALA BOLOGNESE;-;1.988;828;273;36;2.259;-;360;56;57;-;5.857
BOLOGNA;SAN GIORGIO DI PIANO;-;2.172;753;323;33;2.157;-;388;58;105;1;5.990
BOLOGNA;SAN GIOVANNI IN PERSICETO;-;6.966;2.152;1.080;102;6.835;-;986;119;254;-;18.494
BOLOGNA;SAN LAZZARO DI SAVENA;1;8.633;2.473;1.046;170;5.896;-;1.979;218;310;1;20.727
BOLOGNA;SAN PIETRO IN CASALE;1;2.696;1.132;566;37;3.110;-;384;51;124;-;8.101
BOLOGNA;SANT'AGATA BOLOGNESE;-;1.945;570;279;19;1.939;-;226;20;59;-;5.057
BOLOGNA;SASSO MARCONI;-;4.209;1.070;678;70;3.417;-;723;80;124;-;10.371
BOLOGNA;S.BENEDETTO VAL DI SAMBRO;1;1.382;224;129;8;1.241;-;169;16;16;-;3.186
BOLOGNA;VALSAMOGGIA;-;7.947;2.692;1.525;112;8.332;-;1.046;195;334;-;22.183
BOLOGNA;VERGATO;-;1.918;452;200;12;1.983;-;166;12;48;-;4.791
BOLOGNA;ZOLA PREDOSA;1;5.329;1.452;732;92;4.293;-;966;106;202;-;13.173
FERRARA;ARGENTA;1;4.601;1.759;1.281;46;6.101;-;411;79;313;-;14.592
FERRARA;BONDENO;-;3.739;1.357;530;20;4.196;-;350;44;104;-;10.340
FERRARA;CENTO;-;9.491;3.148;1.109;74;9.357;-;975;125;286;-;24.565
FERRARA;CODIGORO;1;2.649;1.036;597;9;3.494;-;190;48;120;-;8.144
FERRARA;COMACCHIO;-;5.667;1.806;630;41;6.403;-;484;91;149;1;15.272
FERRARA;COPPARO;-;3.532;1.813;824;25;4.995;-;304;49;150;-;11.692
FERRARA;FERRARA;1;34.883;11.324;4.126;363;29.197;-;4.559;688;959;-;86.100
FERRARA;FISCAGLIA;-;1.814;837;579;12;2.670;-;124;32;118;1;6.187
FERRARA;GORO;-;577;163;87;3;1.185;-;54;25;28;-;2.122
FERRARA;JOLANDA DI SAVOIA;-;543;295;156;3;925;-;27;5;29;-;1.983
FERRARA;LAGOSANTO;1;1.063;437;134;6;1.436;-;57;22;34;-;3.190
FERRARA;MASI TORELLO;-;530;200;77;4;629;-;65;5;17;-;1.527
FERRARA;MESOLA;-;1.578;556;373;11;2.381;-;86;26;93;-;5.104
FERRARA;NON DEFINITO FE;-;7;3;1;-;10;-;-;-;-;-;21
FERRARA;OSTELLATO;-;1.244;579;368;8;1.854;-;80;15;61;-;4.209
FERRARA;POGGIO RENATICO;-;2.017;835;540;27;2.558;-;255;40;160;1;6.433
FERRARA;PORTOMAGGIORE;1;2.457;920;615;24;3.016;-;217;46;216;-;7.512
FERRARA;RIVA DEL PO;-;1.682;776;364;17;2.712;-;122;18;76;1;5.768
FERRARA;TERRE DEL RENO;2;2.531;917;346;11;2.981;-;247;34;81;-;7.150
FERRARA;TRESIGNANA;-;1.530;754;317;7;2.380;-;121;20;57;-;5.186
FERRARA;VIGARANO MAINARDA;-;1.993;789;291;21;2.046;-;255;32;89;-;5.516
FERRARA;VOGHIERA;-;825;361;176;10;975;-;90;11;40;-;2.488
FORLI'-CESENA;BAGNO DI ROMAGNA;-;1.506;303;60;7;1.969;-;101;21;14;-;3.981
