;;ALTRE;BENZINA;BENZINA E GAS LIQUIDO;BENZINA E METANO;ELETTRICITA;GASOLIO;GASOLIO E GAS;IBRIDO BENZINA;IBRIDO GASOLIO;METANO;NON DEFINITO;Somma:
REGGIO EMILIA;FABBRICO;-;1.454;516;113;11;1.529;-;217;22;32;-;3.894
REGGIO EMILIA;GATTATICO;-;1.481;513;235;23;1.649;-;146;35;43;-;4.125
REGGIO EMILIA;GUALTIERI;-;1.822;443;130;19;1.917;-;140;26;39;-;4.536
REGGIO EMILIA;GUASTALLA;-;4.125;858;213;45;4.007;-;364;72;71;-;9.755
REGGIO EMILIA;LUZZARA;-;2.348;543;101;12;2.274;-;231;40;29;-;5.578
REGGIO EMILIA;MONTECCHIO EMILIA;-;2.889;818;408;20;2.675;-;328;54;70;-;7.262
REGGIO EMILIA;NON DEFINITO RE;-;2;1;1;-;3;-;-;-;-;-;7
REGGIO EMILIA;NOVELLARA;-;3.468;963;306;39;3.482;-;387;50;68;-;8.763
REGGIO EMILIA;POVIGLIO;-;2.068;562;262;19;2.084;-;175;21;46;-;5.237
REGGIO EMILIA;QUATTRO CASTELLA;-;3.153;1.240;572;45;3.351;-;539;78;99;-;9.077
REGGIO EMILIA;REGGIOLO;-;2.512;540;131;30;2.562;-;219;32;36;-;6.062
REGGIO EMILIA;REGGIO NELL'EMILIA;5;46.871;16.039;6.323;1.450;56.473;-;16.747;4.579;1.174;1;149.662
REGGIO EMILIA;RIO SALICETO;-;1.511;476;149;21;1.570;-;187;23;29;-;3.966
REGGIO EMILIA;ROLO;-;887;306;70;6;956;-;107;15;15;-;2.362
REGGIO EMILIA;RUBIERA;-;3.552;1.369;506;36;3.847;-;485;81;93;-;9.969
REGGIO EMILIA;SAN MARTINO IN RIO;-;1.980;761;242;33;2.093;-;224;42;66;-;5.441
REGGIO EMILIA;SAN POLO D'ENZA;1;1.623;478;324;23;1.774;-;165;15;35;-;4.438
REGGIO EMILIA;SANT'ILARIO D'ENZA;-;2.744;881;413;29;2.853;-;326;69;98;-;7.413
REGGIO EMILIA;SCANDIANO;-;6.501;2.275;1.205;67;6.832;-;814;101;198;-;17.993
REGGIO EMILIA;TOANO;-;1.073;206;48;8;1.659;-;87;24;18;-;3.123
REGGIO EMILIA;VENTASSO;-;1.021;223;56;6;1.358;-;90;11;15;-;2.780
REGGIO EMILIA;VETTO;-;512;139;40;5;636;-;45;8;10;-;1.395
REGGIO EMILIA;VEZZANO SUL CROSTOLO;-;940;466;220;13;1.109;-;159;10;28;-;2.945
REGGIO EMILIA;VIANO;-;834;316;175;5;1.121;-;96;10;22;-;2.579
REGGIO EMILIA;VILLA MINOZZO;-;994;196;50;3;1.286;-;64;7;6;-;2.606
RIMINI;BELLARIA IGEA MARINA;-;4.888;1.633;580;55;4.851;-;446;57;160;-;12.670
RIMINI;CASTELDELCI;-;120;20;13;-;132;-;11;1;5;-;302
RIMINI;CATTOLICA;-;5.448;997;339;45;3.606;-;375;71;99;-;10.980
RIMINI;CORIANO;-;2.920;1.084;363;27;2.789;-;277;32;82;-;7.574
RIMINI;GEMMANO;-;312;136;33;3;383;-;17;2;6;-;892
RIMINI;MAIOLO;-;218;55;23;2;272;-;16;3;9;-;598
RIMINI;MISANO ADRIATICO;-;4.154;1.089;445;58;3.567;-;331;72;118;-;9.834
RIMINI;MONDAINO;-;376;113;49;4;519;-;30;4;7;-;1.102
RIMINI;MONTECOPIOLO;-;300;71;9;2;424;-;12;2;4;-;824
RIMINI;MONTEFIORE CONCA;-;652;242;81;7;635;-;39;6;21;-;1.683
RIMINI;MONTEGRIDOLFO;-;266;77;36;2;315;-;30;1;8;-;735
RIMINI;MONTESCUDO-MONTE COLOMBO;-;1.593;729;216;18;1.945;-;136;14;62;-;4.713
RIMINI;MORCIANO DI ROMAGNA;-;1.910;568;230;18;1.896;-;153;24;55;-;4.854
RIMINI;NON DEFINITO RN;-;1;-;-;-;-;-;-;-;-;-;1
RIMINI;NOVAFELTRIA;-;1.871;482;317;9;2.068;-;127;17;58;-;4.949
RIMINI;PENNABILLI;-;774;219;124;1;947;-;55;5;23;-;2.148
RIMINI;POGGIO TORRIANA;-;1.360;513;321;10;1.509;-;119;14;58;-;3.904
RIMINI;RICCIONE;2;11.337;2.483;762;92;7.493;-;795;145;242;1;23.352
RIMINI;RIMINI;4;41.556;13.528;4.187;431;29.603;-;4.238;524;1.108;3;95.182
RIMINI;SALUDECIO;-;920;293;91;14;929;-;56;8;21;-;2.332
RIMINI;SAN CLEMENTE;-;1.520;514;216;24;1.569;-;137;18;64;-;4.062
RIMINI;SAN GIOVANNI IN MARIGNANO;-;3.135;786;278;23;2.324;-;193;35;65;-;6.839
RIMINI;SAN LEO;-;671;189;108;3;897;-;59;9;21;-;1.957
RIMINI;SANT'AGATA FELTRIA;-;553;125;38;2;636;-;52;2;11;-;1.419
RIMINI;SANTARCANGELO DI ROMAGNA;1;5.786;2.032;1.289;68;5.579;-;567;92;305;-;15.719
RIMINI;SASSOFELTRIO;-;403;89;36;2;580;-;25;2;6;-;1.143
RIMINI;TALAMELLO;-;302;79;61;2;310;-;19;1;13;-;787
RIMINI;VERUCCHIO;-;2.507;907;479;16;2.410;-;280;37;121;-;6.757
;Somma:;92;1.150.258;351.889;157.331;15.617;1.136.513;4;159.763;25.082;34.840;40;3.031.429
